milliseconds,E,T
0,320499.14673282934,5025868.533955
100,322032.42476407246,5048093.367653769
200,321283.96516425296,5182039.180200175
300,322846.9024233343,5085764.19823873
400,322263.4278654208,5201714.751904303
500,324616.48257928767,5249201.865981505
600,325782.0913793796,5376009.253068436
700,324313.8108017258,5556740.680324745
800,326426.51713680616,5634100.871410205
900,326938.15199372126,5582394.034553717
1000,327927.88126417994,5823089.665456172
1100,329382.6182120033,5788164.247540795
1200,329391.80006402085,5952653.538931278
1300,331111.9134773014,5931055.654072218
1400,331665.50476472353,6052677.643682426
1500,330797.12166349933,6149077.018489624
1600,332752.94422717846,6188776.770114579
1700,333612.78722702037,6234589.751679165
1800,333429.6306360396,6322048.69546217
1900,335076.4436242025,6484188.184402818
2000,335456.3949968696,6684794.832137805
2100,336887.3213811301,6878380.308767613
2200,337356.1637463609,6810739.728863576
2300,337208.11513536226,6900611.9517888725
2400,338104.3002340585,7024087.913941613
2500,339370.5177525206,7210754.038570913
2600,340308.60420365655,7263418.300205312
2700,342239.04310900846,7204884.678312438
2800,342112.68807535456,7573210.396365193
2900,343098.4251729249,7679231.083890584
3000,345570.2245848825,7522090.986302262
3100,347030.29811501777,7751269.029216264
3200,347357.78090455674,7856174.390465188
3300,348801.1580520376,8012088.124118568
3400,349847.1388603981,7931850.375728687
3500,350374.7033538145,8061935.705442976
3600,350219.74379323184,8340755.861679753
3700,351447.79991638416,8332220.011435688
3800,352272.5010597375,8635024.001070838
3900,355204.5315935457,8589821.903349487
4000,355427.1651872645,8871882.85003338
4100,355678.19771329395,8848600.441813266
4200,358513.96200029185,8994108.403931892
4300,358146.9627848739,9269441.235593954
4400,359134.2953247122,9166567.451906158
4500,360344.40623835655,9264574.663008615
4600,362756.38084987906,9577059.416060708
4700,363900.0781357132,9546933.111735575
4800,363149.6277884874,9825925.579082033
4900,365331.2186296996,9823566.004210802
5000,365734.93622954056,10019117.193424828
