milliseconds,EGF,NGF,freeEGFReceptor,boundEGFReceptor,freeNGFReceptor,boundNGFReceptor,SosInactive,SosActive,P90RskInactive,P90RskActive,RasInactive,RasActive,RasGapActive,Raf1Inactive,Raf1Active,BRafInactive,BRafActive,MekInactive,MekActive,ErkInactive,ErkActive,PI3KInactive,PI3KActive,AktInactive,AktActive,C3GInactive,C3GActive,Rap1Inactive,Rap1Active,RapGapActive,PP2AActive,Raf1PPtase
0,10002881.738012537,456022.4810636066,80681.39270084974,198.35810970705117,9955.53036710564,14.74581173549818,121673.92545235195,709.8337542146074,120112.82564567898,66.77811924715292,120039.33466828831,-100.88436103427122,120000.0,120066.71565414395,-20.31860186819429,119983.19473342373,-16.227739498306732,604080.4486266333,-2485.5429193657897,588462.44591491,-7871.687101191981,121834.26093237032,-1545.8968045211059,119855.3815486473,49.040958477657696,120293.3126995387,-4214.083816090485,119534.07768924134,-540.8765584586508,120000.0,120000.0,120000.0
100,9922423.068621531,455874.1716255502,980.3142638536101,80525.88253860195,9868.605881336665,130.93482081715948,49062.44432371439,70820.19223825411,119916.16565218846,-122.08937326455526,106926.83898915973,12606.345451958745,120000.0,119668.59303208119,295.0272239925056,119979.14460897307,-18.67175377147817,594007.2578526945,-5225.551327587308,606456.6582064382,6156.933035624273,88262.58485439712,27215.4015256773,119926.84089189068,-106.1178791402984,123568.01116118094,4216.224359209195,119468.48191317236,474.97131075107615,120000.0,120000.0,120000.0
200,9922253.568927772,455876.6733774051,493.64460230329655,80350.01523454576,9871.7913359232,62.52818592977623,16398.619829349,102292.97407015371,120016.66413185578,-67.24039543106905,100835.02690491755,19044.101248604,120000.0,119338.29098996706,804.4224901747789,119986.42106817849,-25.79526667770603,594309.3731243637,7152.845001144023,600174.6555880294,-9128.416749503253,63310.915974545445,53905.396056453705,119830.07800487307,-11.01005418167675,114350.84014788608,2652.7178778364273,120139.58205647468,158.94439099376484,120000.0,120000.0,120000.0
300,9922680.01309615,455782.4825196534,444.87375108935055,79624.74467002324,9801.841049703648,211.739135333883,4061.4811744700023,116428.99935018022,119909.7056642645,14.848814044785108,97781.91186105243,22217.98049865525,120000.0,118714.25770148655,1269.460369825971,120022.77137549472,11.789290596796066,592608.3765509763,8310.815608536246,596587.4059335695,-14733.88029013275,46086.489492800734,75485.11971612359,119779.9001178022,166.00193222989708,114375.07502292018,3795.8067696933654,119387.47163623587,755.0684782203512,120000.0,120000.0,120000.0
400,9921528.963266399,455727.71378440695,920.1257173758019,80122.73179896081,9805.641765620103,190.12470744800783,-1067.7425860672236,119702.18446418572,120056.47007182655,-80.57065440830036,97046.21566913836,23041.330933118392,120000.0,118397.62011978957,1703.707345531556,119978.8916476343,34.48238068620523,600440.6615420603,2305.2449594836094,606492.162032609,-12041.536513204413,33221.647946161014,87656.43664138915,119948.58360472904,185.08855359354223,110551.5001034399,9710.879773041275,119116.9166188566,235.09349800634857,120000.0,120000.0,120000.0
500,9921675.045595888,455734.66212181945,-882.0993364548202,78926.04430990553,9668.57187169931,243.845035619817,746.0337913158146,119243.36681680827,119914.57808852992,125.22099953454632,96940.04189268503,22992.85782516811,120000.0,118079.59458345476,1976.1598005371786,119987.70306600003,-0.8953080103034239,594107.8856187451,9907.068393154123,577023.2067890719,11756.010211560533,19634.9592519432,99010.23821803142,119664.90598994226,218.33413688681222,112209.13483242464,8882.130612560024,119172.28654916622,382.4266791147991,120000.0,120000.0,120000.0
600,9921093.852920666,455662.61097675696,807.1841471886165,80888.75496555847,9575.222309906367,382.06614379177165,1494.41010197848,121224.06577644542,119940.25362461078,56.43108793722984,97311.16798009351,23102.32541518164,120000.0,117672.38445911313,2326.2965446790517,119956.83927652698,24.1177766759608,581313.1066333103,17757.84290342252,574726.6052565034,22601.61065219319,11736.212329534816,104863.33257602871,119550.12373281013,233.84987832722044,106067.01587817246,17065.653929757453,118706.52195665195,867.8013891096944,120000.0,120000.0,120000.0
700,9921477.33065216,455623.7887328211,-532.5833020610183,80523.81651840062,9532.794487936104,466.515807613082,1383.8842243947347,119089.2901864102,119961.35375053328,-70.61783269326934,97096.77868741979,22629.271719257926,120000.0,117459.30475322767,2557.7356593111763,119928.57002007922,39.71163093715613,588801.8167250226,15724.436849142343,583089.3614080563,1667.9696582225042,10967.717725542265,111720.39449919033,119568.98555690327,405.07505756445954,102276.49776778748,15959.33532846462,118351.65151638002,1601.0737574252726,120000.0,120000.0,120000.0
800,9921622.96070975,455492.2731655778,541.0664050850926,80279.40542447369,9563.141237020294,466.43088498045233,974.0385464391705,120408.44432676898,119886.86553627711,98.00978022166125,97139.33931444927,23096.48950646273,120000.0,117331.68346734323,2824.077908595656,119912.05372678662,61.79839505523102,571917.1092096332,19024.01301255145,564674.6389079351,27794.98423297739,6978.697424609436,115452.53895937192,119595.27875442096,441.43201818110913,96031.41700225149,26592.87026408392,117082.7881610264,2135.83269434211,120000.0,120000.0,120000.0
900,9922643.891212607,455452.83100498404,1026.8065314767705,79879.96615827818,9379.828028038892,478.6536821105065,-156.973589451262,120857.1461401858,120024.48989183252,-95.39741205205601,97379.11180811368,22883.330894202496,120000.0,117037.79336318647,3005.0830038910804,119914.45556129672,75.57600548358782,579426.4101219833,24933.859875785853,556636.5650501219,33013.66880201633,1957.139222511905,117637.99591711337,119236.70359071523,720.4321330603442,85994.99366211296,35200.56820180212,117336.66334327954,3122.3319095664606,120000.0,120000.0,120000.0
1000,9922458.24367458,455437.14695039013,358.2631313139107,79696.93331756609,9362.13673709837,584.7937819645981,-1457.9827670705592,119823.79091188281,119979.0996846246,103.13226042085847,96920.4062531739,22581.510558517333,120000.0,116926.09161709303,3089.5841586598895,119894.21115550352,126.66760947915112,572752.4189707696,31664.767505324267,580736.4698880794,31030.515123906585,4595.177010168802,119498.39617814889,119316.70038178227,854.4771997146917,83684.1137098535,41246.695718050374,116032.54483609385,4236.842833393814,120000.0,120000.0,120000.0
1100,9921358.192011239,455287.11992126994,499.48911027137785,81063.38773657508,9266.364614919397,687.5916036043441,1810.0099565328046,119571.44261335986,119883.10578555604,31.617039539950788,97183.06550767629,22487.92399183363,120000.0,116693.04832889632,3212.441437821515,119858.63787646484,136.50233650027658,563340.2748550109,30764.851801024597,551376.6456736162,48201.02926693312,994.9891350475918,119055.19700908654,119108.63921791523,777.6913547964535,68799.6002742653,49247.481780834234,115726.53848181588,4435.977629581237,120000.0,120000.0,120000.0
1200,9922481.586226016,455266.454035961,108.23342951333223,80775.20860900951,9313.423214339591,682.8309156698894,458.04952055321337,118250.76371030079,119870.28648660707,167.45219271148994,97055.78201854909,22700.625442018543,120000.0,116538.18776958834,3423.6273024754937,119792.60834257993,178.78243105524928,558985.81484031,40698.0404907539,553383.0584081245,61761.47027672461,490.8389806613069,121273.57202615592,119170.69178602254,834.3078843500994,59487.03802633641,59942.36047805422,114387.46300779072,6236.294878941829,120000.0,120000.0,120000.0
1300,9922797.34705928,455142.5654922272,-629.2393123961373,80287.02164039254,9258.343123716206,852.9539534556176,949.6918879369017,119759.30618289989,119959.38062688266,43.89193657473169,97455.4903260768,22603.911410834244,120000.0,116536.78092754593,3401.1423596600675,119744.81810824235,231.72017452784016,550537.7377815129,46644.45662180499,513621.13839456555,90982.09583311848,2020.059977286438,117847.38670708086,118869.3195546028,1068.2092740429903,57983.67353783905,68503.15359734441,113066.61881571665,7196.999357311653,120000.0,120000.0,120000.0
1400,9922503.79221805,455166.68392611254,-551.62840730846,79357.49669229878,9174.880070076835,877.7329080945754,1107.488112891891,118983.75829850194,119872.86365815607,201.37604466494813,97593.84722003402,22585.61988322195,120000.0,116512.25240180414,3644.6836348800484,119713.69859262105,291.3878798835576,541144.9703464399,62210.150469901404,491867.7018233473,78538.50429534753,-488.5127987937968,120787.5338997259,118891.37644422319,1126.929245321894,43927.79971870159,72669.6456608798,112214.44801544736,8249.146030243286,120000.0,120000.0,120000.0
1500,9922465.829554742,455110.8877577992,-837.9243302317781,79157.45718965186,9058.450171029364,938.0726421410941,1073.7887662784776,119262.1820159385,119897.29831023539,218.14658643939813,96944.7222280268,22908.59403442984,120000.0,116324.449681285,3638.7243009431813,119675.53741699815,316.88187137953463,535807.7981910732,62771.83519180605,473665.08189708606,103057.81177103723,-1474.585187468285,119443.89190611691,118781.07463604432,1410.553724639019,39659.593431180336,82927.02347753763,111494.13217618475,9284.031545516478,120000.0,120000.0,120000.0
