miliseconds,P,Pt,M,N
0,0.10058033554964077,1.9974273418080475,-0.0027413537392077985,0.09897321554011927
100,0.013235053773852671,1.86677045705585,0.013582311362135441,0.11174804236222086
200,0.0004854774979091927,1.755715235299167,0.03317140099279997,0.12215126106764707
300,-0.0004932242728389702,1.5830509342412387,0.045385924238686176,0.13278667084262427
400,-7.651282137915671e-05,1.4756329864981437,0.06180088692965898,0.13781103469336584
500,9.457092832477553e-05,1.3726151329374021,0.07485554883518869,0.14379257988055974
600,-0.00019783059372751281,1.2214465263126173,0.08609779885093614,0.14603053961148904
700,0.0001226178110913084,1.1515097160219774,0.09749498111169468,0.1459206323940108
800,-7.474307327776165e-05,1.0572995814296342,0.10803119868586249,0.14596243652354218
900,-0.0006681699466928507,0.9307433730197118,0.12087643201703153,0.1479351025443913
1000,0.0003850725754041472,0.8921998249099117,0.13416409673722585,0.143397322868748
1100,-0.00047985429284609865,0.7882892503670568,0.13892194079685527,0.14473253473307549
1200,0.0003301571723074859,0.7599996409813587,0.14907847049448122,0.1370592326476613
1300,0.0006868020823877272,0.7005498229329706,0.15973761668851916,0.1344228765375945
1400,0.0006719209785672909,0.6205853062824928,0.16544096515009227,0.12638908471524604
1500,0.0003215275660490394,0.555634236712006,0.17349013189625667,0.1246855511478438
1600,-0.00010391631805434661,0.5009867479867922,0.1873525448438826,0.11652559908998496
1700,-0.0006501906880032457,0.469240728785389,0.19123166253496215,0.11047314348463567
1800,-0.00039224286618407906,0.44377063306748016,0.19860045579174493,0.1016042121708722
1900,-9.925426952204247e-05,0.4201842640402929,0.20223934522854428,0.09955068563171543
2000,-0.0006854265022829731,0.3853189265400607,0.21109617956488386,0.0930331470387329
2100,0.00034402926815510276,0.3749522676086964,0.2184879152363542,0.08157427796085373
2200,1.9922225137412992e-05,0.31745020650165967,0.21926513428252803,0.0768579054758033
2300,-0.0003882049407771127,0.29139834387149405,0.22639807144498675,0.06852019062215235
2400,-0.0005617568628917918,0.2568046376204493,0.23499268192196296,0.06379992506488837
2500,-0.00017461328991979255,0.27282646793427245,0.23810062671447177,0.05555199113186421
2600,-0.00022523715164898854,0.24719263943065933,0.23966277911940928,0.05351999932300679
2700,-0.00042825593606749836,0.20950163154254486,0.24835793948615156,0.04751905887059552
2800,0.0005328599575506915,0.20354614223894982,0.25159864864599857,0.042592933283308446
2900,2.521747094464313e-05,0.19188191995425502,0.25408783371432864,0.03887941998196076
3000,-0.00048703338971974123,0.17959698440024144,0.2546783479835021,0.03319153188134957
3100,-0.0006143033483787448,0.15314922708765785,0.2579590045691707,0.03307909215353848
3200,-0.00038245265113370227,0.13431065402708303,0.2612676144445211,0.025989793932000328
3300,0.0006039034317619177,0.11908953532487636,0.26359887312963126,0.0251042174178254
3400,0.00017206366932884888,0.10762688829823615,0.26775747754550866,0.02154148655779681
3500,0.0006376014628947257,0.09718980992768167,0.2632153248153838,0.02107469361594233
3600,-0.0006175760655664137,0.07669361763839098,0.2695593032097936,0.014790535155556422
3700,-0.00024022583149443559,0.061504697158289476,0.26840540186529727,0.015063701195532657
3800,0.0007034494629226761,0.047157449349438815,0.27135596263382555,0.015897721583636483
3900,-0.0006420962638631802,0.0572818719900922,0.2714049167263551,0.011350055288790717
4000,0.0006348229989249054,0.05491754426062911,0.27055634485898794,0.011039959042038538
4100,-0.00013014338245055166,0.028201147904088994,0.26986713933630246,0.007881079342580581
4200,0.0006434486168580754,0.058770166590777384,0.2723893445576459,0.006476147650114358
4300,-5.5756178487180344e-05,0.0386956802726639,0.2730068686030189,0.006227918877933976
4400,0.000368596985106935,0.042843095829475236,0.2706921807609738,0.006561181710631553
4500,0.00024175584937062341,0.022882012499059662,0.2668598928023801,0.0051503573399996165
4600,0.0002547900227449529,0.05230523840831292,0.26697261237696124,0.008099982525898561
4700,0.0005940518228741916,0.0056159724821632645,0.2679640576240669,0.00394602709742856
4800,0.0006026271620282752,0.03585076420914278,0.2636135718852318,0.00524822084538714
4900,7.582361051768755e-05,0.0015293549854865224,0.26384668731257305,0.005591827091969313
5000,-0.0003160054359144384,0.03165197425562454,0.2659015751557719,0.004226607947171233
