milliseconds,L,R,flip,pC8,C8,C6,BAR,pC3,C3,Bid,tBid,pC6,XIAP,C3_Ub,PARP,CPARP,Smac,Bcl2c,Bax,Bax_hash,Bcl2,L_R,R_hash,flip_R_hash,R_hash_pC8,C6_pC8,BAR_C8,C8_pC3,pC3_Apop,Apop,C8_Bid,C3_pC6,XIAP_C3,PARP_C3,Apop_XIAP,Smac_XIAP,Bcl2c_tBid,Bax_tBid,Baxm_Bcl2,Bax4,Bax2_Bcl2,Bax4_Bcl2,M,Bax4_M,M_hash,Smacm,M_hash_Smacm,Smacr,CytoCm,M_hash_CytoCm,CytoCr,CytoC,Apaf,CytoC_Apaf,Apaf_hash,pC9,Baxm,Bax2
0,3000.0,200.0,100.0,20000.0,0.0,0.0,1000.0,10000.0,0.0,40000.0,0.0,10000.0,100000.0,0.0,1000000.0,0.0,0.0,20000.0,100000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,100000.0,0.0,0.0,500000.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0
100,2999.976002735878,199.97600273587835,99.99999999999996,19999.999999999993,4.1324336962535307e-13,8.766040732146618e-24,1000.0,10000.0,5.999601117761704e-19,40000.0,2.506820342339293e-18,10000.0,100000.0,1.8140853024553878e-23,1000000.0,8.763297607086355e-22,-2.9957849448943825e-96,20000.0,100000.0,3.659958615959861e-23,20000.0,0.02399725212207917,1.198941840696227e-08,5.2252191130386094e-14,1.0037115291421456e-11,1.9600307106372216e-28,1.654116968376301e-17,1.591376387035109e-17,-3.8533189383980095e-109,-2.0819585536193608e-103,6.365505548140437e-17,2.2564035981002185e-22,4.669984994084696e-21,2.2556443219881752e-20,-1.6005773270747445e-105,-8.058500408045045e-98,1.958369867501834e-21,9.42572605090763e-22,1.5449805064840326e-28,-3.8382067250991846e-89,2.543867178857643e-60,-4.2040932196650834e-91,500000.0,-1.0121831770038498e-89,-2.632391517896005e-91,100000.0,-2.0862840240443327e-92,-8.009983051463356e-93,500000.0,-1.0431420120221659e-91,-4.0049915401151e-92,-1.5353297942798644e-95,100000.0,-2.8407967802050722e-98,-1.0916431204273303e-99,100000.0,1.400498342467364e-26,2.288336097255204e-58
200,2999.952010942262,199.95201094226263,99.99999999999966,19999.999999999935,4.247513113568789e-12,2.8259676322158083e-22,1000.0,10000.0,1.1716461812717576e-17,40000.0,4.958032859461592e-17,10000.0,100000.0,5.895177558483166e-22,1000000.0,2.8248794983464946e-20,3.8711162228558527e-94,20000.0,100000.0,1.191348082066625e-21,20000.0,0.04798900974463888,4.792540558918568e-08,3.557373616807988e-13,6.689880343674896e-11,7.775525198376358e-27,2.435853495142293e-16,2.3117219109716586e-16,4.716189003422727e-107,2.6079724704772723e-101,9.246887643886634e-16,5.71836259355766e-21,1.1942958180345693e-19,5.715936907510191e-19,1.9567275699767973e-103,1.0373866546926e-95,5.0690086596423683e-20,2.4153181273482372e-20,7.550877899279711e-27,4.6305993963215295e-87,1.1037887478535925e-57,5.217900034092623e-89,500000.0,1.255307715739359e-87,3.319326533444474e-89,100000.0,2.662656704404931e-90,1.032113061255435e-90,500000.0,1.3313283522024657e-89,5.160565324600402e-90,1.983751638664985e-93,100000.0,3.6574822647880984e-96,1.3909636660799902e-97,100000.0,5.635526654949923e-25,9.458821222259654e-56
300,2999.928024617991,199.9280246179919,99.99999999999888,19999.999999999778,1.8503641103992923e-11,3.468830704535373e-21,1000.0,10000.0,8.742748259702945e-17,40000.0,3.7569585285611146e-16,10000.0,100000.0,7.317517707550708e-21,1000000.0,3.46714964570044e-19,2.012256497953914e-90,20000.0,100000.0,1.481837384762148e-20,20000.0,0.07197527403349445,1.0776277115447872e-07,1.145720424264402e-12,2.1063379020707428e-10,1.201364107403072e-25,1.424923284141392e-15,1.3308225306554124e-15,9.440531431596464e-103,3.7242321120697614e-97,5.3232901226216496e-15,5.46534859989823e-20,1.1551274229307607e-18,5.46240846486119e-18,3.977875499591528e-99,7.524126581231022e-92,4.979544059054285e-19,2.3415069209491e-19,1.508700566145927e-25,6.062087237372299e-84,1.496581283159894e-54,9.26081520124423e-86,500000.0,2.197733369083665e-84,7.355716801441038e-86,100000.0,7.31992346746384e-87,3.909298919578724e-87,500000.0,3.6599617337319194e-86,1.9546494784543182e-86,1.0410906429168767e-89,100000.0,2.63957401088143e-92,1.4095357895230313e-93,100000.0,8.891375896755473e-24,9.792961560834867e-53
400,2999.904043761888,199.90404376188826,99.99999999999739,19999.99999999948,5.2951848038623624e-11,2.0118468713202122e-20,1000.0,10000.0,3.647943044749276e-16,40000.0,1.5873761746780308e-15,10000.0,100000.0,4.279526450734793e-20,1000000.0,2.010723266610177e-18,4.294619043650714e-89,20000.0,100000.0,8.678317927252425e-20,20000.0,0.0959560461715006,1.9146202706184427e-07,2.6424626461287187e-12,4.755174864680813e-10,8.030386491279796e-25,5.03715828629646e-15,4.639427364622318e-15,2.6680482403779913e-101,9.900813449758717e-96,1.8557709458489272e-14,2.692772718605395e-19,5.74511004053043e-18,2.691083578913798e-17,1.1277762507654599e-97,1.738427198273343e-90,2.506636795886034e-18,1.1664798899385684e-18,1.1759261374085746e-24,8.33944575396321e-83,2.5605148736667718e-53,1.4361255306038381e-84,500000.0,3.388587714531587e-83,1.2317086147626693e-84,100000.0,1.3094522275598414e-85,7.680262077647183e-86,500000.0,6.547261137799206e-85,3.8401310852418926e-85,2.2280937670276543e-88,100000.0,6.090696410239735e-91,3.501030361346366e-92,100000.0,6.030920923616863e-23,1.504811841414183e-51
500,2999.880068372673,199.8800683726734,99.99999999999494,19999.99999999899,1.2106161747315014e-10,8.233575382068667e-20,1000.0,10000.0,1.136005872171592e-15,40000.0,5.002567256023424e-15,10000.0,100000.0,1.7652515822740628e-19,1000000.0,8.228406215787528e-18,1.062349752718555e-87,20000.0,100000.0,3.583952860822476e-19,20000.0,0.11993132744241258,2.9898377181314074e-07,5.082094563938626e-12,8.952950027293977e-10,3.6946419291941465e-24,1.3713909215513884e-14,1.246004457456105e-14,6.575408838913379e-100,2.425994439619358e-94,4.98401782982442e-14,9.61943196045108e-19,2.070900926931405e-17,9.612580811767324e-17,2.780823005363456e-96,4.2620936245776986e-89,9.138686361236307e-18,4.21068926674623e-18,6.152479791897148e-24,2.411032740819374e-81,6.305315589946295e-52,3.915392061944116e-83,500000.0,9.260550066542697e-82,3.253226358392888e-83,100000.0,3.3772936931959565e-84,1.9304356993880907e-84,500000.0,1.6886468465979778e-83,9.652178610436418e-84,5.509806602363038e-87,100000.0,1.4933346494506186e-89,8.559927934514006e-91,100000.0,2.8125764385235914e-22,3.8547227992185064e-50
600,2999.8560984490186,199.85609844901867,99.99999999999132,19999.999999998265,2.3995147445020886e-10,2.7161359310349254e-19,1000.0,10000.0,2.942239245060123e-15,40000.0,1.3110596398895488e-14,10000.0,100000.0,5.869136715405788e-19,1000000.0,2.714244234807655e-17,1.9362913905836857e-86,20000.0,100000.0,1.1928693151299148e-18,20000.0,0.1439011191805017,4.302903878978814e-07,8.708991709998673e-12,1.5017050732790353e-09,1.3521716205760232e-23,3.165009525274889e-14,2.8362867082829575e-14,1.2986235412663457e-98,4.710377389530436e-93,1.1345146833131832e-13,2.810928906953715e-18,6.106377016950867e-17,2.808688981172659e-16,5.497157633280866e-95,7.952846632056026e-88,2.7250970374932286e-17,1.2431654431151018e-17,2.5291614764472118e-23,3.77065051038977e-80,1.0946927579384712e-50,6.411871961467884e-82,500000.0,1.5132840169635688e-80,5.477947087947389e-82,100000.0,5.818299770457105e-83,3.429442712678765e-83,500000.0,2.909149885228552e-82,1.7147213779678028e-82,1.0051028999048076e-85,100000.0,2.785400127692207e-88,1.630631033131403e-89,100000.0,1.0431652947568953e-21,6.481326291567819e-49
700,2999.832133989604,199.83213398960336,99.99999999998624,19999.999999997253,4.297859418793273e-10,7.672739579291317e-19,1000.0,10000.0,6.675430893846681e-15,40000.0,3.009872765685408e-14,10000.0,100000.0,1.6711425882240044e-18,1000000.0,7.666866743618565e-17,2.4807659728101e-85,20000.0,100000.0,3.3997677015082115e-18,20000.0,0.16786542271206265,5.853477460174302e-07,1.3765532435979616e-11,2.323033798782614e-09,4.198140051646302e-23,6.490786461976186e-14,5.735854232866656e-14,1.909036556893175e-97,6.721883876112379e-92,2.294341693146663e-13,7.107894954454733e-18,1.5583171018036794e-16,7.101624668618233e-16,8.094341502450166e-94,1.0594757387689322e-86,7.032771781162076e-17,3.176105906050743e-17,8.746783232504551e-23,3.928151772184959e-79,1.3139667724912557e-49,7.053362106899574e-81,500000.0,1.6598535866911487e-79,6.245326401974892e-81,100000.0,6.840013447685989e-82,4.219427422558221e-82,500000.0,3.4200067238429944e-81,2.1097137411536715e-81,1.289618743339059e-84,100000.0,3.7081554432236793e-87,2.2508612361492213e-88,100000.0,3.2822348588844713e-21,7.422962773515384e-48
800,2999.8081749931234,199.80817499312326,99.99999999997951,19999.999999995907,7.133435827624572e-10,1.9234860051400864e-18,999.9999999999999,10000.0,1.3687272523261211e-14,40000.0,6.2446132612847e-14,10000.0,100000.0,4.223231039268034e-18,1000000.0,1.9218799324707005e-16,2.403930183488391e-84,20000.0,100000.0,8.599096979315002e-18,20000.0,0.19182423934687218,7.641250796315861e-07,2.0490755773504185e-11,3.384277543117427e-09,1.1481620347603164e-22,1.216932339084401e-13,1.0602497355277473e-13,2.1628975421701355e-96,7.356773213365043e-91,4.2409989421109904e-13,1.608359077553975e-17,3.5591684060443237e-16,1.6068016465909247e-15,9.189077871333602e-93,1.0721428494021052e-85,1.6244415861199253e-16,7.261455762652787e-17,2.647728609569224e-22,3.062571349770384e-78,1.190484827731095e-48,5.8163827771189366e-80,500000.0,1.3644093778090196e-78,5.34442536688322e-80,100000.0,6.0413160668409315e-81,3.912622940643713e-81,500000.0,3.020658033420465e-80,1.956311501816064e-80,1.2517912629916623e-83,100000.0,3.7494770153802996e-86,2.371050754555753e-87,100000.0,9.097986909836082e-21,6.399463707953589e-47
900,2999.784221458284,199.78422145828355,99.99999999997088,19999.99999999418,1.1161111501429907e-09,4.489426198646886e-18,999.9999999999998,10000.0,2.604248246967898e-14,40000.0,1.203279736118264e-13,10000.0,100000.0,9.954527951934772e-18,1000000.0,4.485300552468493e-16,6.700977623454212e-83,20000.0,100000.0,2.0285720688007703e-17,20000.0,0.21577757038522244,9.665947849141323e-07,2.9121687721321576e-11,4.7073119295330856e-09,2.9496277430360576e-22,2.1313329502768333e-13,1.8293003618345108e-13,1.6620465446205664e-94,4.4008438555748874e-89,7.317201447338045e-13,3.371041018593766e-17,7.540383481389513e-16,3.36744675105271e-15,7.191071209363414e-91,3.845351136857011e-84,3.485761518749089e-16,1.5398026433275084e-16,7.6979063042995635e-22,3.1583619072886437e-77,1.9789512222007106e-47,7.522615301857169e-79,500000.0,1.7367187761063256e-77,8.104446668747641e-79,100000.0,1.0483742976235554e-79,8.631389249712785e-80,500000.0,5.2418714881177765e-79,4.3156947710591075e-79,3.5292396469270014e-82,100000.0,1.3370518932654144e-84,1.0940716731479535e-85,100000.0,2.378144266411731e-20,8.373099549302461e-46
