milliseconds,Tumor,CancerStemCell,CytotoxicTcell,TGFb,IFNy,MHC1,MHC2
0,70.00021373024485,30.025487883319528,250.06294515284074,160.46049463045063,49.88938881689913,49.936523731822746,72.55838741064588
100,70.01608096110418,30.36519965015111,249.79632189055442,4518.616658753477,50.03898505887665,50.11163884846903,65.39568509788663
200,70.00973842167535,30.891949567567675,249.67403106062363,6935.686009003405,49.42636814164819,50.15277123281106,101.89634480980568
300,70.01774074908732,31.099757231597135,249.38019630510556,7991.876146033822,48.29645590176617,50.18293819599492,138.82635403275796
400,70.03198159404361,31.00887680379272,249.2861783984547,8548.203038742318,47.52227629032521,50.30052284942879,164.6051382746826
500,70.03803178808181,31.94369700900661,249.1107965641821,8895.325507639222,47.68398046330504,50.32259069902932,199.9735072190693
600,70.03703703025766,31.643244083433874,248.7172530571118,8982.942709762561,46.926415255851836,50.40301470187404,233.15392327640413
700,70.05594631149584,32.53361442082323,248.5775981647971,8974.215410530214,45.996706079326955,50.54334962249833,205.29943747439006
800,70.0618779565245,32.104886252428514,248.7226510234392,8976.469101084256,45.705115768390336,50.629669629035774,249.8521977533138
900,70.06811170259849,33.10485337976942,248.2336865135284,9161.842788604014,45.67129050038701,50.67166256294898,274.67412891554574
1000,70.07078648054012,33.4848325551813,248.08873839992947,9156.90227563433,45.691830251960845,50.691400335516086,338.14248156506636
1100,70.0810132407751,32.96848472012912,248.16218153063878,9052.435313638043,44.91935350016458,50.88471815937688,310.26488957481956
1200,70.07679398444729,33.38038916443996,247.65567501745105,9136.660554654034,44.668425303449204,50.94533864155795,353.1899110022491
1300,70.09969219015234,33.911985125704774,247.87716896637792,9182.012353589616,43.440240888204734,51.00839307630925,401.69722849701805
1400,70.09014141891032,34.435528294132,247.55318652470274,9117.456319129293,43.18345544707232,51.037737255279254,408.2000402330949
1500,70.11521868774794,34.62887594452893,247.49264823525286,9077.93949234535,42.79708185148647,51.14161807032056,438.9399332032844
1600,70.10291062841763,35.146194871959295,247.40496380322548,9098.590920847595,42.19268915432612,51.05132166882244,442.8525675708119
1700,70.11167380581931,35.28530375169537,247.13035604870194,9088.270767059987,42.496284992241584,51.3026387846711,454.60044188612466
1800,70.13300567630837,35.93709822267382,247.0063970556076,9224.985687409657,41.9179580435376,51.2715575598296,499.55282457249785
