milliseconds,C,P,I,B
0,1.0003149571659316,0.995436770590245,0.913912772070179,1.4653267317304914
100,1.0548377390718717,1.0047976661683184,2.170950964141917,1.9314623482211943
200,1.1029033163866138,0.9913965632770124,3.099985056748161,4.500762872113552
300,1.141613251976567,1.008161462172034,3.858890868224468,6.107475260627143
400,1.1618910735178465,1.0104674696520926,4.954948358464677,7.294139194164507
500,1.186086314675053,1.007765360551424,6.207178248065323,8.652915150873953
600,1.2095098975726555,0.9960027382610389,6.607036962429413,10.931756400809562
700,1.2139321599842527,0.9776201199023893,7.367596565894319,12.117825075461157
800,1.2228303947836645,0.9816395741486471,8.413030279665414,13.603050805627978
900,1.2294319806645624,0.9798811413843463,9.101852878534581,13.978661593134149
1000,1.2379269826667618,0.9737078996990096,9.707902816123582,14.703085644114063
1100,1.23514559902467,0.947735526442013,9.805385850601223,15.587172900801548
1200,1.2387024172265202,0.9592525183162576,10.920964467998385,16.655605224625067
1300,1.2375517821373627,0.9430355154118468,10.726909943757333,17.680499926262048
1400,1.245760892519646,0.9356023653926583,11.850441556267418,17.65553556982596
1500,1.2369478552195041,0.9187449053659993,12.164318091289164,19.27230351105422
1600,1.2416191914522856,0.9216709251650955,12.017908071619766,19.80484097766874
1700,1.2352820241269387,0.9027384011340446,12.714693741620412,19.602167242294023
1800,1.2373953348517044,0.8957316296574266,12.745085401695748,20.347475372097648
1900,1.2368600973111807,0.8990349603437171,12.802524317186284,20.6988516639237
2000,1.2353652093264238,0.8872696387312339,13.1088303211921,21.464331716557922
2100,1.224294086196725,0.8775565971865853,13.622258038318664,20.982328026764787
2200,1.2211162726681657,0.8757010487956151,13.873092106478298,21.91723378878559
2300,1.2228305629688676,0.8523770814388647,14.0798204072233,22.261255264483147
2400,1.2169492640126047,0.8593861015743477,13.992247176720266,22.676626157651537
2500,1.2127298610086215,0.8444082535173911,14.31915999378633,22.284475253145363
2600,1.2124711989729153,0.8372745120448503,13.920031443282438,22.697121093964867
2700,1.2032572710764575,0.8290800670139156,13.964090021904862,22.285472604894867
2800,1.2025470732427308,0.8172445993825787,14.16395857263786,22.89763284099234
2900,1.1996561384539532,0.8157338148643566,14.690443130573755,23.22250443952297
3000,1.1980240126554935,0.8074818191629961,14.786179107457343,23.42592024536347
3100,1.1919900974404534,0.7873780627599406,14.271911599884527,23.38718282975173
3200,1.1884120457735725,0.7884876212129567,14.796889370507527,23.91875259390292
3300,1.183265298267118,0.7900776574614244,14.657329418047501,23.773043582747842
3400,1.1819346328193552,0.7704782357255793,14.529675792101116,23.938274327424566
3500,1.1764200179273623,0.7683222906622991,14.86457251317745,23.465374100603547
3600,1.1696314644523533,0.7544145054924175,15.066819600149888,23.6830197387983
3700,1.1722713611008597,0.7517455845658817,14.659073788118306,24.332639748029997
3800,1.16650655017101,0.743837219015177,14.617284077150446,24.331995357787005
3900,1.162184654241826,0.7299254836589791,15.102315790995844,23.513691881756866
4000,1.1532577324160578,0.7260933318561442,14.912442919248992,23.43035118943409
4100,1.152754842017876,0.7174924798634743,15.153321814494305,23.497159070123168
4200,1.152185386821252,0.7073350839373722,14.678374502032563,24.585564672202143
4300,1.147568095958309,0.7046478732103583,15.45788311088458,23.76759002727364
4400,1.1352036007925492,0.6952826206728392,15.39079016116723,24.439815979459368
4500,1.1409088050578242,0.6889588730731089,15.225168748376344,24.660359063412265
4600,1.131357663651225,0.6831906594638618,14.989244003330953,23.84001190917728
4700,1.1312372845264347,0.6780918857580306,15.290951925566754,24.102743850019532
4800,1.1213981967639115,0.672074715626819,14.983881243969416,24.777526412079006
4900,1.1196721996239796,0.6745401569029417,15.183676165819472,24.864767490336206
5000,1.1147407930599587,0.6645135331279547,15.435993331745,23.75803296005894
