milliseconds,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52
0,100000075.5120608,-0.054767312305833885,65.5844512847485,102461.17734642625,-1455.7547472997187,49999867.93386925,7.877110269470872e-05,-2.5428022957360946e-08,3.210138554302487e-16,-414.19843644812266,78846.22781614013,1229.311092827396,2326.894402321657,2.2051826805076715e-16,9.289611780045858e-16,18749.999999999887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.3031708687109,51431.744859823935,0.00030010554919909484,0.0,0.0,0.0,0.0,0.0,0.0,1.0638557943683542e-07,0.0,0.0031269852266860155,9.320247227824934,0.0,275.0000950398835,0.4816290036681009,0.0,0.0,0.0,18749999.999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,99999665.91505808,0.06196583337662169,425.03061305523374,88156.90382638913,8595.89884759083,49991719.85245613,0.00017165208315370143,2.1658981992193724e-08,-3.357426511251965e-15,8660.678540353909,78256.44185092005,1831.0035330527112,2783.492866850447,1.6239243963690221e-15,-3.850750402163893e-16,18750.00000000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.4688861033167,51535.83959327669,-0.0004719367622798997,0.0,0.0,0.0,0.0,0.0,0.0,-4.138375411170328e-08,0.0,0.0015005965354883226,-3.287307935618611,0.0,274.9996756953563,6.60938965349126,0.0,0.0,0.0,18750000.00000208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,99999328.69641174,0.10136243107174067,671.8638640152076,83056.67326522381,21014.573431559005,49981860.16561235,1.2412201620215314e-05,-2.883633952253678e-08,-3.920906741614507e-15,16789.74835814095,75013.9906698748,2113.9322686835567,2267.269331429345,2.8206871140912064e-15,-8.819313817119924e-16,18750.000000003845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.5314157479256,50217.40385793762,0.0008331221270373459,0.0,0.0,0.0,0.0,0.0,0.0,-1.3714833486775802e-07,0.0,0.006694267371231041,12.057822316781879,0.0,274.999773857787,11.596223699111317,0.0,0.0,0.0,18750000.000003655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,99998922.69435942,0.1504206696633803,1122.8737478385453,74558.3738669463,28450.08067578978,49972467.62669757,-0.00015023950280412793,6.495822928825868e-09,-5.287555599486245e-15,25189.6159786575,72268.20988572703,3675.6106131187603,3343.906215438642,-1.607068196149849e-15,-8.035675655392543e-16,18750.000000005224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3658.2325691331553,48895.97831801052,0.0003448207184202884,0.0,0.0,0.0,0.0,0.0,0.0,-1.204362629257398e-08,0.0,0.012929992027308703,5.250765429806344,0.0,274.9995275978079,15.484461240185865,0.0,0.0,0.0,18750000.00000505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,99998770.52621545,0.15809772923519386,1266.2957327095883,68403.61066377047,31386.8289479964,49969082.80701227,-2.598478072600543e-05,-4.060495380543065e-08,-4.976828931802921e-15,30217.868242123284,68093.88075837186,5687.8407173181,2821.8557182833983,2.2130925209708233e-15,1.3158990398150584e-15,18750.00000000603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5958.943319033514,50630.42390084986,0.0004552086862054587,0.0,0.0,0.0,0.0,0.0,0.0,-1.7443481638151487e-07,0.0,0.01807453973621353,21.90776067985747,0.0,274.9992376641645,17.92875606566853,0.0,0.0,0.0,18750000.00000605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,99998416.02034225,0.25848922388198037,1486.1953415341663,60301.350030166206,37478.533303859804,49958816.91164011,4.2023241729855e-05,-2.275359929546822e-08,-4.0452702829958757e-16,39895.844659038936,62985.63932330366,7438.6053469369745,3902.471710743934,2.5630616916137637e-15,1.2196627580338832e-15,18750.000000007018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7293.215054282626,49835.38208522825,0.0006567058067301374,0.0,0.0,0.0,0.0,0.0,0.0,1.4526516015721251e-07,0.0,0.023283882941034822,22.042498823527083,0.0,274.99882068937285,19.71226052366248,0.0,0.0,0.0,18750000.000007108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,99998142.5525709,0.36871003540918207,1782.8800646846328,54007.839258796106,49130.62894937386,49957881.91147786,0.00015198463348014803,-8.169630340018197e-09,9.199473281873477e-15,45959.89473737461,62228.7604093976,9608.093782743887,4465.689579502465,2.6688920735197304e-15,4.015837426298071e-16,18750.000000007494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9205.834375591485,50890.48203684843,0.00045882040289401305,0.0,0.0,0.0,0.0,0.0,0.0,1.0457537631566179e-07,0.0,0.02811421380598634,32.26160818734691,0.0,274.99888593922935,20.53152685582081,0.0,0.0,0.0,18750000.00000777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,99997989.90888046,0.3869212782587458,1906.4418364264386,49690.97259622709,50345.44274171798,49952814.95917292,6.741907660542872e-05,3.179065610243554e-08,-5.0944364078755446e-15,48006.71011165117,55106.24689257757,11669.974624569384,6126.465157393195,-1.20301883144315e-15,-5.332524891982279e-16,18750.000000008004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11547.45416353051,52347.95976715383,0.0009186752552398996,0.0,0.0,0.0,0.0,0.0,0.0,1.5203889493665972e-07,0.0,0.036451987762815254,56.85046750955142,0.0,274.9983521197259,22.066438565733186,0.0,0.0,0.0,18750000.000008248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,99997775.20856461,0.5354980341238315,2180.516434939239,43048.77230813771,56454.346716916116,49947065.91061978,0.0002237477246426353,4.995441671574993e-08,1.2786491594640683e-14,53215.363932359665,48998.2917671919,13289.212011260743,6097.381301918469,-2.4262976371855703e-15,-1.4331767486658194e-15,18750.000000008687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13034.833079987346,54852.43311440537,-0.0001925352504730082,0.0,0.0,0.0,0.0,0.0,0.0,2.0061049551206756e-08,0.0,0.04089554740148708,60.81527459291788,0.0,274.99776851965385,23.22519724633499,0.0,0.0,0.0,18750000.00000848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,99997682.56590165,0.5460675587374704,2289.1083943852677,41927.55753955301,63531.51189559741,49938903.53858238,0.00012332315559741234,-3.6232996134185824e-08,3.4320866095602072e-15,59569.99018328433,48053.59840448274,14372.017665774874,8394.195717629265,-2.4316611945891714e-15,6.71677157904762e-16,18750.000000008706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14248.306727148813,52888.62025641789,0.0008415458954305987,0.0,0.0,0.0,0.0,0.0,0.0,1.1605242087893552e-07,0.0,0.051838220561267426,73.34835032624845,0.0,274.99758122777587,23.566463360511168,0.0,0.0,0.0,18750000.000008788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,99997479.61347558,0.6522767860710755,2465.2432680182237,36838.010488771455,67939.39137691268,49939598.23834605,-1.2502583325732996e-05,-8.555284434979322e-09,-1.5123456945339186e-14,63405.16280378805,42166.650402839936,16167.007282426384,9066.337136704451,5.420658736921822e-16,8.789080731456392e-17,18750.000000008924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15913.380036970024,57521.08587417982,0.0015812054288835103,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877354526960393e-07,0.0,0.05589386287288506,80.48683176761722,0.0,274.99737912413576,24.385124724082665,0.0,0.0,0.0,18750000.00000914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,99997367.75673883,0.7062702340483272,2631.7561581134123,34006.355703346664,66952.1768218355,49933507.10958496,0.0001282361389926044,-2.099415495863287e-08,1.7296943944555814e-14,66225.3482954426,35477.67075077622,17267.420650396438,8725.576431273563,1.0599141358128505e-15,7.860021736251416e-16,18750.00000000918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17257.28902028541,58415.10193805158,0.0007416612097883874,0.0,0.0,0.0,0.0,0.0,0.0,-5.729373678284967e-08,0.0,0.05874844346169152,89.30918620852411,0.0,274.9969166338805,25.13227017544845,0.0,0.0,0.0,18750000.000009384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,99997250.45602462,0.8231485147893334,2812.5369140904936,31579.67944062484,73557.44379287699,49928512.47464686,9.88876786414811e-05,-4.297385994092378e-09,1.0129710067566816e-14,68183.83268791277,32635.05189500624,18541.146015748272,11169.272817605131,1.8538781550401254e-15,-8.246518276122751e-16,18750.000000009466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18541.319081358117,59270.63096436456,0.0017541215877760045,0.0,0.0,0.0,0.0,0.0,0.0,1.1559890844377537e-07,0.0,0.06143788869047429,114.55044497323081,0.0,274.99673574023416,24.93122680248299,0.0,0.0,0.0,18750000.00000956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,99997181.80988793,0.8735599934618015,2919.6368352719824,30319.14212593393,74150.1048153481,49925921.332687385,0.00019555166577894475,-4.2468126705121716e-08,-1.0186892481015491e-14,70288.39327213321,32311.609649412418,18799.858285154285,11726.332704800676,-6.294666353157321e-16,1.3640495063490315e-15,18750.00000000972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18956.466639445007,60085.23441036097,0.0008685940859077272,0.0,0.0,0.0,0.0,0.0,0.0,2.879357052361826e-07,0.0,0.06445370240734118,128.10577131067654,0.0,274.9961862328409,25.616123397524746,0.0,0.0,0.0,18750000.00000952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,99997066.28044187,0.922388411851229,2926.2268749933696,24606.049666502255,78445.8701116935,49924467.93585272,0.00038166109458161103,2.595752104240652e-08,8.784656644210918e-17,74779.21550430833,26820.06381344089,19570.647083486656,13112.073218018766,2.9412078004187872e-15,-5.655885855734474e-16,18750.000000009568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19648.849836286357,63011.133998796045,0.0014785214374467527,0.0,0.0,0.0,0.0,0.0,0.0,2.437913632310487e-07,0.0,0.06916600948427529,136.2014259828471,0.0,274.9959853699475,25.212480638631305,0.0,0.0,0.0,18750000.00000956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,99997034.5374017,0.9993878886269396,3000.245437048088,23969.02699152047,81989.65124215811,49922357.37321124,0.0001600263827917778,-2.9726455123347767e-08,1.3107429758635423e-14,75676.00258140967,27077.40132478827,19554.983774803324,13847.264183929556,6.851106930845064e-16,1.0352584452624823e-15,18750.000000009644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19299.62902343621,64885.41883379252,0.0021353589563925155,0.0,0.0,0.0,0.0,0.0,0.0,1.041332901456013e-08,0.0,0.07121448230281421,145.35854929417673,0.0,274.99573666934765,26.113623164565638,0.0,0.0,0.0,18750000.000009775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,99997010.25214472,1.0446568334434332,3073.670889528714,22504.024167481555,86898.02635926552,49918736.45878628,0.00034388786279988836,5.889856561808207e-08,-2.72570784512372e-15,76562.61621801724,21310.556439210486,19988.905650134104,15624.108683951268,2.118541700752465e-15,-3.130025394609252e-16,18750.00000000959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19607.07333677183,64948.32622053135,0.0030539444927828517,0.0,0.0,0.0,0.0,0.0,0.0,2.1421276503807732e-07,0.0,0.07676188568871287,144.36360790533666,0.0,274.9955657863559,26.185568598024332,0.0,0.0,0.0,18750000.000009824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
