miliseconds,s118,s119,s120,s122,species_3,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_18,species_19,species_20,species_21,species_22,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,s126,s135,species_74,species_75,species_76,species_78,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_90,species_91,species_98,species_99,species_100,species_101,species_104,species_105,species_106,species_107,species_108,s138,s139,s140,species_92,species_94,species_95,species_96,species_97,species_102,species_103,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30
0,-3.088245047628598e-11,1.234386868744787e-20,-2.5528354515604314e-18,-4.54273482561888e-21,0.0,12.112572911999909,-0.016563682137410617,0.0,0.0,0.0,0.0,999.9999999998081,-2.650685486210581e-10,0.0,5.049060002393381e-19,0.0,0.0,5.741673768229517e-15,2.1146650666279525e-33,50.00000000016371,3.3976850674697227e-11,1.004562345774299e-20,5.0716213528697216e-30,84.83687988595621,0.0,0.0,34.23224862351858,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.34634039032756475,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,3.08002425078015e-23,4.3520940266317616e-20,40493.0,0.0,0.0,0.011687449625596827,-0.0007844980855691995,4.1558484998454063e-07,1.3735235001551817e-09,7.937342616269551e-09,999.9999999903421,-2.440131672415552e-09,-1.9517318055936424e-19,3.79017860497614e-18,2.441687782023713e-11,3.241576559881893e-11,1.68842376113915e-13,-4.5897971959935387e-29,-6.15142028645845e-33,6.149966292671172e-41,-9.961846499085456e-20,5.709650770010523e-41,-3.648171989759031e-43,-1.262990106138572e-46,12.105288217627567,100.00000000028817,0.0,0.0,11.978714296482567,1.4969417233159528e-20,6.214497881448178e-23,3.826017818668169e-21,3.246761894732152e-26,-1.0477008477471903e-26,-1.5038898765695265e-22,4.428031027335425e-25,7.80839707870823e-23,60.0,-1.5517024650983822e-23,-2.293526490027168e-22,7.604877277654646e-25,3.4595765527083884e-26,-3.466943848636706e-26,2.3615303272541128e-26
100,-2.329772194257404e-11,-6.533005297264694e-21,1.0914585510285517e-18,2.0329787384407384e-22,0.0,10.814409647478884,0.05736142339459832,0.0,0.0,0.0,0.0,1000.0000000009745,4.200200211285782e-10,0.0,-1.9860051794740605e-20,0.0,0.0,-1.4198148107800554e-13,-9.021901519271657e-33,49.99999999989867,-1.0860417963308716e-11,-2.333163787410676e-21,-2.577839002469769e-30,83.72573417032757,0.0,0.0,32.53814319843799,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,1.4371176688550427,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-8.380027799275764e-23,-1.6902801720836738e-20,40493.0,0.0,0.0,1.1797126626971144,-0.0007470102018932226,6.895512512685316e-08,-7.961278308010845e-10,-1.3357000425377582e-08,1000.0000000174736,-4.32626678550108e-09,6.615468085412084e-19,1.0204773077429578e-17,-8.526941374315273e-11,8.322983481456042e-11,2.709384181032906e-13,-3.6072086821058635e-29,-3.5433904705006297e-32,3.5379885187002505e-41,1.478877382229521e-19,2.2726435622978593e-41,-1.9154202854965848e-42,-2.4012462060306173e-46,10.616872961627314,100.00000000024944,0.0,0.0,11.91321492248518,4.622013439487014e-21,5.897339925623248e-24,1.698197265253001e-21,6.8756757795731e-26,3.863596990837253e-26,2.6102941560464947e-22,4.35659790728595e-25,-1.5699053837038714e-22,60.0,-2.2534615513066324e-23,1.7774739668828406e-22,-4.272701871142972e-24,7.795207427237139e-26,-1.7203715374510988e-26,1.1087125446193628e-26
200,5.8004270482477297e-11,7.722912914300439e-21,-2.325610167697516e-18,-2.6690827107727423e-22,0.0,9.665355515730061,0.22348545522737473,0.0,0.0,0.0,0.0,1000.0000000002844,-2.8392451123674893e-10,0.0,4.650901119278369e-19,0.0,0.0,1.3611987081904355e-14,1.1234783139932455e-34,49.999999999816744,-2.307747981503281e-13,2.951623034516014e-21,6.578064007997471e-32,82.3943086514999,0.0,0.0,31.38594841652078,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,2.842902119905778,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,4.811059703720645e-23,1.6089736707626157e-20,40493.0,0.0,0.0,2.315262813854729,0.0016095394102326659,3.0028249461930307e-06,-3.650309935455506e-09,-7.85922341151677e-09,999.9999999996346,-4.541891168098898e-09,3.629370444001425e-19,9.857228235240669e-18,-2.333294129438329e-10,-1.0852469838330966e-10,-2.9307750446779163e-13,2.558929652558587e-29,-8.477630298426827e-32,6.426056549139956e-42,-6.749702192814664e-20,1.867735479293499e-41,1.919427479359677e-42,-6.14284032424134e-47,9.700074911358497,100.00000000002603,0.0,0.0,11.826379362459866,8.752991042278303e-21,1.4825448197821863e-23,-3.1398851119770874e-21,-1.2735084856815826e-25,2.3252551276743442e-26,2.5213059747507514e-22,-3.5969594858675166e-25,8.190771531580502e-22,60.0,-2.194785806359766e-23,1.8620531424741495e-22,-1.927137131953204e-24,6.102041881376213e-26,3.4393452454780996e-26,-7.431084545380383e-27
300,-9.586916612761439e-11,1.5612503054230515e-21,1.5500114679872645e-18,-4.1446060296410015e-21,0.0,8.941638473009467,0.2650664898392084,0.0,0.0,0.0,0.0,999.9999999998514,-1.0786290714677127e-09,0.0,-5.288093762353304e-19,0.0,0.0,-1.2849001088980847e-13,-2.4756970959940434e-32,49.99999999982586,-9.643862392202928e-12,9.82184431196752e-22,-3.327995773304425e-30,81.05454175839648,0.0,0.0,30.54353989957816,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,3.8615027202087546,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-2.901336473937005e-23,-4.186761791596351e-20,40493.0,0.0,0.0,3.1480892559354317,0.001017034404834471,-2.308336221510098e-06,3.358738548835504e-09,4.489412981837837e-09,999.9999999851107,3.018261435018376e-09,-1.6055477054633207e-18,1.0241249499295617e-18,7.752440428442982e-12,-1.1670293737928703e-10,2.8797430035153575e-13,-3.873172395725281e-29,-8.204337384532006e-32,-9.468672685574061e-42,1.0123715180413612e-19,3.1286412000353653e-41,1.3318664136490832e-42,-1.4343022563329927e-46,8.846149755437912,100.00000000024458,0.0,0.0,11.697640962929956,1.6315601131097373e-20,-8.388853244120924e-23,4.624934064581586e-21,-6.980650958275837e-26,6.880491453561502e-26,-8.213570999739962e-23,4.477736173061342e-27,-2.287789191915453e-22,60.0,-1.6804597022544557e-23,-5.68707851651382e-25,3.617561305325688e-24,-3.120853585875298e-26,-2.522774587475793e-26,-1.2624502437624504e-26
400,-2.610307905695138e-10,3.396742027874302e-21,3.4724402351310834e-19,-4.931251339008211e-22,0.0,8.21738558248351,0.3868696015439468,0.0,0.0,0.0,0.0,999.9999999995397,-1.0935018938577451e-09,0.0,-4.541494666445658e-19,0.0,0.0,-1.2590002344679024e-13,-2.7971488245459398e-33,50.00000000009099,-6.256705926286057e-12,1.0938159889176317e-20,5.985747085790831e-30,80.23598258790942,0.0,0.0,29.360605830073066,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,4.907283128579098,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-7.456387400271308e-23,-1.1532262364963938e-20,40493.0,0.0,0.0,3.9390922516084843,0.002563019471883742,-1.2685969417029906e-07,1.2923030258166505e-09,4.526336408831718e-09,999.9999999945999,3.4982003139230944e-09,-1.6042141429530568e-19,4.849047054088959e-18,1.1484143186611548e-10,8.396822520633921e-11,-5.024564953055205e-13,-2.2989246993579308e-29,1.1753579721382022e-31,1.930163678704993e-41,-5.407428664239244e-20,-1.5060390811996148e-41,-1.5115244511195416e-43,4.1817329478962505e-47,8.157882064514816,99.99999999971746,0.0,0.0,11.599944751796865,-3.081377939519061e-22,-7.863188297318414e-23,4.62933137902843e-21,-2.400012350267147e-25,1.0104485575351524e-25,-7.394895145740194e-24,-1.3304237718692014e-25,-6.852040865502936e-22,60.0,-6.641245033379328e-25,-1.3034713117392605e-22,-6.866487818166316e-25,3.8453599185964717e-26,-1.9465295744175988e-26,1.4306948178811033e-26
500,-1.8819109201220614e-11,1.774477865892372e-20,-1.3856310615510852e-18,3.475020940531972e-21,0.0,7.583177475228378,0.44171646079727495,0.0,0.0,0.0,0.0,1000.0000000012216,-1.9108725624694094e-10,0.0,-1.3998388827624048e-19,0.0,0.0,1.3633035098630296e-13,1.4430232943245847e-32,50.0000000000838,2.3592361404826826e-12,7.247163922842695e-22,-6.1626781868593195e-30,79.57187235237643,0.0,0.0,28.015471681233997,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,5.638499197863857,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-8.020365780220848e-23,-2.7082927925735305e-20,40493.0,0.0,0.0,4.446821482019983,0.0027163718400871483,1.6797059821694528e-06,2.412885432317806e-09,-8.444208003394926e-09,1000.000000004699,-2.6149041764102026e-09,9.208437077041219e-19,7.648122091301385e-18,4.019927331206037e-11,-1.1081567607135256e-10,-3.6314941691160734e-13,-3.48733107966685e-29,-2.3030183186912416e-32,-9.363856700109478e-42,8.471601629773359e-20,-2.887720734888703e-42,-1.799838853635069e-42,-1.1437127710684407e-46,7.614162860957609,100.0000000000866,0.0,0.0,11.537624805173417,9.670713997452468e-21,1.2377708188450462e-23,-1.3629094254645186e-21,1.9283662809070312e-25,-2.878318563059043e-26,-1.093155552308631e-22,1.189519029041455e-25,5.512896425132909e-22,60.0,1.413998050374319e-23,4.858381318381912e-23,4.365143714572556e-24,-6.31557462254668e-26,3.826054265563025e-27,-7.708219821939949e-27
600,2.6362842221294977e-10,-1.6765700306828124e-20,-2.1394354883339335e-18,-3.719274397434161e-21,0.0,7.097512469673584,0.5022027873056781,0.0,0.0,0.0,0.0,1000.0000000004108,-7.285611025326294e-10,0.0,-8.826205259983613e-20,0.0,0.0,-6.964395401471228e-14,2.994687984348637e-33,49.99999999991151,3.2193627841741634e-12,1.4622622814684191e-21,-4.5852663192217626e-30,78.09330967146634,0.0,0.0,27.209478898468245,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,6.683166909392548,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-1.334348675782339e-23,-3.746913690557476e-20,40493.0,0.0,0.0,4.904624631523953,0.002767008261651653,2.604634488928712e-06,-3.284276297712604e-10,3.417128537690268e-09,1000.0000000170394,1.0746656435124924e-09,8.597067043665071e-19,-9.506786809337486e-18,-2.5563520787535415e-10,-1.4286801676361022e-10,4.4860383466559325e-13,3.0107735285703036e-29,-6.091374669163042e-32,-4.872795581925947e-41,1.6017102043344266e-19,8.921080719920861e-41,-3.0846411486658976e-43,-5.535956470127018e-47,7.1032098445942,99.99999999992532,0.0,0.0,11.483693335068367,-9.00172306095136e-21,-3.6247953355089607e-23,-2.5539726289913833e-21,-2.580006104052866e-25,7.654661834223463e-27,3.0916454466708938e-22,-2.084907161866544e-25,-6.10437659354976e-22,60.0,1.6589745188129492e-23,-7.150416469734017e-23,3.0583090708374924e-25,7.080325947987619e-26,-1.884428424997397e-26,-7.145082379334406e-27
700,-2.819835824557031e-10,1.2911701187649534e-20,-3.009641353434569e-19,-4.2100483593597494e-21,0.0,6.619272233817686,0.5931346553439897,0.0,0.0,0.0,0.0,1000.0000000002365,5.904340227854304e-10,0.0,-2.1493744302710133e-19,0.0,0.0,-9.298559103892738e-14,2.0914327420549135e-33,50.00000000004935,-3.957735296276339e-12,-5.634152662790507e-21,2.3790493621717064e-30,77.18586902222363,0.0,0.0,26.641007605060285,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,7.367870938134614,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-4.822604798275861e-23,2.5779249757166628e-20,40493.0,0.0,0.0,5.4565821825328555,0.005433947732538733,2.8953449230687266e-06,1.0075988138954565e-09,-6.428677972134794e-09,1000.0000000196393,-1.828562642881325e-10,-2.9732709303346466e-19,-8.659759877902265e-18,3.106294612646362e-10,7.495392950476104e-11,2.698653024890535e-13,1.376197342471558e-29,2.7893706710273564e-32,3.0219565465828827e-41,4.4587436515272206e-20,-2.5915014070219263e-41,-1.01217707671248e-43,1.5934172620334167e-46,6.646181897984764,100.00000000016813,0.0,0.0,11.4024421846676,-1.526372450248176e-20,7.496276705004056e-23,-3.590714440055153e-21,-4.5706315305474135e-26,-1.3696577940300345e-26,1.1194508608864143e-22,2.2467463834265886e-26,-1.5675877633469408e-22,60.0,7.715431163623518e-24,-2.345496599039805e-22,-3.5572256886027824e-24,-8.682995855393371e-27,1.962826330907911e-26,1.5940761559063866e-26
800,-1.030645211778634e-11,-1.362726534179561e-20,1.2285544925684157e-18,-3.2388766765948646e-21,0.0,6.258762165198853,0.7222518013268796,0.0,0.0,0.0,0.0,1000.0000000010801,3.9645114859467304e-10,0.0,-5.004665934779366e-19,0.0,0.0,-1.0174755337234578e-14,-3.9576872903568775e-33,50.00000000013392,3.0655564704489824e-12,-1.904269709385715e-21,3.3367162130983626e-30,76.72060102731267,0.0,0.0,25.09684421826048,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,8.491442926489421,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-2.5593516565288744e-23,-2.728873086749508e-20,40493.0,0.0,0.0,5.766806775491546,0.006429518492510088,1.7990318139621157e-06,1.749385007724373e-09,1.4804204573184481e-08,999.9999999906863,-1.4076235935212491e-09,-4.982761495735051e-19,1.3284282613751157e-18,2.1776783272984395e-10,1.513941891725717e-10,1.6512056438151028e-13,-4.6072787577272616e-29,9.26648144610761e-32,-1.0964127833535278e-41,1.3460717855183295e-19,-3.638682164995729e-41,1.3943881620422153e-42,2.2758401729865025e-46,6.122902932892325,100.00000000003799,0.0,0.0,11.28480711981537,-1.272004833681777e-20,-9.793808235649962e-23,-5.564122996716431e-22,-8.178687051712245e-26,6.488518524094965e-26,2.146988005669266e-22,-2.9661731677309247e-25,-1.352423425686603e-23,60.0,2.090188522388677e-23,-1.66069763478606e-22,2.7306411410393216e-24,3.3675673098425596e-26,-3.179382339734865e-26,7.245748770518993e-27
900,-2.987546372365304e-10,-1.1512632738444605e-20,-1.1047112887418418e-18,-4.273093131172984e-21,0.0,5.7924322557396986,0.8072836980190916,0.0,0.0,0.0,0.0,999.9999999999034,8.698866591512712e-10,0.0,1.7377034380690317e-19,0.0,0.0,-9.305119640283695e-14,4.058762124691616e-33,50.000000000094005,2.4515810714816037e-11,-1.0481443135684232e-20,7.597600327473929e-30,75.25894302655318,0.0,0.0,24.293299174200822,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,9.5301695094845,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-3.2223665300818407e-23,-5.424078292218225e-22,40493.0,0.0,0.0,6.169556147667103,0.007912530759451745,2.215747511530039e-06,3.4662004663970673e-09,2.022783334914585e-09,999.9999999977122,-1.7125879636047154e-09,-2.091807523019585e-18,1.0139639565518582e-17,-9.046900200105478e-11,-9.166217293825383e-11,1.7452430330696704e-13,-3.622240259014177e-29,-1.8573997388083825e-32,-3.9549313084092026e-41,1.6325658074092638e-19,9.462982231911683e-41,8.111746142286708e-43,-1.5962753206096732e-46,5.78538780108017,99.99999999968787,0.0,0.0,11.22141449392114,6.168744158399698e-21,-3.171162338172465e-23,2.4837947440590702e-21,-2.4719787979212786e-25,7.120817958825082e-26,3.1727560072044424e-22,1.6041108260631115e-25,-6.628017675595265e-22,60.0,3.1579681631101456e-24,-2.0828139084526434e-22,1.4567892217326816e-24,5.1046877335653605e-26,-9.353737078033746e-27,2.1482992314328332e-27
