milliseconds,Bone,HSC,Ob_m,Ob_p,Ob_p_Tgfb_A,Ob_pro,Ocl_m,Ocl_p,Ocl_p_RANKL,Ocy_A,Ocy_I,Ocy_I_PTH,MSC,LOAD,MCSF,Ob_m_PTH,Ob_p_PTH,OPG,OPG_RANKL,PTH,RANKL,Sost,Tgfb_A,Tgfb_I,Wnt_A,Wnt_I,X,newbone,Bax,Bax_Bcl2,Bcl2,CREB,CREB_P,CREB_Runx2,Runx2
0,2000.0,100.0,-3.262150558947461e-12,2.304529722600459e-07,2.4737864105119774e-10,-0.00042807501989677616,4.512610628380194e-16,1.6108563640483791e-06,2.4337934525211833e-12,-0.2372652293515192,1799.2107029806054,-0.5534161246557877,100.0,0.0,5.0000608927981105,-7.420985518489611e-14,4.3066827256668376e-11,4.480048451059214e-13,-1.0215491251401128e-18,170.95291826963987,-1.674677926054636e-05,0.1550323342732981,5.000025860933222,500.0,-0.567490017202085,200.18296596595232,0.000792022144894825,7.915618294755886e-17,100.0,3.8277852644622715e-33,1.1991542348592304e-32,100.0,-2.48898015055289e-28,-1.0589949166111969e-29,9.999721793036036
100,2000.0,100.0,4.808008224171906e-11,1.3022995579275388e-07,-3.377333720074379e-10,-0.0003910054715153053,9.312252343746822e-16,7.721556846691546e-06,1.3263488112289162e-12,0.2526845757559053,1800.2186522150687,0.18248705646614716,100.0,0.0,5.000015292909026,5.09610275689551e-13,6.493379085851218e-11,7.361351676833681e-14,5.401678673338422e-19,167.90626692346933,6.242693308331623e-05,0.21086744865308907,4.999984822600668,500.0,1.108264462255835,199.60111846185157,0.00212947940106394,-7.462183650018112e-17,100.0,-1.0503869221880337e-33,8.6610967410484e-33,100.0,8.138865369434157e-29,6.586326015492073e-30,9.999951511192661
200,2000.0,100.0,5.2309917544650045e-11,1.5178919836811942e-07,-5.7009022075688334e-11,-0.0003415475517440095,8.459563238400853e-16,6.4788394343551146e-06,1.9856279209557532e-13,0.26641475395070696,1796.510730101791,2.1802463446226934,100.0,0.0,5.000094643514774,-2.7717556615449813e-13,1.956870851598248e-12,1.9890910196466093e-13,-1.7513263773493035e-20,167.8082706007367,5.272728890974328e-05,0.4580499205412569,4.999979719123138,500.0,1.9774808378208428,198.93241903641686,0.0008687511439173679,-9.367033394191811e-17,100.0,-4.740538934695522e-33,-2.398123656186117e-33,100.0,1.2399538415736275e-28,1.0727295600619877e-29,10.000958701417128
300,2000.0,100.0,1.040444554867768e-11,4.7040961051422973e-07,2.968544914410976e-11,0.00028734927676355636,7.014324295287766e-16,9.085126536529815e-06,-3.5155674709303864e-13,0.24076620593882525,1796.8752750128092,2.498330853104338,100.0,0.0,5.0001585173751995,5.665010447341696e-13,5.405737511794417e-11,-9.604562373343508e-13,-5.02757670636829e-19,166.51685625508898,5.281392414692094e-05,0.5787192125908465,4.999951434598108,500.0,1.2388056189571977,198.54387125055072,0.004719107101811875,-4.803251785095622e-17,100.0,-1.9026367806832756e-34,-8.846721845090579e-33,100.0,-8.26177444913446e-29,-9.74786348665307e-30,10.001603163677776
400,2000.0,100.0,1.6235471699407497e-11,-2.7625129749955774e-07,-4.3322540320265685e-10,-0.00023787046770057914,-1.2119960447802215e-15,2.723843371710822e-05,-1.694034981586308e-11,0.05654097530115933,1794.3360424198227,3.776554264010784,100.0,0.0,5.000228853135226,4.909584813670088e-13,5.6617286326460714e-11,-2.9505041164059875e-13,3.9678947511913417e-19,165.35651398859412,0.00014097400743762098,0.6066554350647156,4.999888896088116,500.0,1.9991346844796762,196.93576545753388,0.005947577295278365,1.2679222485355338e-16,100.0,-5.327224125986401e-34,-9.112535836624755e-33,100.0,8.327809742060614e-29,5.252487823040859e-30,10.001049743744463
500,2000.0,100.0,4.840129911248605e-11,3.890034441279167e-08,-5.196309744339067e-10,0.0007104175158862132,-6.362983553520062e-16,2.6178211581747212e-05,-1.051403825374753e-11,0.006448909785440396,1794.1566679971472,5.84365941605028,100.0,0.0,5.000198973736366,-1.599614539078325e-13,9.214875202445892e-12,8.899228803730676e-13,-1.1769517373960326e-19,165.23104383747975,0.00010263344764184157,0.5617336928641147,4.999867623418116,500.0,3.553195820159279,196.54956512793865,0.007347225418397416,6.197887741444121e-17,100.0,3.414084859329861e-33,1.275697729267262e-32,100.0,2.0669983439850628e-29,-7.560344588283785e-30,10.002012068236867
600,2000.0,100.0,3.916886028788381e-11,-3.1859057413801715e-07,-2.7223983671172447e-10,2.648865559947764e-06,6.5716924003622935e-16,3.169934923226248e-05,1.7929322914617648e-11,0.2263226207282218,1794.455898380101,6.702037857447021,100.0,0.0,5.000319752967785,2.1007978324058258e-13,-1.599766480602231e-11,-6.221946490371399e-13,-5.0314395586089585e-19,164.56303759619377,0.00017780285515744094,0.9814930072047247,4.999826965252358,500.0,3.3101219957979273,195.88910382219956,0.007055124210865947,1.283688643957054e-16,100.0,-3.590163894234032e-33,3.7778332709870875e-33,100.0,-1.4563368866424115e-28,1.0673617430678925e-29,10.001932618437682
700,2000.0,100.0,-2.3256501900604965e-11,-2.5547245488656594e-07,4.1615548456838634e-10,0.0008709672867546455,-1.5629429572560923e-15,4.3883056094324674e-05,1.6958374307557892e-11,0.4549644698309795,1792.5854926785862,7.0299530052826755,100.0,0.0,5.000402642626868,6.133875509809228e-14,8.973855209726267e-11,9.259000538138181e-13,3.663333440871696e-19,162.3859065430953,0.0002051255441764596,0.9234109330462519,4.999846653245805,500.0,3.917867218572624,195.5117013420147,0.009329753113607472,1.6668293266459028e-17,100.0,1.4399943961311536e-33,2.3976744749043518e-33,100.0,2.2791042243722973e-28,-9.93846865301555e-30,10.003255030457499
800,2000.0,100.0,2.0772972023156158e-11,-3.933535740632169e-07,-9.952202487698609e-11,-0.00014014798133432578,-1.5353469999886496e-15,4.536694955477076e-05,9.197997160657754e-12,0.01933781286525965,1790.5053997058976,7.110311085641026,100.0,0.0,5.000353585578458,-5.620293924255651e-13,5.647238409535371e-11,-6.977757031083276e-13,-4.649594378496355e-19,162.46456609710373,0.00020350575745358226,0.9382183096755898,4.999831290395224,500.0,4.638655229505211,195.27170382278644,0.010933505422211599,-1.2275441265704593e-16,100.0,2.6847807764080297e-34,1.3731442677969263e-32,100.0,-2.5593353124341405e-28,-9.055623515255578e-30,10.002803482496557
900,2000.0,100.0,-1.1863999452811849e-11,2.8248255349823417e-07,1.0673788379348528e-10,0.0008317717171008551,-1.0910038453751541e-15,5.024976508260049e-05,-1.366606443660092e-12,0.25519850887793816,1791.7666102386902,9.65134415206822,100.0,0.0,5.000490132378969,1.6086611032197948e-13,-7.865829640688685e-11,4.5341502548604465e-13,4.795452327991595e-19,160.36769751121003,0.00026528996384344493,1.331280396601298,4.999781008395686,500.0,4.562460768254811,194.88654337876198,0.008946810508594367,1.278020265091369e-16,100.0,3.945421016065355e-33,8.63081840995806e-33,100.0,3.968988533683564e-29,-1.0463125393897268e-29,10.003390482085234
