milliseconds,Bone,HSC,Ob_m,Ob_p,Ob_p_Tgfb_A,Ob_pro,Ocl_m,Ocl_p,Ocl_p_RANKL,Ocy_A,Ocy_I,Ocy_I_PTH,MSC,LOAD,MCSF,Ob_m_PTH,Ob_p_PTH,OPG,OPG_RANKL,PTH,RANKL,Sost,Tgfb_A,Tgfb_I,Wnt_A,Wnt_I,X,newbone,Bax,Bax_Bcl2,Bcl2,CREB,CREB_P,CREB_Runx2,Runx2
0,2000.0,100.0,4.061853194968935e-11,-4.6969361467386564e-07,-1.412512931497364e-10,0.0006806266603313181,4.938335329072261e-16,6.471469985818037e-06,6.532916595605247e-12,0.2609929015282379,1799.2547514272414,1.1087120519974911,100.0,0.0,4.999966928090515,-3.3434301520686267e-13,-4.073652080596593e-11,-1.8253519077629194e-14,6.050180883430993e-19,169.25702768025943,3.2714898237610565e-05,-0.0060268831624156185,4.999970663320515,500.0,-0.13773448474490071,199.77935119343266,0.0016785769449644376,1.3608851568265934e-18,100.0,3.3920006680431786e-33,9.939296024907226e-34,100.0,-2.8031658316127994e-29,6.773213096535361e-30,9.999429196224778
100,2000.0,100.0,1.1079120873625335e-11,2.8185564706094564e-09,5.338282643455832e-10,0.0003368926478963562,-1.2990517407188717e-15,3.9875283201550364e-06,8.95297913135812e-12,0.05239508662150498,1798.6060521717268,1.0630258037868918,100.0,0.0,5.000004999738707,-5.530856902554097e-13,-1.0480120857574342e-10,-1.0524036676897131e-12,3.847699915946656e-19,169.8128828747106,-2.5396373642805456e-06,0.21912837901478183,5.000002889900833,500.0,0.9704427728714382,199.0508859221922,0.0026271090168847253,1.1013149077734729e-16,100.0,-4.35422151402882e-33,-3.475144202617668e-33,100.0,-2.0442857846115177e-28,2.5408521848740042e-30,10.000412279177892
200,2000.0,100.0,2.877128615541367e-11,-3.2183721068322807e-07,4.250755807328574e-10,-0.0005321289591560079,1.7087835629899442e-15,9.564823094633994e-06,-1.706586536026583e-11,-0.11914899935059549,1798.8860112584196,2.220664289309637,100.0,0.0,5.00014484628204,4.0677293743228935e-13,2.3461991381851672e-11,4.240122305880728e-13,8.811395621698412e-20,168.5610895070927,9.469271506462898e-05,0.13279141837109026,4.999923874191591,500.0,1.4103708729911808,198.4752576139855,0.0011163763499237168,4.530801992152091e-17,100.0,2.3883249317418276e-33,1.0410688870066184e-32,100.0,1.0599430759401934e-29,1.240403999959272e-29,10.001099623919028
300,2000.0,100.0,-3.568343712925332e-11,4.4744037733027644e-07,-3.183595881836366e-10,0.00035243971807285104,-5.994630986163997e-16,1.0839843361050387e-05,-9.873291848846423e-12,-0.17913105803289286,1796.1306474129517,3.670745876322725,100.0,0.0,5.000078270553527,-4.793603211447816e-13,1.763836326345761e-11,-5.41885463176219e-13,-8.025797127966789e-19,167.48357388376655,0.0001189708759222868,0.35760256355891573,4.999907250480445,500.0,2.25684731077711,198.57455078712889,0.0026518674854248605,-2.812902506530157e-17,100.0,-1.4088965727839744e-33,-1.1741511448560832e-32,100.0,1.2653996926405784e-28,-1.1468363248204775e-29,10.00166526285618
400,2000.0,100.0,-2.7004795278636797e-11,2.7710784119657896e-07,4.766512733408671e-10,4.250956818837594e-05,1.5539235209120023e-15,1.5295465932126362e-05,-3.422768992607896e-14,-0.13995423111641703,1796.1424656993706,4.966890789221107,100.0,0.0,5.000193705448688,-4.530862570905323e-15,-1.042703301884158e-10,7.74175695574847e-13,5.460825308002249e-19,165.8783257097449,7.653677921844968e-05,0.3490879698975363,4.999914203020942,500.0,2.598893340149141,197.84597620500548,0.005629617499548589,-7.256776110532826e-17,100.0,3.8155224707204885e-33,5.93421527086656e-33,100.0,-2.4339326288980255e-28,-9.417992807687379e-30,10.001920698884408
500,2000.0,100.0,1.9715150032355867e-11,-5.19893974127255e-07,-1.2073337424678525e-10,0.0006141035442880853,-5.482526287656057e-16,2.6504868999783637e-05,1.0014709336169803e-11,0.1464839675823501,1794.4485120357454,4.3914080887264175,100.0,0.0,5.0002129798362525,3.733726516747222e-15,-8.094209548841679e-11,1.0632850057842021e-12,-9.461245247162335e-19,164.96472458772163,0.00012513972979871088,0.7836446860979337,4.999903765149227,500.0,2.4477474052041095,197.48746600769005,0.004084688889696846,-2.2695356202388823e-17,100.0,-2.9480469254592916e-33,7.514059301798941e-33,100.0,3.607873846187871e-28,-1.3024071437220107e-30,10.002012095265924
600,2000.0,100.0,-3.980465390206265e-11,-2.1846563375682895e-07,-3.7542108542774803e-10,0.0007730909533047575,8.785252832776768e-16,3.6957371885310366e-05,-9.331165106480786e-12,-0.023409097387764283,1792.7877326241312,6.490663915279162,100.0,0.0,5.000298622992287,-1.1655969815784082e-13,1.2555143063163349e-11,5.65023514183374e-13,1.4111302488159306e-19,163.34256497711974,0.00015311424214163773,0.8049336031406675,4.9998301969376415,500.0,4.088271060770424,196.86435365113346,0.008461313884590987,4.158957813088244e-17,100.0,-2.0023317056043473e-33,-1.3638812517520519e-32,100.0,-3.5665963185017137e-28,-9.469337966121836e-30,10.002335563497267
700,2000.0,100.0,-4.787648656379103e-11,5.362320097754126e-07,3.58216734142569e-10,6.678827041956609e-05,6.20752588637464e-16,3.679049570058739e-05,1.3952248439747476e-11,0.3474461478448655,1793.1114746362587,6.06531947782572,100.0,0.0,5.000392581072906,-4.881104599016149e-13,-1.0544149643566592e-10,6.881020506028681e-13,-4.395131291773974e-19,162.67270370012446,0.000204166528761265,1.0986386260689385,4.999796840854922,500.0,3.6161469365029917,196.27008468435645,0.009442139470319024,1.2946093304187597e-16,100.0,-4.267087896205505e-33,-1.5775852763934167e-33,100.0,-2.2853241665824177e-28,-9.930512666787056e-30,10.002475822609476
800,2000.0,100.0,-3.4548575600290054e-12,1.8464772695591796e-07,4.548744303123607e-10,-5.312514497466086e-05,1.0365758585314543e-15,4.7710691187015645e-05,1.9480037284062407e-11,0.3393174112533972,1790.425470594973,7.560547800390772,100.0,0.0,5.000467411561818,5.611235831204153e-13,-3.6215591834659385e-11,5.43271537875657e-13,-5.834973366402461e-19,160.5644438394272,0.000205588097853614,1.015830226889837,4.999792166216919,500.0,5.013497608179189,194.92230722474363,0.008361825087063906,-1.9042848284383607e-17,100.0,-1.7339001825918276e-34,-2.4024251009701072e-33,100.0,2.612619963355471e-28,8.710263670704414e-30,10.00318536374665
900,2000.0,100.0,8.445885074075694e-12,4.4330344706470026e-07,5.681960121349852e-12,-3.409613972294668e-05,-1.3627671862632779e-15,4.416483630044592e-05,9.13393858529532e-12,0.08267540035174775,1791.5072621310937,9.8783810958606,100.0,0.0,5.000396622056334,3.421553387928196e-13,-6.827240862923236e-11,-1.4914325140782023e-14,-2.1995610495237427e-19,161.18138934977486,0.0002654594445358019,1.119449852185786,4.999778954030758,500.0,5.068433046584246,194.6142991379934,0.010262976734454267,3.4252482485326194e-17,100.0,1.0876429537164866e-34,4.8615085530017875e-33,100.0,-1.1897504822228065e-28,-7.349137480637045e-30,10.003150007088195
