milliseconds,NFAT_phosphorylated,NFAT_dephosphorylated
0,0.9918643989326811,0.0005497620887345533
100,0.9596982790946299,0.038365531584721724
200,0.9294072574053845,0.07014688929848108
300,0.9096809079178219,0.10574590957725204
400,0.8603514937378782,0.1351924349877585
500,0.8447110708037684,0.15051568452737163
600,0.8179606729981996,0.1849875370052764
700,0.781310633892158,0.21274384905601526
800,0.7732068015507405,0.23566510888504283
900,0.747031212614026,0.2595170906332988
1000,0.7130271260317522,0.27124912421439495
1100,0.7202560809901041,0.2638929873470236
1200,0.7246459590872211,0.2677043712734273
1300,0.7255952615079216,0.2532708268580134
1400,0.7329937389943458,0.24887713098129718
1500,0.7287135687842954,0.25344621245846755
1600,0.7364227002372468,0.24107719724394086
1700,0.73657350607337,0.24029015800258743
1800,0.7539487774692769,0.2305877834741147
1900,0.7505496725827095,0.22949847597065842
2000,0.7546455020160042,0.22803383734316202
2100,0.7565911165518101,0.22103396663709404
2200,0.7519188207615323,0.21403515362144795
2300,0.7613576332885927,0.2106524571813483
2400,0.7699164087328441,0.19979820532620335
2500,0.7790672903484959,0.19243051411979678
2600,0.7663994684740879,0.2026690565467124
2700,0.7723181149002845,0.1906961070549928
2800,0.7882017949650654,0.18639007849978742
2900,0.7775233848229944,0.18666700124787666
3000,0.7860724431516791,0.18658682329450474
3100,0.7542406967430887,0.2070980827177405
3200,0.7295817149257323,0.22696942199726738
3300,0.7210598340557361,0.2557648399292969
3400,0.7013351058560047,0.27077171604117706
3500,0.6672383889050768,0.2817430277463446
3600,0.6470911737287517,0.29834917886499546
3700,0.6346747043206158,0.32181695429310336
3800,0.6111316357383677,0.33229723204879014
3900,0.5940014846237069,0.3518586386661236
4000,0.5844394863495158,0.36560572397906727
4100,0.5815360967799651,0.35372697910155904
4200,0.6022552164458796,0.3439926403823827
4300,0.6015945588124886,0.33879751781378825
4400,0.60570509040997,0.3377243322005478
4500,0.6045891727367161,0.32978076362734887
4600,0.6110308104804729,0.32896697143088366
4700,0.6303404432859916,0.31160282262407335
4800,0.6253407886710093,0.307254139436087
4900,0.6309732150830222,0.3007447284248933
5000,0.6453541777012639,0.291642191527746
