milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.468455070042112e-06,-1.0650704378825505e-12,5.077857573375807e-06,-1.7423933943438654e-09,4.966876958636846e-13,-2.0411975630446883e-09,-1.985925420572323e-13,2.465069357340254e-06,1.1136273304145214e-08,1.5672247108053252e-09,-1.3598268681838118e-11,-2.260105842453009e-15,3.408664314293819e-10,5.256465701792093e-14,-2.3688842104975642e-08,-1.6189440064895913e-09,1.0026195732156264e-05,-1.991652399126085e-08,2e-05,2.003280661104918e-06,1.1940574303536213e-08,1.63e-06
100,1.6528558332369626e-06,1.192680255533525e-10,3.1130697067974175e-06,6.086883045976421e-07,4.422207486035743e-11,1.3069386204286447e-07,9.843484792701451e-12,1.547952020889188e-06,6.558120507051061e-07,1.4741153760308832e-07,2.2373814569688197e-09,1.617404356215143e-13,7.009532824086697e-08,5.235667605654869e-12,4.774912724466312e-08,1.524540167968061e-09,9.988830593082694e-06,5.4903316683629406e-08,2e-05,2.0304271275756613e-06,3.015799451064319e-08,1.63e-06
200,1.2828296419730552e-06,9.623946601161602e-11,1.9622075861698384e-06,7.358413031071249e-07,5.397580582497962e-11,2.819644263165423e-07,1.9480122325749654e-11,1.1896106501620204e-06,8.212974027491262e-07,2.8959707616000345e-07,2.0016519567399754e-09,1.473918946045662e-13,4.290500271562767e-08,3.2220551448480422e-12,1.6084164375127752e-07,6.859615435654982e-09,9.93703231562484e-06,8.22413513728118e-08,1.9999999999999998e-05,1.980616578345325e-06,3.8698591080641626e-08,1.63e-06
300,1.1243837372728043e-06,8.30336024965227e-11,1.3932584450087412e-06,7.32982771569514e-07,5.3892708120896576e-11,3.565716787466748e-07,2.6274850741396973e-11,9.632216791217118e-07,8.472906718578179e-07,3.963646485070403e-07,1.631597608465794e-09,1.234299698139085e-13,2.8475063479585286e-08,2.0857909479428623e-12,2.4902886981591886e-07,1.3872337986405462e-08,9.813415292635417e-06,1.9741982802981846e-07,2e-05,2.001232018060439e-06,2.9024524026630673e-08,1.63e-06
400,9.57459140626664e-07,7.510042784336816e-11,9.912277213426594e-07,7.087736847833193e-07,5.401894548756628e-11,4.0820043639473515e-07,3.056088648548086e-11,8.098946775896416e-07,8.290035514169605e-07,4.550888891899767e-07,1.4029336256220588e-09,1.0597697762401675e-13,2.124294471386867e-08,1.590779542804237e-12,3.701256308158118e-07,1.9103410278529752e-08,9.584611466245311e-06,4.084421225399168e-07,1.9999999999999998e-05,1.9684416677700437e-06,6.331515822531467e-08,1.63e-06
500,8.781809024647229e-07,6.626589076120268e-11,7.387473717071814e-07,6.844357545316565e-07,5.259516030575397e-11,4.284325053666231e-07,3.269817830717235e-11,7.448733557524489e-07,8.125114872814324e-07,4.7266598895854427e-07,1.1810227721850911e-09,9.223780264723323e-14,1.713448335185825e-08,1.282411435886529e-12,4.5389173584171807e-07,2.4190348510161666e-08,9.462897943994019e-06,5.264629662563779e-07,2e-05,1.9705913680226673e-06,5.663673196470168e-08,1.63e-06
600,7.821057531875333e-07,6.369206942244618e-11,5.960774315950511e-07,6.641374497675651e-07,5.123456160318984e-11,4.358501497043071e-07,3.441141504112832e-11,6.410810981754918e-07,7.921069018260327e-07,4.826107677890414e-07,1.0511117627586408e-09,8.163738021587765e-14,1.399059892201425e-08,1.0236435648871507e-12,5.534431354236829e-07,2.8749213993935704e-08,9.36621638421282e-06,6.496388382429062e-07,1.9999999999999998e-05,1.9052981666651702e-06,9.763883531124702e-08,1.63e-06
700,7.26895282242342e-07,6.066860219916825e-11,4.876668917553027e-07,6.429733878735272e-07,5.2447877050212816e-11,4.42507367383739e-07,3.5340418335649394e-11,5.8766561960838e-07,7.939894117263267e-07,4.988817133876668e-07,9.596376861916485e-10,7.281446447289898e-14,1.0211332768145809e-08,8.317167875551198e-13,5.860147359315871e-07,3.342176990366042e-08,9.21908656440678e-06,7.691518757679504e-07,2e-05,1.8673846989577515e-06,1.1041437674520152e-07,1.63e-06
800,6.964408373091953e-07,5.628207758234196e-11,2.4723429083590915e-07,6.504176793716367e-07,5.09123223333062e-11,4.326010247722425e-07,3.494703162345193e-11,5.026650715218929e-07,7.778896894659869e-07,4.949688002152493e-07,8.361493793004457e-10,7.087717508043762e-14,8.63639782971805e-09,8.472437842602185e-13,6.93557581188517e-07,3.515099046952028e-08,9.065490436728169e-06,9.116531879254068e-07,2.0000000000000005e-05,1.8203853045708147e-06,1.2735105868515522e-07,1.63e-06
900,6.825046102469464e-07,5.303489291466748e-11,2.1240759252560208e-07,6.351423987933674e-07,5.070753038915252e-11,4.2906785447194374e-07,3.4468820883635007e-11,4.6959599220469826e-07,7.745136101892404e-07,4.821095193856364e-07,8.12686985394952e-10,6.337573102502713e-14,9.482681971368323e-09,6.409654543017515e-13,7.307033036120985e-07,3.7759690335341286e-08,8.986638338761908e-06,9.421145829535298e-07,2e-05,1.8147871799887345e-06,1.625303798493406e-07,1.63e-06
