milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.5058874700096266e-06,-1.112510131689184e-12,4.970118527242184e-06,3.0732592890004645e-09,4.2896005314458395e-13,6.668261319391217e-09,-1.6155123485598075e-13,2.5170402968735818e-06,-4.170380664644348e-09,-6.467440323486227e-09,-8.330054157810067e-12,1.877836547412382e-15,-6.025508249218265e-10,2.9298512958812274e-14,-2.410235992071827e-08,1.2003640763003902e-09,1.0004815438002435e-05,1.0702736735442714e-08,2e-05,1.9751252402076425e-06,-2.7974503474121135e-08,1.63e-06
100,1.6558615689886713e-06,1.1966649177347259e-10,3.0317336307105856e-06,6.210695473919068e-07,4.4729668970531225e-11,1.357713971737402e-07,9.451532885713957e-12,1.6104098614432635e-06,6.538391072436617e-07,1.4455335580208957e-07,2.232199405702839e-09,1.6225488060685398e-13,7.144452900285719e-08,5.217653608817365e-12,4.5930241428913664e-08,2.2113725688650987e-09,1.0028185607820317e-05,6.947295377485364e-09,2.0000000000000005e-05,1.9668352815811158e-06,2.9010310013752985e-08,1.63e-06
200,1.3351940707297966e-06,9.478006349774276e-11,2.0058565154974625e-06,7.254171768382235e-07,5.321405332518713e-11,2.6686103014186396e-07,2.0481089756229146e-11,1.234218685038647e-06,8.234836661274627e-07,3.025802779746175e-07,2.0132638820722124e-09,1.4378379556020322e-13,4.2067996562790874e-08,3.0940503346841963e-12,1.6581928196553942e-07,6.511729695606291e-09,9.878934858731983e-06,5.241463661604212e-08,2e-05,2.0200923460390113e-06,-2.2737102352102424e-08,1.63e-06
300,1.1146494515120352e-06,8.095319095013255e-11,1.3410128852820707e-06,7.295279926772097e-07,5.476659687973635e-11,3.620325746182608e-07,2.674302446527553e-11,9.419163486710023e-07,8.473939164307351e-07,3.910088488067537e-07,1.6684330725512163e-09,1.235130754248282e-13,2.9077585774056113e-08,2.1410652418436796e-12,2.468614967813176e-07,1.4478922242710202e-08,9.794485009191923e-06,2.0605032273556505e-07,2e-05,1.9877241683157904e-06,3.927960572057457e-08,1.63e-06
400,9.98427331938849e-07,7.336776036555006e-11,1.0388355001466692e-06,7.194232513700111e-07,5.380040734344901e-11,4.148483848115491e-07,3.112999305486967e-11,7.826449710229392e-07,8.326928717105058e-07,4.4107584609805264e-07,1.4125227315994066e-09,1.0735882623710043e-13,2.102925578733241e-08,1.6701693919986106e-12,3.683407657169976e-07,1.7962011746942454e-08,9.625849942578563e-06,4.2978374094896123e-07,2e-05,1.9645172588096285e-06,3.759673334089189e-08,1.63e-06
500,8.886534322113293e-07,6.640069957914348e-11,6.2505582263958e-07,6.910065696502425e-07,5.2591452191123196e-11,4.3764637803449096e-07,3.3036357373773225e-11,6.739383047042907e-07,8.129428278581706e-07,4.787597136675619e-07,1.1817441802391316e-09,9.000982580244866e-14,1.6679600770891712e-08,1.2358014520764718e-12,4.7669456049712733e-07,2.2585666402897522e-08,9.495211853687196e-06,5.429265518778624e-07,1.9999999999999998e-05,1.9631230307509995e-06,2.7891359145643345e-08,1.63e-06
600,8.288577850350122e-07,6.383709733313831e-11,5.608683093547162e-07,6.721845712956873e-07,5.201662792475603e-11,4.3668308968844794e-07,3.483503117263465e-11,6.523952940474388e-07,8.045334548562867e-07,4.864507954028696e-07,1.0699709582569362e-09,8.046894090044475e-14,1.3565586791164036e-08,1.0221009232907149e-12,5.299780927346956e-07,2.8208715716607155e-08,9.321524523821922e-06,6.710806939877313e-07,2e-05,1.885301429548711e-06,5.923745644541122e-08,1.63e-06
700,7.308343241542856e-07,6.061727501037997e-11,4.541567322083954e-07,6.52430974962718e-07,5.188184298579329e-11,4.407041023562782e-07,3.548420659222945e-11,5.843260311728494e-07,7.862411867306106e-07,4.847526844051134e-07,9.629220759797206e-10,7.57697831101663e-14,1.1938097518149468e-08,9.581115047644037e-13,6.076298843130745e-07,3.192110434681243e-08,9.163606876553107e-06,7.942503313238917e-07,1.9999999999999998e-05,1.8737161860272857e-06,1.1542367706977653e-07,1.63e-06
800,6.801711090162574e-07,5.649745762659448e-11,3.3841889061732733e-07,6.44525909589951e-07,5.051682335529472e-11,4.421174599248055e-07,3.508463261226876e-11,5.003781087289065e-07,7.811278280405927e-07,4.873365592309994e-07,8.834972508976517e-10,7.008114296028057e-14,8.737131267536435e-09,8.071427665090119e-13,6.761511364643897e-07,3.604852493877509e-08,9.134768241695097e-06,9.362191777129166e-07,1.9999999999999998e-05,1.879389690957664e-06,1.696470066661252e-07,1.63e-06
900,6.79546045299304e-07,5.3490210516485396e-11,3.3165169559965824e-07,6.439673592720116e-07,5.109610107776799e-11,4.295425649699469e-07,3.421387666769851e-11,4.4977820590330923e-07,7.659925319763929e-07,4.860132451798785e-07,7.763350524145144e-10,6.400725620498138e-14,8.772257039439761e-09,6.776438856777754e-13,7.164663326531817e-07,4.0669495174299674e-08,8.985906877126193e-06,1.0063251164906045e-06,2e-05,1.83238670337037e-06,2.1945994423682177e-07,1.63e-06
