milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.501295851298858e-06,-1.7175847578439213e-12,4.9901377272509784e-06,-6.234705870274749e-10,3.1433257397338516e-13,-3.623743158610218e-09,1.6314494371123318e-13,2.4876515414500453e-06,7.034317164472223e-09,-6.235906435470544e-10,-1.645385668739517e-11,-1.2225144527083859e-15,-6.137920443191386e-10,-7.47723085204962e-14,-5.163544121517757e-09,1.241345736879621e-09,1.002970984619845e-05,2.1260523889427966e-08,2.0000000000000005e-05,1.9684273590386305e-06,-2.6169534263685905e-08,1.63e-06
100,1.632437227134708e-06,1.2140493690624778e-10,3.0991985765392176e-06,6.096153228039189e-07,4.4781577558440086e-11,1.3438457351264605e-07,9.318687234760932e-12,1.6134140132747904e-06,6.621227488360973e-07,1.4475107006593176e-07,2.2428651273733034e-09,1.6287451546923415e-13,7.168264564957803e-08,5.237223430021648e-12,4.461413423110985e-08,1.2517362414567987e-09,1.0001938176907578e-05,4.857119407229681e-08,2e-05,2.026462381220302e-06,-3.125245370587117e-08,1.63e-06
200,1.3365793143303754e-06,9.608901067003136e-11,2.0103964230496388e-06,7.266839843735046e-07,5.460132201189075e-11,2.7462243173316227e-07,1.9599504030820146e-11,1.1622574099355403e-06,8.259605953328347e-07,2.985927979090495e-07,1.9666081312824263e-09,1.4497613230996578e-13,4.155839865686094e-08,3.1002297616319037e-12,1.3483157562395482e-07,6.445947215571784e-09,9.915980013885077e-06,9.434652177577209e-08,1.9999999999999998e-05,1.9960461208524294e-06,2.2412546974795133e-08,1.63e-06
300,1.07510918329692e-06,8.157147114625852e-11,1.448019960033257e-06,7.420545823555233e-07,5.504946206861852e-11,3.6093510508018727e-07,2.6947815748213004e-11,9.601202139035752e-07,8.514595290597111e-07,3.9173450318834344e-07,1.673508754458758e-09,1.2437915999856326e-13,2.9383033947929682e-08,2.2081385775310268e-12,2.4400774816048464e-07,1.3918649540010041e-08,9.799141039378517e-06,2.041109303002063e-07,2e-05,1.9566390327205275e-06,3.372514337288765e-08,1.63e-06
400,9.69996606550203e-07,7.443647344236246e-11,9.233047722705948e-07,7.140993229215196e-07,5.363561954846938e-11,4.135136676905579e-07,3.0731663935969905e-11,7.821163979060127e-07,8.198800058853365e-07,4.4329664354975456e-07,1.3426664040691628e-09,1.0714758339621771e-13,2.2094544047548592e-08,1.5561355629697624e-12,3.879590769711575e-07,1.850893132454944e-08,9.570808428720038e-06,4.2838595079197497e-07,2e-05,1.984646415550516e-06,5.040233581322748e-08,1.63e-06
500,8.97904578024614e-07,6.638314810519701e-11,7.063175654401175e-07,6.955466998244752e-07,5.261563085285003e-11,4.2319302241183295e-07,3.355728210602514e-11,7.262078050575604e-07,8.221699697077265e-07,4.787662777202908e-07,1.2113930707305218e-09,9.12220377616833e-14,1.7304777961000767e-08,1.2514449348431623e-12,4.82092688158671e-07,2.5265114940529964e-08,9.460854975463266e-06,5.56697989563936e-07,2e-05,1.959750900053994e-06,3.204928861718787e-08,1.63e-06
600,7.78277448277666e-07,6.359874085821177e-11,5.715960324913406e-07,6.622689567328484e-07,5.137746235829576e-11,4.3622419847927925e-07,3.443344050611201e-11,6.128977821380127e-07,8.028468832228137e-07,4.977821190283151e-07,1.0514673502087956e-09,8.405317544382806e-14,1.3764855384463043e-08,1.003454499644356e-12,5.574817072566372e-07,2.8165604796262628e-08,9.349687861417355e-06,6.353315975688069e-07,2e-05,1.9290407366513794e-06,7.069718149779532e-08,1.63e-06
700,7.409062078032204e-07,5.853329939036679e-11,3.6659559230064573e-07,6.447198240869929e-07,5.13611146210409e-11,4.390970417866963e-07,3.4206715890750245e-11,5.822183463238608e-07,7.833413462597802e-07,4.857937772524795e-07,9.303761618826348e-10,7.435608170493286e-14,1.1568714542971597e-08,8.635172265221413e-13,6.152625110112562e-07,3.298414685533188e-08,9.196105598512129e-06,7.720598436936163e-07,2e-05,1.880050218072171e-06,1.0912222989466749e-07,1.63e-06
800,6.842124439206765e-07,5.5632358971834847e-11,2.809826292787691e-07,6.366005463942691e-07,5.109568726678308e-11,4.400208347772816e-07,3.4751227080365075e-11,5.260382363278832e-07,7.672488175625426e-07,4.917666830195851e-07,8.738286068483083e-10,6.733392783385639e-14,1.0070453684445217e-08,6.982339182430118e-13,6.399418778834373e-07,3.642474076301779e-08,9.130356722426243e-06,8.721743625730337e-07,1.9999999999999998e-05,1.857810711459667e-06,1.6155250951557057e-07,1.63e-06
900,6.899680573677164e-07,5.49817410983423e-11,1.7759217219022127e-07,6.433628369216783e-07,5.031987754326989e-11,4.3794249856543115e-07,3.433451480031955e-11,5.050944835868503e-07,7.6881633307137e-07,4.846114709928222e-07,7.714730672819914e-10,6.471300022789365e-14,9.143724262071122e-09,6.856596874924076e-13,7.18599890793979e-07,3.7922328317532865e-08,9.016104283974962e-06,9.940724393359396e-07,2.0000000000000005e-05,1.8332777989987222e-06,1.7224520744678802e-07,1.63e-06
1000,6.292355343965765e-07,5.2306485596132445e-11,2.7922848155079333e-07,6.257694893589165e-07,5.095452003522429e-11,4.1674033027924457e-07,3.5022694180075465e-11,4.4520874932535066e-07,7.824648864877709e-07,4.688381726624123e-07,7.383578640182274e-10,5.930724496057048e-14,6.3646848619807705e-09,5.630784679046128e-13,7.499589867280502e-07,4.0678288134212583e-08,8.96610180435801e-06,1.07794154688611e-06,2e-05,1.7965408483499468e-06,1.977858233417527e-07,1.63e-06
1100,5.911149339610029e-07,4.951194281802333e-11,1.2427179255852956e-07,6.402597932704889e-07,5.114780286124131e-11,4.1754223308136473e-07,3.335200643067588e-11,4.242569511929524e-07,7.772630647871413e-07,4.626685868820046e-07,7.425789369062644e-10,5.932930008286349e-14,6.682433119730191e-09,6.280839351514673e-13,7.678106391758337e-07,4.319361344326401e-08,8.884638959361834e-06,1.128246378122684e-06,2e-05,1.7639657216977572e-06,2.7291487112763136e-07,1.63e-06
1200,5.980352163547069e-07,4.855918971733865e-11,8.740364847021179e-08,6.347693315721987e-07,5.1950547149654826e-11,4.063842972296316e-07,3.315169561815801e-11,3.847138286656254e-07,7.882126562518125e-07,4.5733549913150226e-07,7.129126057372881e-10,5.560082863945259e-14,5.0495314178896155e-09,4.230713181166145e-13,8.373957532966218e-07,4.4536841004078314e-08,8.834436495568579e-06,1.2057416188714016e-06,2e-05,1.6738060548870471e-06,3.263183103376612e-07,1.63e-06
