milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.4775602510168154e-06,1.3670768126096253e-12,4.9237450581917815e-06,-6.216296807426938e-09,-9.692315252198077e-13,7.855688607870416e-09,3.4575607311924795e-13,2.5101552630985736e-06,4.920673705104971e-10,-6.9510074382785906e-09,-2.257785038086291e-11,-1.598644607469903e-15,-1.1724220792482075e-09,3.827097978602934e-14,3.191343038682083e-09,1.5763398946212675e-09,9.975764718394245e-06,1.5896730772596665e-08,2.0000000000000005e-05,1.9976873632227616e-06,-2.828026107657663e-08,1.63e-06
100,1.6093882919048118e-06,1.200848261249481e-10,3.0375185260751155e-06,6.17368022311948e-07,4.461419656281371e-11,1.263017139881101e-07,9.231105931882139e-12,1.5444125715070017e-06,6.729870934620659e-07,1.4477688462172512e-07,2.237628101034413e-09,1.622218758372312e-13,6.950864188089121e-08,5.18605892199995e-12,2.997796600177312e-08,2.5456169684764467e-09,9.973193260529119e-06,1.2766429985734332e-08,2.0000000000000005e-05,2.0071237364037124e-06,5.1987311750008345e-09,1.63e-06
200,1.3096460915620787e-06,9.788720288067673e-11,1.9634625965271283e-06,7.427489396847519e-07,5.4185052676683135e-11,2.8230655477136256e-07,1.9289991442551628e-11,1.165531387687093e-06,8.101052716726622e-07,2.9440965649765004e-07,1.942094896883537e-09,1.4414665414818865e-13,4.192295683229166e-08,3.0857423187223606e-12,1.5176425115145536e-07,8.287169617232774e-09,9.872999406653163e-06,8.029560155974828e-08,2e-05,1.982256237419847e-06,-7.075283413125477e-09,1.63e-06
300,1.131215647910176e-06,8.082130069127242e-11,1.3276330332304763e-06,7.355955979532918e-07,5.4887996135257036e-11,3.530344444693253e-07,2.6572011610581876e-11,9.383258316155677e-07,8.529890583780136e-07,3.875626161551243e-07,1.6089798447020543e-09,1.2506651501176016e-13,2.759767235910074e-08,2.1561268059803092e-12,2.394869879837833e-07,1.2777813706761472e-08,9.803047565773488e-06,2.0193246534059245e-07,2e-05,1.9785774336806454e-06,1.6697770624623517e-08,1.63e-06
400,9.59242562315546e-07,7.514770431926182e-11,9.549546456001608e-07,7.19656824471861e-07,5.46366257165341e-11,4.0006706847987134e-07,3.068498902208785e-11,8.195953573460364e-07,8.209948294030893e-07,4.547206592344189e-07,1.392930482583436e-09,1.0604087109767393e-13,2.022810486181786e-08,1.6192457376611328e-12,3.476077109908312e-07,1.804315792659581e-08,9.618662164362516e-06,3.5551409913927406e-07,2e-05,1.9766132252927e-06,1.2920589030402218e-08,1.63e-06
500,8.434774097541503e-07,6.757746754907433e-11,6.242251204313909e-07,6.997868868961195e-07,5.2509556931891096e-11,4.3510876171928713e-07,3.257062769637405e-11,6.795358060978809e-07,8.191492086335431e-07,4.830546497223033e-07,1.1960075138812364e-09,9.361409401337587e-14,1.6707300340297295e-08,1.2123539002220695e-12,4.539452797593572e-07,2.553039572526004e-08,9.491135508721087e-06,5.741287871377006e-07,2e-05,1.920709194135366e-06,8.179543763967637e-08,1.63e-06
600,8.006248772253229e-07,6.23375119397487e-11,5.769008499543497e-07,6.717618838971349e-07,5.318679311623271e-11,4.3471195836440677e-07,3.41864684022175e-11,6.641092576913299e-07,7.862244560207784e-07,4.812689138253789e-07,1.0327236682887032e-09,8.103301024026018e-14,1.4395321194828787e-08,1.0615944038374274e-12,5.331080205949661e-07,2.9613605989464955e-08,9.299793906304333e-06,6.669964929168806e-07,2.0000000000000005e-05,1.910790979886332e-06,9.717522611725304e-08,1.63e-06
700,7.410524731840631e-07,5.849026270584038e-11,3.30175202190482e-07,6.549196774349673e-07,5.217943706934494e-11,4.431345831212507e-07,3.5318906108102156e-11,5.499524596463406e-07,7.866277905132874e-07,4.947776640829412e-07,9.457862428952797e-10,7.706703012844371e-14,1.0321997232831365e-08,8.697227889251076e-13,6.033935356603964e-07,3.211139089492031e-08,9.202091586769679e-06,8.201469823945829e-07,2e-05,1.903388486044786e-06,9.731423855055139e-08,1.63e-06
800,7.235225036046196e-07,5.4978271503241515e-11,2.7886504597308816e-07,6.393390526698666e-07,5.1753318918174504e-11,4.442830161498048e-07,3.499807639345036e-11,4.927175220806622e-07,7.828225570821139e-07,4.849802175682772e-07,8.832361855983674e-10,7.156160944055465e-14,9.141030106062936e-09,7.981273370904908e-13,6.789388078912882e-07,3.681140448342407e-08,9.108443048994525e-06,9.179439892600665e-07,2e-05,1.8602958803723022e-06,1.7278667897658123e-07,1.63e-06
900,6.556233664562624e-07,5.4016880175546434e-11,3.068680397276758e-07,6.343532199963992e-07,5.170400474572139e-11,4.347073857372403e-07,3.519041598911386e-11,5.016719727128568e-07,7.682249775503016e-07,4.910714672436631e-07,8.259245878010936e-10,6.514813784350491e-14,7.784162604037656e-09,6.666239691712197e-13,7.021157660028054e-07,3.7922585646965305e-08,9.042347454865766e-06,9.643203395377427e-07,2.0000000000000005e-05,1.7904071636087423e-06,1.8417350871327483e-07,1.63e-06
