milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.513207429514538e-06,5.25303734067026e-13,5.00762726613287e-06,5.9337432173106366e-09,-3.926897571046992e-14,3.5233202742740715e-09,6.053507937781892e-13,2.5054517832700744e-06,2.887593426052315e-09,-6.8159197204692754e-09,2.884969541440127e-11,-1.546636902573262e-15,8.021589814337418e-10,1.408374927025873e-14,2.647256267830832e-08,-2.980583428050352e-11,9.958020204167151e-06,4.364256004105456e-09,2e-05,2.012898288826903e-06,-2.3563515091751617e-08,1.63e-06
100,1.654284175298735e-06,1.223689783815598e-10,3.1687702616389352e-06,6.051431698325735e-07,4.348261510694105e-11,1.2604146635853598e-07,9.849713436226541e-12,1.6251182394146441e-06,6.506732873703223e-07,1.4119963216915005e-07,2.2287729657811536e-09,1.6371065274459566e-13,7.162275251578629e-08,5.252867192218793e-12,6.00612207120134e-08,2.621881846209742e-09,9.96260760705425e-06,4.9902459623220297e-08,2.0000000000000005e-05,1.973071084178852e-06,-9.578060119176974e-09,1.63e-06
200,1.3022386605974238e-06,9.558682056266402e-11,1.979827375288451e-06,7.338072400163846e-07,5.35239914948229e-11,2.6911228749638427e-07,2.0352610419384952e-11,1.1933225083646417e-06,8.103611711561811e-07,2.8942533694973256e-07,2.0038740629412945e-09,1.4780917112535972e-13,4.129620891225639e-08,3.129797557559505e-12,1.1880910804895507e-07,7.128758886734442e-09,9.926947308739e-06,7.741423953569151e-08,2e-05,1.9741514870500736e-06,2.481994726550751e-09,1.63e-06
300,1.123948550784178e-06,8.281714099314398e-11,1.4348446941744375e-06,7.3362148958926e-07,5.5029211585944114e-11,3.6281241494920696e-07,2.718926338282466e-11,9.440425741398887e-07,8.527161533873377e-07,3.986535173433434e-07,1.6187553804530013e-09,1.230406660211868e-13,2.84488597759498e-08,2.1598714907692094e-12,2.3266193440058003e-07,1.1499844489445019e-08,9.755759397361904e-06,2.072954782590533e-07,2.0000000000000005e-05,2.002774380679488e-06,1.019616442720874e-08,1.63e-06
400,9.74002019537392e-07,7.189811770537391e-11,9.372562971729536e-07,7.055690064324222e-07,5.4521884111912895e-11,4.092712580930387e-07,3.09723269037058e-11,8.338160029106532e-07,8.321738187901655e-07,4.5551019651686385e-07,1.4117611742205341e-09,1.0630450529147725e-13,2.1394665625392933e-08,1.5601454714399374e-12,3.912056028652659e-07,1.820537632937114e-08,9.592916815353444e-06,4.1361955950668395e-07,2e-05,1.954795600072581e-06,4.06653804679488e-08,1.63e-06
500,8.45879033228039e-07,6.67223464923184e-11,7.929722212214225e-07,6.890600215605304e-07,5.390945276259141e-11,4.2739782350731616e-07,3.3626328742198336e-11,6.91179162897108e-07,8.090269529340951e-07,4.7317938513647876e-07,1.1783300001963704e-09,9.408337420477259e-14,1.5594937962468276e-08,1.3403200748746738e-12,4.613474721860031e-07,2.555010250151954e-08,9.461825732537869e-06,5.108012574134217e-07,2e-05,1.9278906691882405e-06,4.5183429432752543e-08,1.63e-06
600,8.276012756792952e-07,6.394107902102264e-11,5.48361618699975e-07,6.69367656793884e-07,5.202236864702024e-11,4.3237823447720657e-07,3.4682108648517024e-11,6.285302074843912e-07,7.974135325442494e-07,4.857217685766813e-07,1.0839356790993983e-09,8.111135141247865e-14,1.2499978199735326e-08,1.0725833160952427e-12,5.134393414496542e-07,2.9354610263158514e-08,9.28633800630571e-06,7.024061024445208e-07,2e-05,1.9062638828696584e-06,7.028057561726048e-08,1.63e-06
700,7.490130417515821e-07,5.911604179709428e-11,3.873988396949999e-07,6.434149554431364e-07,5.1268598280478566e-11,4.356650788854566e-07,3.484844269064079e-11,5.472198093053961e-07,7.977733367477803e-07,4.882194060112324e-07,9.431453512675862e-10,7.681761143325985e-14,1.1411746449709866e-08,9.451528087850362e-13,5.900191192675858e-07,3.209916132005262e-08,9.202140675462515e-06,8.036325061987805e-07,2e-05,1.8821026636378613e-06,1.092797597316337e-07,1.63e-06
800,7.376182565157297e-07,5.634460096753973e-11,2.6919551154498944e-07,6.329415404834184e-07,5.2080108853073104e-11,4.3888190115374573e-07,3.446498061507053e-11,5.482961555701789e-07,7.826830154255238e-07,4.930952783500757e-07,8.308707836773599e-10,7.157321331219286e-14,1.0372810133060987e-08,8.309777150622036e-13,6.392495289688989e-07,3.751930165514006e-08,9.097288881715467e-06,9.055223090622284e-07,2e-05,1.837134047873086e-06,1.252763919269016e-07,1.63e-06
900,7.035211442230474e-07,5.429565624079512e-11,2.6678236593139855e-07,6.31706038302416e-07,5.1110835031153156e-11,4.3039643526545327e-07,3.418244689991561e-11,4.6030362268613255e-07,7.733950249967889e-07,4.806565189921537e-07,7.835314590297591e-10,6.560720889965696e-14,8.967091484499469e-09,7.472707830009179e-13,7.158142138071127e-07,4.0617024177614504e-08,9.017839008419035e-06,1.0086628471190174e-06,2e-05,1.827929043632723e-06,2.0129658875101162e-07,1.63e-06
1000,6.180914968603078e-07,5.1824661948179634e-11,1.894441942240985e-07,6.211177835670282e-07,5.0896401674535956e-11,4.212862754673881e-07,3.399979056528927e-11,4.800722007437764e-07,7.688049392345794e-07,4.76837749870926e-07,7.51640625759083e-10,5.980122932284656e-14,8.231841966722365e-09,5.601309241033486e-13,7.32482828340468e-07,4.150744509555977e-08,8.939175445202197e-06,1.0329610575269642e-06,1.9999999999999998e-05,1.7836377286036738e-06,2.0421966964840783e-07,1.63e-06
1100,6.349495722941602e-07,4.904811395072365e-11,2.308571538774293e-07,6.302865820541035e-07,5.2523086724167e-11,4.176858444791199e-07,3.3356072308825874e-11,4.0442517324653036e-07,7.712629837771966e-07,4.6867979323723723e-07,7.608536994090478e-10,5.86262121745183e-14,7.232332063184967e-09,5.904154522282274e-13,7.98637576435588e-07,4.309373460479897e-08,8.860535578783749e-06,1.139777284029526e-06,2e-05,1.7443017349464993e-06,2.498633197498626e-07,1.63e-06
1200,5.598865339954989e-07,4.8855304962220933e-11,2.213595279131702e-07,6.309232085926775e-07,5.230272097806116e-11,4.1221533110089907e-07,3.3982567654480976e-11,3.692338458827697e-07,7.749671930060004e-07,4.647647097001264e-07,7.310042005999948e-10,5.491990020850956e-14,5.034475354881618e-09,4.565632366401657e-13,8.304517553829307e-07,4.612662749665796e-08,8.819394356454047e-06,1.1301847179005004e-06,2e-05,1.6847071796028878e-06,3.218773573433077e-07,1.63e-06
1300,5.376832576063934e-07,4.913824405459609e-11,1.9328155914985438e-07,6.291922155661177e-07,5.34904264681348e-11,3.9374657379625914e-07,3.2451410423713066e-11,3.3021762652936464e-07,7.802188181365481e-07,4.5046902956187746e-07,7.063853905069341e-10,5.579999190779932e-14,6.276301715048927e-09,4.655074858054117e-13,8.40179386444732e-07,4.67921609488104e-08,8.739880609868444e-06,1.1930038043758174e-06,2e-05,1.6818390166468407e-06,3.1968916440659213e-07,1.63e-06
1400,5.416844755928344e-07,4.7474031863235515e-11,1.0837691138719325e-07,6.301316739135889e-07,5.361650991993513e-11,3.9059850474002557e-07,3.1797617262694555e-11,3.15992914888928e-07,7.791333936369929e-07,4.337244245497207e-07,6.484101580133024e-10,5.255755159066686e-14,5.78422528176167e-09,4.5159774839177406e-13,8.809347439520018e-07,4.754227464499048e-08,8.766259338351411e-06,1.2686026139189933e-06,2e-05,1.6573333868100794e-06,3.6869632264808546e-07,1.63e-06
1500,5.148569146798758e-07,4.6536064916441224e-11,1.490476392223841e-07,6.457896530337007e-07,5.4068910359364906e-11,3.735480631703038e-07,3.205303787844122e-11,3.7401514533344355e-07,7.96318156525155e-07,4.320381026215325e-07,6.452542740930018e-10,5.2817422422443275e-14,3.7567956714688586e-09,4.52965923826789e-13,8.612145819963602e-07,5.110657802233131e-08,8.73718948469445e-06,1.275061491140919e-06,1.9999999999999998e-05,1.6249227985480936e-06,4.070472196334953e-07,1.63e-06
