milliseconds,s22,s36,s65,s93,s110,s113,s114,s117,s119,s123,s124,s126,s127,s128,s130,s132,s133,s150,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215
0,0.00033333384900549243,0.000333334251461178,0.00033333387588754907,-4.876107447676515e-14,-2.949126854091467e-14,-3.6238754450630613e-12,9.744736290963078e-18,2.015917461236184e-11,1.2743900519159185e-13,1.364532587764738e-11,7.359994839467049e-17,-1.6091320697313264e-40,-2.941378319018014e-40,6.693809225857434e-41,0.0,0.0,-7.129522557241221e-07,2.485243965468001e-07,-2.918132964528307e-10,-1.1853360136314553e-10,1.2184339427412907e-10,4.778117404308434e-10,-9.726872172603638e-12,-2.5913506951447663e-10,-7.759744820421873e-42,0.0,-2.0479755880783798e-32,0.0,4.541904040976345e-46,6.666626821006379e-06,-9.857666537883412e-10,-1.082542648916727e-33,-1.3333567142394481e-39,6.9558112894823195e-50,6.6678089855837885e-06,4.925467150312223e-10,1.8378558714842262e-41,5.989109750057668e-52,6.666931987416609e-06,4.5192370958501606e-10,2.5306611649295935e-11,7.911075616432373e-40,-1.27232616216413e-50,2.6751314103132785e-41,-1.2746190785064761e-52
100,0.00033333042818188194,0.0003333298394680655,0.00033333012705692673,-3.714758183198199e-14,5.107062225221667e-14,3.1974299920643717e-12,3.2203536691450075e-18,-1.2147816498636825e-11,-5.189530267935322e-14,6.781496315652636e-12,8.976116129785238e-15,1.7570088442312547e-40,-1.0421546794206754e-40,6.301311678903613e-41,0.0,0.0,9.23949562286536e-07,-1.401426489715776e-06,-9.185537477630462e-11,6.077777054416825e-10,-8.418422833383784e-12,3.092523172692203e-10,7.543905520253284e-13,2.2062956206878253e-10,2.261367712096004e-41,0.0,1.2663041494685975e-31,0.0,-2.3487406267894893e-46,6.665070241219527e-06,2.4639165820470544e-09,1.0626373615900459e-33,-6.8806027666044065e-40,4.973555223919682e-50,6.664003467929167e-06,2.673909737706804e-09,1.4125686912047276e-41,-3.823179862215826e-52,6.6634301853599155e-06,2.221553307077351e-09,-4.5390982502401407e-10,-1.600377158381685e-39,-2.3518003083521643e-50,4.95116272656548e-42,-6.181534350780849e-52
200,0.00033332728731965414,0.000333329931366327,0.000333328731164705,-3.135888104330307e-14,3.9279224998663946e-14,-4.146268588396223e-12,-2.8988421164891807e-18,-1.2543916608209836e-11,6.979041273244934e-14,-4.179864659744421e-12,-4.625774110892897e-15,-1.2018957748736788e-40,-2.3019283882865506e-40,3.1515158785809954e-41,0.0,0.0,1.36784655153496e-06,-2.0839939662841607e-06,-8.077983074684987e-11,9.125741075353554e-10,-6.545116093195181e-10,7.929144743139662e-10,-4.034217627315969e-12,9.518030888317617e-10,1.176093011664706e-41,0.0,9.29109042961814e-32,0.0,3.60659538322418e-46,6.663485767346585e-06,4.93182946818474e-09,-6.352104205333007e-34,-1.709633782182226e-39,2.558111577404225e-50,6.662944720302792e-06,4.537044342565814e-09,-2.0339572039653474e-41,-7.192907613397133e-54,6.6634201652580255e-06,5.223725350393664e-09,-4.2965393399623066e-10,5.260602503386598e-40,3.188393633778601e-50,2.3355680330161866e-41,5.617730452045352e-52
300,0.00033332634939612667,0.000333325884108494,0.00033332728095544745,-4.7989502397538805e-14,6.995999615630061e-14,1.4272073979726123e-11,1.0915914007341955e-17,-1.3799739806069957e-11,-7.79742520140829e-14,-4.0465642298392575e-12,8.984079486963506e-15,-5.326942447658316e-41,-2.318786440000673e-40,2.2988442603790935e-41,0.0,0.0,3.5615096096379337e-06,-3.6923123190336388e-06,-1.4762702146370287e-09,1.3602810621409392e-09,-4.4096570642547825e-10,5.760439762033789e-10,-9.313903372436923e-12,7.961152130941399e-10,-2.6967586256381585e-41,0.0,-1.6272762653826892e-31,0.0,-1.6465558021102148e-46,6.661456614926852e-06,7.437259451513338e-09,5.7915693235979585e-34,6.08003361748198e-40,7.474872310395514e-50,6.659554079084242e-06,7.499929128895397e-09,-7.201847256964373e-43,2.9634100399396533e-53,6.661466773597037e-06,5.107857156668004e-09,-8.10534925898446e-10,2.0137457689533618e-39,1.3445150237283813e-50,5.7009172461498627e-42,4.494581537434124e-52
400,0.00033332304771897174,0.0003333245453184675,0.0003333255500066459,8.463562463873793e-14,-6.2943366111135e-14,1.1757157936165604e-11,-1.614881344902287e-18,2.11297244993519e-11,-8.731437866560379e-14,-3.001819532019548e-12,7.635798469297165e-15,2.769097037806533e-40,7.890502216382432e-41,4.786588880602957e-42,0.0,0.0,4.619612861989846e-06,-3.3012067629266507e-06,-1.3803544914402476e-09,1.1795453000175227e-09,-1.431776993141474e-09,1.3273092235742806e-09,-6.014752523427699e-12,1.2859138206128507e-09,1.7921277901438757e-41,0.0,1.2751257087663521e-31,0.0,1.0021165305890439e-45,6.659094381926098e-06,7.262684198635363e-09,-7.296191792367086e-34,-2.5763157082552514e-39,6.648296299238002e-50,6.6586034842618615e-06,8.583579840873657e-09,1.6884262876221086e-41,-3.103041030306725e-52,6.658109197100947e-06,9.454512551149469e-09,-1.2269339770679528e-09,1.980191642462551e-39,-5.757308476932443e-50,-6.507286884835402e-42,-3.378389309509314e-52
500,0.00033332270648584497,0.0003333237514644331,0.0003333219013131962,-4.4977440922665663e-14,-4.0215500746354007e-14,1.189681209659145e-11,6.321486695042581e-18,7.444298522159096e-12,4.916307677035912e-14,1.3086897050884654e-11,-1.03752540620889e-14,-9.078442944906562e-41,2.566933459238202e-40,3.497906199683967e-41,0.0,0.0,4.515232628294098e-06,-4.681417253059743e-06,-2.433163731822536e-09,1.5782434967719868e-09,-1.405299670347215e-09,1.490158376948502e-09,2.017525468061245e-11,1.8678957708840188e-09,-2.259335993859848e-41,0.0,2.997440102660118e-32,0.0,-6.487335847883663e-46,6.653973402816481e-06,1.1840069025557913e-08,-8.103441432216092e-34,-2.2562205874133293e-39,7.378079758619729e-50,6.654572893199907e-06,1.0343853170801955e-08,-2.675832819528763e-41,3.5026522101438726e-52,6.654284513457282e-06,9.884045557691221e-09,-1.399766915004568e-09,-1.3155612256954486e-39,1.8290002340334636e-50,-7.754076467752476e-42,2.1470446857038747e-52
600,0.0003333213028631237,0.00033331855570277604,0.000333319697600907,1.2286487003711525e-15,-4.048203515185671e-15,1.2213838133340711e-11,-1.0630943395889802e-17,1.063395082966069e-11,1.0610579058400119e-13,-5.825436263679832e-13,8.51961724404727e-15,-3.4255001279618125e-41,3.9215034002162586e-41,-7.849352420841097e-41,0.0,0.0,6.23110281716696e-06,-6.666401398741216e-06,-2.3375446354998783e-09,2.7245793630229023e-09,-2.750844367156171e-09,1.9881480880746383e-09,1.6372514963153364e-11,1.855835713018922e-09,2.6834894802332724e-41,0.0,-1.650630672910963e-31,0.0,8.836907521312183e-48,6.652298374096396e-06,1.3535103015162151e-08,1.11334886970769e-33,-1.7654205574514347e-39,-5.236965435434854e-50,6.651829319744263e-06,1.2012404283847312e-08,1.5400498077620592e-41,-1.0214564742511686e-52,6.652973169325768e-06,1.3435603858478226e-08,-1.7703127769735375e-09,-1.2024130870821496e-39,1.1759469432934167e-50,-1.7292721785411428e-41,3.3889758078107924e-52
700,0.00033331674070441014,0.0003333179719775067,0.00033331830344869503,3.184323903716056e-14,5.940185144656591e-14,2.0443119643353667e-11,-3.567344772305485e-18,2.367547895738185e-11,-7.073949417365238e-14,-8.368247683201001e-12,6.4313295703021475e-15,6.27723741808913e-41,-1.9248041622553134e-40,7.989746176785426e-42,0.0,0.0,6.741566206742454e-06,-7.314400266204456e-06,-3.039456560787518e-09,2.412467857909265e-09,-3.1582316552099635e-09,3.475642356070921e-09,3.688099152293941e-11,2.395528619683578e-09,9.48516410562112e-42,0.0,-1.3449296045967828e-31,0.0,-1.253980701535265e-46,6.6504373731158265e-06,1.6731744133337705e-08,-3.647969751382024e-34,-2.587311547735845e-39,4.929898384554829e-50,6.65125589155931e-06,1.4365825820902752e-08,-2.3251469937709935e-41,-5.98892315774881e-52,6.6499252517832275e-06,1.56568966253439e-08,-2.2749768470249558e-09,-2.7435601954843425e-40,6.724200422445662e-50,-1.1269377146067234e-41,-7.757147491806195e-53
800,0.00033331591682505244,0.00033331640654549606,0.0003333145736995878,1.8844584730748346e-14,3.9487141051243143e-14,1.759705762817607e-11,8.48710237565435e-18,2.7662325003840156e-11,-1.2158851572780828e-14,-6.035031118210808e-12,1.7336617316471218e-15,-6.772292495641055e-41,2.4928867412335628e-40,3.4757467457818056e-42,0.0,0.0,7.626446211505159e-06,-8.0932334514081e-06,-3.4600843977296205e-09,3.3273739675177463e-09,-2.8415123048221085e-09,3.3354330844720085e-09,1.785759210078816e-11,3.0765908717721186e-09,4.3981913349937636e-42,0.0,9.425433994969422e-33,0.0,-6.457481094245261e-46,6.6502420983972884e-06,1.8581618876084504e-08,9.995010796885788e-34,8.087443734282263e-40,-3.5655791575718083e-50,6.648602624972644e-06,1.696273901770727e-08,5.924270244287558e-42,-1.5246622705093278e-52,6.648361053661884e-06,1.8048730951541055e-08,-2.577780745239559e-09,1.8152776504224575e-39,-5.152222465365571e-51,-1.6560745997272348e-42,2.430765825567723e-52
900,0.0003333136580015508,0.0003333132026301956,0.00033331389087411445,3.3866515262292636e-14,6.106475902039358e-14,1.7273476306487363e-11,4.453263541638276e-18,2.769106805765211e-11,-3.370226859418226e-14,-3.789111456638436e-12,2.139468207895385e-15,2.4731847800959342e-40,-1.7123763265010103e-40,-3.363551026204024e-41,0.0,0.0,9.285210789679121e-06,-9.451208147091222e-06,-3.772273159529246e-09,3.387986139879299e-09,-3.273972420640678e-09,3.3275420559871764e-09,3.2500010717351335e-11,2.9015453272601944e-09,-1.624721071944819e-42,0.0,9.931946536351927e-32,0.0,8.231282025189224e-46,6.6473673331662515e-06,1.840612253548241e-08,-7.570459310040844e-34,-2.267981494540005e-39,6.036186460581958e-50,6.645651142934681e-06,2.0187167605553103e-08,2.560703814251877e-41,1.9569052971741126e-52,6.646770362178177e-06,1.9615224998321518e-08,-3.414718986132326e-09,-1.1807528794574056e-39,-7.050962664363209e-50,1.8455528677492894e-41,4.150286127214626e-52
