miliseconds,s22,s36,s65,s93,s110,s113,s114,s117,s119,s123,s124,s126,s127,s128,s130,s132,s133,s150,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215
0,0.00033333312338512926,0.0003333339433754603,0.0003333319956275401,-7.893194712421099e-14,5.685527548587644e-14,-4.788128784251944e-12,3.28076895230411e-18,-2.549940109708674e-12,-1.242186584227086e-13,-1.281326761116425e-11,-1.0117680461594692e-15,-5.88937039971687e-41,4.340879335887602e-41,-2.286922125295499e-41,0.0,0.0,6.616593753007521e-07,4.2503520946945767e-07,-1.1787047674104924e-10,2.642609600343046e-10,2.984536415206943e-10,-6.125462446475822e-10,1.0168741762629553e-11,-3.849814661218648e-11,-2.2633690426132087e-41,0.0,3.91158230188827e-32,0.0,-3.1425539258202443e-47,6.667523261324303e-06,4.4439102043367053e-10,8.004162531702029e-34,6.0650622553128214e-40,-7.056232273386145e-50,6.665506146455999e-06,6.036030018455052e-10,-2.520913387660813e-41,-6.032242681913929e-52,6.6661615211749e-06,-2.0862626263182132e-10,-2.1696258850706828e-13,-3.1884481613458987e-40,5.073044091635381e-50,-1.781319698797018e-41,2.8453393226835622e-53
100,0.00033333165624900026,0.00033333199739460427,0.0003333324007118436,5.769185362359237e-14,-6.925437604625783e-14,-1.1598356075623277e-11,-9.412288733706609e-18,-1.1831040253759063e-11,1.4619787547119821e-13,-1.2361837075053689e-11,-9.980202942967312e-15,2.8219306401199934e-41,-9.857370263363566e-41,6.372379587905398e-41,0.0,0.0,1.0309846151412971e-06,-6.721902311615499e-07,2.500636708718657e-10,2.332082208642932e-10,1.920817500618738e-10,2.4426320838298368e-11,-7.682250641271024e-13,3.851251185774402e-10,-2.1697117866075033e-41,0.0,-1.325960247949645e-32,0.0,9.837056899720546e-46,6.662934156059108e-06,1.9839577343830368e-09,-4.3783894739937105e-34,-2.1058589111296185e-39,6.987658878951866e-51,6.663804751376842e-06,3.2148948074465675e-09,-2.564766705424847e-41,4.300250240069386e-52,6.665040777782331e-06,1.4519102918054138e-09,-4.775001602146836e-10,2.0285759500987567e-39,-2.4086499661937604e-50,2.6568401399236157e-41,1.2601463692447405e-52
200,0.0003333272774472025,0.00033332833209237815,0.0003333277377493177,-5.0502067640856816e-14,4.4914661174198646e-14,-1.690746216279924e-12,-3.4166447975072788e-18,2.1523655491293776e-11,-3.727991964219006e-14,-6.16223645915494e-12,-2.921283663101087e-15,2.649246012476245e-40,-2.993553516213612e-40,3.809613333402605e-41,0.0,0.0,2.0441385800415637e-06,-2.1123414195214992e-06,-5.334104610636436e-10,1.2496800732340291e-09,-8.56598124965923e-10,2.3224439974290366e-10,1.9191570136819152e-11,7.198202191671869e-10,1.5140840206493243e-41,0.0,-6.539822572840456e-32,0.0,-3.867389002114924e-46,6.6623741605915375e-06,5.793635322552171e-09,1.086386496214288e-34,-6.658427086237072e-40,-1.731438254032654e-50,6.6634305675606766e-06,4.239252804336075e-09,-6.296931246202011e-42,7.634498965528804e-53,6.662094735115748e-06,4.177506351426497e-09,-9.560446839899062e-10,-1.8181412759586766e-40,-5.943670749757985e-50,-2.656042469198792e-41,-3.0632906498310573e-52
300,0.00033332520497648374,0.0003333266927642247,0.00033332596467929563,-3.1051541140599775e-14,6.792216936080253e-14,5.886597925640382e-13,4.704497193709335e-18,4.09121888049824e-12,2.2954839017873785e-14,-4.001358408608079e-12,-3.355412548872178e-15,-7.099188103031355e-41,2.3211783848163556e-40,-8.005641425423442e-41,0.0,0.0,2.799710728006258e-06,-2.3871303222517548e-06,-6.360084008697985e-10,1.7253409922984758e-09,-5.158831257479477e-10,7.622764057504623e-10,4.026213319351918e-12,1.050937119875358e-09,2.160717015615331e-41,0.0,6.630076769179887e-32,0.0,-2.1401530876627565e-46,6.660695750939515e-06,5.5026194636194725e-09,-2.7363840386671424e-35,1.341317423354201e-39,6.445260850848683e-50,6.659766045270618e-06,6.607132277092223e-09,7.254665348560105e-42,4.135483454317753e-52,6.658432615718996e-06,7.326895651800564e-09,-7.68567639683301e-10,1.1580846358106252e-39,6.21510315480639e-50,-1.497743366579376e-41,4.032425866313596e-52
400,0.0003333260320188864,0.0003333240219369699,0.00033332539041217875,-4.012009369123897e-14,1.601080454629794e-14,-2.2312817839767708e-12,-3.4978610179950746e-18,-1.0112163425317521e-11,1.2983252925015971e-13,-8.416768694094744e-12,1.0117665940371788e-14,1.0427523943615091e-40,-9.410535864121758e-41,7.477057954723682e-41,0.0,0.0,4.135994701293588e-06,-4.7315670370802194e-06,-1.694434802960564e-09,8.787405342442459e-10,-1.8054648347780954e-09,2.1442214814405154e-09,8.499739712054999e-12,1.3505757137582893e-09,-5.634199730115341e-42,0.0,1.7217651279865236e-31,0.0,-4.637657343875532e-46,6.658896038777104e-06,1.0430818893810304e-08,-7.501033565803405e-34,2.6527649187299947e-39,7.041814711485724e-50,6.657223368681801e-06,8.261951338226806e-09,-1.484282161415402e-41,1.672748418769951e-52,6.657525404648993e-06,7.296846811617999e-09,-1.5705011980404506e-09,-6.015320006729705e-40,5.866021706639445e-50,-2.3701360744295955e-41,-5.990902069179414e-52
500,0.00033332251232362476,0.0003333206093076544,0.00033332169982656256,-6.131562492638767e-14,-2.9836370923371256e-14,1.560639108628546e-11,-8.764236753258591e-19,1.6873072218576178e-11,8.872605113133482e-14,5.516808503963333e-12,-2.636590143985718e-15,1.5841677991833262e-40,1.7898479277897742e-41,-3.932094218669154e-42,0.0,0.0,5.049343201819367e-06,-5.742045918627377e-06,-2.196985459232399e-09,2.529345938091779e-09,-2.5612087518982456e-09,2.411967431315749e-09,1.2780737099986806e-11,1.4071718874943073e-09,-1.7533927864231557e-41,0.0,-9.056121975179501e-33,0.0,8.459962588387614e-46,6.656282726154111e-06,9.794974959241295e-09,-1.0136346796032216e-33,1.8435399805523964e-39,5.839924623187551e-50,6.656780580314004e-06,1.2338148005942777e-08,1.6474503600665878e-41,5.44776688387411e-52,6.654676342982234e-06,1.2109940445538964e-08,-1.5890216708529793e-09,2.15437379164629e-39,-3.332749421974142e-51,-5.66670494545449e-45,4.2955449939784764e-52
600,0.0003333212380286508,0.0003333204423720739,0.0003333192291576443,2.588089910358591e-14,-6.847020139105418e-15,-3.1412013721203003e-12,-9.38858993366891e-18,2.938394596740382e-11,4.488881333259893e-14,3.489511577611275e-12,-9.717805269709708e-15,-2.0535011955390123e-40,3.0783948179502616e-40,1.68910418163945e-41,0.0,0.0,5.8616339922307474e-06,-6.476240107775252e-06,-1.8519747192924546e-09,2.5362701633739848e-09,-1.9021384098246364e-09,1.7393773581733448e-09,2.965114774987109e-11,2.00142556392275e-09,-1.4735191514606744e-41,0.0,3.636437130882749e-32,0.0,-5.4517671224537774e-46,6.654422771391119e-06,1.2979834592978416e-08,-7.862986801300823e-34,2.0228623469205287e-39,-1.7814532191704356e-50,6.654395161580033e-06,1.2432064020066274e-08,-1.7090570623483774e-41,5.129053644924941e-52,6.653653131490698e-06,1.200944831982439e-08,-2.154817166020423e-09,1.489793187570435e-39,2.8832347284354957e-50,-1.1333513077290699e-41,-2.64863336654161e-52
700,0.00033331895375343,0.0003333189459016023,0.0003333171524340119,8.291086770313828e-14,7.326451645072519e-14,1.4927369474500303e-11,8.414404981139573e-18,1.2176420160688219e-11,-2.1905507614765443e-14,-3.4429967312175914e-12,-4.63283073120894e-15,2.6335987209353274e-41,-1.5665537281147576e-40,6.124307441661787e-41,0.0,0.0,7.1882075093486516e-06,-7.086169244621527e-06,-2.417515790008569e-09,3.061195863330899e-09,-2.2593200304986298e-09,2.9358707160066475e-09,3.6455630833619283e-11,2.4076214898155973e-09,1.5469002357490699e-41,0.0,-1.5812351992997185e-31,0.0,1.7544844538907566e-46,6.65210551049223e-06,1.5023556907712962e-08,6.083866647089306e-34,1.529467753791811e-39,4.437731945522655e-50,6.649892116291358e-06,1.6862419007077526e-08,9.46477750556394e-42,-1.6381872118078413e-52,6.6509422680821145e-06,1.640323268863441e-08,-2.5758021662188607e-09,-1.6552667806744935e-39,4.411568480556307e-50,1.3072191447092416e-42,3.1918787774489697e-52
800,0.0003333149111862617,0.00033331604299346925,0.00033331604678823627,8.735153436404379e-14,6.977863958436123e-14,3.0193270977916513e-12,7.553123423367695e-18,1.8758286985396357e-11,-2.969243400352942e-14,-6.571062913305469e-12,-2.7837986191058824e-15,-2.107891542436548e-40,2.7544415050934e-40,-8.354434871021968e-41,0.0,0.0,7.277071413432099e-06,-8.687740670779766e-06,-2.9235484943006646e-09,3.1545660299318938e-09,-2.854337311018583e-09,4.012104395904291e-09,2.8377520807787744e-11,2.476118992083583e-09,-2.647016444346152e-41,0.0,3.715013008559531e-33,0.0,-2.309730650870015e-46,6.64981168685962e-06,1.6687273352457722e-08,6.397382820483187e-34,-2.541609388074773e-39,1.2169538241219375e-50,6.650155719765366e-06,1.8393209764080025e-08,-3.628288172155366e-42,-5.674858510225383e-52,6.6484019980147795e-06,1.6841196031611466e-08,-2.9951416275011685e-09,2.1752675491722162e-39,6.055759482659726e-52,-2.380479191148525e-41,-5.0390859534494454e-52
900,0.00033331274008534907,0.0003333145849583455,0.00033331230889271625,7.94565095438693e-14,-1.6659585707109206e-14,8.980685251337902e-12,2.2702374595898204e-18,1.3902051456247464e-11,1.1929888913742863e-14,1.6905434027163665e-11,1.3682261001901387e-14,-8.837810349933188e-41,3.03616541048225e-41,-7.71581127184513e-41,0.0,0.0,9.572776131525997e-06,-9.07155108827176e-06,-3.647713863001925e-09,3.4410835161017842e-09,-4.3906034345479365e-09,3.44118277868163e-09,3.3591646322492043e-11,2.892481683460935e-09,-1.7852342783442426e-41,0.0,-6.614362812541057e-32,0.0,5.426042512266333e-46,6.64828046941784e-06,1.89944767635613e-08,-2.1553939671079527e-34,-2.51647435140208e-40,-4.53630975836166e-50,6.645456561932971e-06,1.9174663221462058e-08,-2.2539991497501566e-41,-6.1193104933509566e-52,6.6475455154455795e-06,1.9773885712598252e-08,-3.4017118634304692e-09,5.489293524672067e-40,8.506254461748779e-51,4.974202218058583e-43,2.7708053434641925e-52
