miliseconds,s22,s36,s65,s93,s110,s113,s114,s117,s119,s123,s124,s126,s127,s128,s130,s132,s133,s150,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215
0,0.00033333375410088065,0.00033333377160730827,0.0003333336783003476,-6.479291601571465e-14,-4.024444097061007e-14,1.1964246684423458e-11,-6.2107591734282205e-18,-3.82634655875761e-12,-6.762690383423683e-14,1.779056429123423e-12,7.460772915868409e-15,7.601450614346854e-41,2.747528518770331e-41,-4.3804789120824547e-41,0.0,0.0,1.7840721535961054e-07,-9.48429157824168e-08,-4.0748950315839034e-10,3.8012088110811066e-10,-6.148310574760505e-10,-4.439094281662375e-10,-1.8043296486628984e-11,-2.5897487909878487e-10,2.4082549556014063e-41,0.0,-1.1913701468501958e-31,0.0,-2.6934421697595395e-46,6.665361659697244e-06,-9.725009666441918e-10,-4.922123494588077e-34,-1.843816658684627e-39,-1.0390434704472338e-50,6.667236766708967e-06,-1.2377045874313829e-09,-1.4547854949442225e-41,-3.367847376827629e-52,6.66623989151327e-06,1.138461332786773e-09,8.275888654382214e-11,2.6608041132593064e-40,3.9523099523560084e-51,-1.9152036804963656e-41,-6.062772680256471e-52
100,0.0003333304263703222,0.00033333201032375155,0.00033333190857415084,4.4806140121930943e-14,1.9914156412030154e-14,3.710814598660852e-12,-5.256393715092787e-18,-1.663489683358084e-11,-4.8799325317130736e-14,8.947005337856407e-12,2.502381915781478e-15,2.743292340262251e-40,3.232108872749327e-40,7.0284486832689695e-43,0.0,0.0,1.3987299789404346e-06,-1.1954454874999703e-06,-5.225557000178088e-10,8.722147837635393e-10,-6.25449438902543e-10,-1.008010056072752e-10,-6.19185492161662e-12,5.295369057345287e-10,-4.006330094145497e-42,0.0,-3.377570081042474e-32,0.0,1.894705835448529e-46,6.665731199294786e-06,3.166157849604351e-09,5.451457535422639e-34,-1.159615534648108e-40,6.202804210304231e-50,6.665960542588441e-06,3.739415933626462e-09,-3.2189336009412147e-42,-5.12882093079304e-52,6.665188403199925e-06,1.7225973542621664e-09,-4.2473458565873835e-10,2.3756732814923017e-39,1.0298695633654423e-50,5.934669053063665e-42,5.846689529097779e-52
200,0.0003333285109820323,0.00033332978409695283,0.0003333300584278011,-5.1281491966197916e-14,-3.1968493688546855e-14,-6.2052200054977805e-12,-1.0871536190501048e-17,1.1366161906102263e-11,-1.1142590985466374e-13,-1.2031730536734907e-11,1.4653559971521346e-15,-6.907889331630293e-42,-2.2574846938917126e-40,1.5672469195196616e-41,0.0,0.0,1.3804830515053456e-06,-1.7726435524342028e-06,-1.3447008133038394e-09,2.573980938493011e-10,-1.3088699406845643e-09,1.8813175347703467e-10,-1.2103859869507104e-11,7.067268264118203e-10,4.184023586081968e-42,0.0,4.462026297339432e-34,0.0,-8.719589024271611e-46,6.661634844539823e-06,5.834488971439107e-09,-1.2317316641521395e-33,-8.565360679125395e-40,-4.128889794519126e-51,6.662937197117227e-06,2.9219696795889882e-09,3.899860122347048e-42,4.486471100706643e-53,6.661458525818081e-06,3.583440251669839e-09,-4.773481011007073e-10,2.5398930199610182e-39,-4.936947113001822e-50,2.610304663991335e-41,1.1631745397144793e-52
300,0.0003333273943262664,0.00033332635225090444,0.00033332503323368396,-3.7122317030559244e-14,4.349867571359545e-14,4.437835139782985e-12,8.963680784713377e-18,-1.5991618043396808e-11,-4.323713897594179e-14,-9.808751566789123e-12,1.0940844597292093e-14,2.174688336125012e-40,-1.6668356998768716e-40,-2.4656995969267827e-41,0.0,0.0,3.741971179102643e-06,-2.839667983982792e-06,-1.7550586939128432e-09,8.771988279070704e-10,-1.529259062107645e-09,6.551294901477345e-10,-6.277778319049573e-12,1.286371073278102e-09,-9.726617310132582e-42,0.0,2.9504859600214756e-33,0.0,-1.0120743452196257e-45,6.66040952268838e-06,7.263645555439782e-09,-3.699034548696643e-35,-1.5495414326256854e-40,-1.3211563493169247e-50,6.659013613830152e-06,7.641811306119637e-09,1.7631944085684547e-41,-5.743797366467208e-52,6.659208475070349e-06,5.088969840706528e-09,-8.777999793482023e-10,-1.7433133934801405e-39,5.824187251779001e-50,2.0382614046836582e-41,3.0616002259342782e-52
400,0.00033332281593723124,0.000333323313355147,0.00033332514368200204,3.3741958698452205e-14,4.7654482447381534e-14,-1.2703306813118932e-12,-9.093096179217953e-19,-6.340082133729107e-12,1.5091586899069397e-13,1.465684461773462e-11,9.609571086511811e-15,-1.3098063671963534e-40,-4.0911382274339437e-41,7.446131005650525e-41,0.0,0.0,3.6033760567972076e-06,-3.5418037931709615e-06,-1.5752116742450317e-09,2.1314462371150214e-09,-1.7440389571030317e-09,1.3858899171383713e-09,8.48348674889995e-12,1.285269193036659e-09,2.003400858811488e-41,0.0,-1.7782785292047527e-31,0.0,-6.858164923236098e-46,6.65889996791007e-06,7.800524363242885e-09,-1.1708307883532835e-33,-2.0662598180668882e-39,3.0495664055783713e-50,6.656887344875374e-06,8.327713408882014e-09,-1.3756404547493882e-41,5.7942299543255376e-52,6.656344066642285e-06,9.1817585160652e-09,-1.5453046333482271e-09,-1.6760090262708986e-40,2.907520107635653e-51,-8.625269765030905e-42,5.525862544612985e-52
500,0.0003333234387808976,0.00033332205852755167,0.0003333216446021933,-3.353336185072803e-14,4.2794035777735605e-14,-2.48100839393848e-13,-7.462531547065575e-20,4.244992814120659e-12,-2.8342317933647592e-14,1.2831136534274298e-11,6.712110553293274e-15,-4.620833859559288e-41,-1.3723124770832703e-41,1.5011056172080842e-41,0.0,0.0,4.649544984175132e-06,-5.323376556900738e-06,-1.6319049155240917e-09,2.478641418497552e-09,-1.7165399618406882e-09,1.9936505586554494e-09,-3.3409212547742476e-12,1.4222621738130265e-09,2.5315297222343726e-41,0.0,4.5548721466023047e-32,0.0,-7.831081076784379e-46,6.654732122193058e-06,9.928304940756526e-09,7.549954359929942e-34,1.2304530064752697e-39,-3.9765998523977495e-50,6.656014897014502e-06,1.1858656320109391e-08,-3.7712664486737613e-42,-5.943941299016683e-52,6.656589537858029e-06,1.2232715369904151e-08,-1.471895142173482e-09,7.37361584638958e-40,-5.864086613157975e-50,-5.47941669048559e-42,4.922387944149876e-52
600,0.0003333184497944018,0.0003333204877865253,0.0003333188795878754,-3.448575892039135e-14,1.4539795451623376e-14,1.7211387441535353e-11,-7.4118513976682e-18,3.0360379208910336e-11,-2.9033704905928522e-15,3.5852345519104595e-12,1.930940027400725e-15,1.6622280121352394e-40,1.8089943874549123e-40,4.2183535243757726e-41,0.0,0.0,5.91684857375147e-06,-5.944978284891354e-06,-2.657007453498936e-09,2.7558918283111765e-09,-2.9612154962219796e-09,2.8121709575397245e-09,6.184605364110624e-13,2.1215757133827387e-09,-2.379396736505858e-41,0.0,2.8801935663293446e-32,0.0,-9.732492516623103e-46,6.654651946969054e-06,1.4571541133566659e-08,9.9022097562058e-34,-1.5766316589466092e-39,7.907951355092652e-51,6.651980159661128e-06,1.2909558057286849e-08,-1.2860663853787757e-41,-8.878038683507104e-53,6.653439887629928e-06,1.2710971345078534e-08,-2.2674707671579035e-09,-1.4436035926778397e-39,3.361234466055732e-50,2.2943529121334667e-41,-1.0894343474129688e-52
700,0.0003333163961122448,0.0003333193999186367,0.0003333186656530727,-3.019188606669133e-14,-2.6846522914619068e-14,2.201509812296032e-11,-4.4947785145156576e-18,2.6252501860594912e-11,-1.1103356532593985e-13,1.3687617194957348e-11,2.6042810518050766e-15,-1.2750666219072324e-40,-3.900266566245558e-41,-2.3718999418432906e-41,0.0,0.0,6.334648598622417e-06,-7.216730913325024e-06,-3.3994484661623587e-09,2.5755701870851167e-09,-3.4046632471811214e-09,2.610049659174024e-09,1.4565279622786212e-11,2.3465874273867745e-09,2.6937989660637283e-41,0.0,-1.475376066357804e-31,0.0,-7.805085072039412e-46,6.649680386869996e-06,1.4076811178551147e-08,-2.5590095252402974e-34,1.5956891335052888e-40,-9.079235018592502e-51,6.651046842872674e-06,1.702978522693459e-08,-8.744009222949347e-42,2.7385662318137327e-52,6.649784258699192e-06,1.6626692803333748e-08,-2.145513250239359e-09,-1.9109835169422687e-39,4.861711095531718e-50,6.588514334598804e-42,3.91129514169069e-52
800,0.00033331693151961416,0.00033331647066741407,0.0003333146022789241,-4.385036445787596e-14,-5.122431704617041e-15,1.780276728135122e-11,-7.405908289402049e-18,1.770551208971223e-11,-5.710026669638358e-14,-3.980482618141823e-12,3.699311713785875e-15,4.108546237642447e-41,5.106939827887703e-41,-6.650288196199678e-41,0.0,0.0,8.40415343456686e-06,-8.625599682860664e-06,-3.3514971003616808e-09,2.8558693242517256e-09,-2.8141451722273137e-09,3.4276127596816043e-09,3.272765348611661e-11,2.780648443953909e-09,-2.309192655715015e-41,0.0,1.5354581629301658e-31,0.0,-7.703744325932394e-46,6.649481434254381e-06,1.8495386903785037e-08,8.876580596404759e-35,2.1727955634918287e-40,-4.655421924046914e-50,6.650429759443989e-06,1.9072146463388826e-08,2.173539182760612e-41,2.9698577355135597e-52,6.6487423730107334e-06,1.6823636615881407e-08,-2.7483286007938507e-09,-1.6353790520665773e-39,2.589817834003321e-50,-1.370757927067496e-41,-6.2201340261418895e-53
900,0.0003333126453521676,0.00033331390038243713,0.0003333138164296261,-6.233646246802791e-14,4.4331130828305305e-14,2.6025568272060654e-11,9.684061730494187e-18,2.0505784151388487e-11,-1.3274721172264924e-14,5.898463627017321e-12,9.652669145600711e-15,-1.4256771578575568e-40,6.278679278957848e-41,5.267732993025942e-42,0.0,0.0,8.936476940828811e-06,-8.382826242400584e-06,-4.2793295234721405e-09,4.268088386585713e-09,-3.995984791823947e-09,3.3792477982737258e-09,4.018803380682699e-11,2.884663568277521e-09,-1.647899358623117e-41,0.0,2.0517607436373853e-32,0.0,4.142771515058485e-48,6.64760593838971e-06,2.057738065640301e-08,-3.719568107342641e-34,1.8774737251192773e-39,6.843561139866144e-50,6.645727276047056e-06,2.106485892710533e-08,-2.0137931956310533e-41,-4.507385348530849e-52,6.64506546452921e-06,2.0886186315114175e-08,-3.3055510681543277e-09,-5.331205634543533e-40,-6.896987713785188e-50,2.265614244281733e-41,-1.1656081390072437e-52
