miliseconds,s22,s36,s65,s93,s110,s113,s114,s117,s119,s123,s124,s126,s127,s128,s130,s132,s133,s150,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215
0,0.00033333413695735715,0.00033333442015865734,0.0003333317299075434,-3.3866181396009795e-14,3.1680164746660355e-14,-2.784106635482333e-12,5.550947201444411e-18,4.407508465870555e-12,-5.336307549417445e-14,9.608430297159622e-12,2.4137431468999244e-15,7.435783609815329e-42,-5.567414578600811e-41,-3.5506375989317655e-41,0.0,0.0,-6.726439570126426e-07,-5.002276208939731e-07,-9.91884389475524e-11,5.544049055904585e-10,-2.0616011073847797e-11,1.4177411754973504e-10,1.4350680010441702e-12,-2.782850171110111e-10,-5.566822578181822e-42,0.0,-4.8661344188110177e-32,0.0,-6.057683415313187e-46,6.665248661975279e-06,-4.1465468426770227e-10,1.1320282954787654e-33,2.4230830566510636e-39,3.3397582869133086e-50,6.667015134494615e-06,-1.2912129654379926e-09,-2.8149021305868457e-42,-3.971168495894903e-52,6.666536776287253e-06,1.4598531614043288e-09,1.0863154465247036e-10,9.23154645538859e-40,4.4497679063441684e-51,2.6553049845480226e-41,-2.736219190386689e-52
100,0.00033333156339456,0.00033332989283177666,0.00033333061748537496,8.02511094256051e-15,8.384247450954733e-15,-3.6081049375444646e-12,-5.7482008137017684e-18,-4.630260307221564e-13,1.9765751709196918e-14,1.431054840454684e-11,-9.723173674472505e-15,6.268935478806243e-41,7.563414217125731e-41,5.172068862508196e-41,0.0,0.0,4.867620156177959e-07,-1.273682699311765e-06,-1.874304833290523e-11,3.3892577232839665e-11,-2.530109081645582e-10,7.394313543701594e-10,-1.724946028327173e-11,3.588552471076902e-10,-1.700899324165597e-41,0.0,6.603940976262499e-32,0.0,-8.353756881675748e-46,6.6648184233536775e-06,2.8737326501804666e-09,4.621973948728805e-34,1.534580952102527e-39,-5.16622012120858e-50,6.664786302760019e-06,1.4554495744009223e-09,-1.807705592939761e-42,3.6429825235319855e-52,6.664657949940014e-06,2.139062940995165e-09,-5.069153140100955e-10,-1.781620108781046e-39,2.0373519602672919e-50,9.347539844144542e-42,-5.610096493229143e-52
200,0.00033332771639600156,0.0003333287101370832,0.00033332795453794756,-5.238714683887577e-14,-6.582061014390629e-14,7.54126764184618e-12,1.0229863221551497e-17,1.6161219043824163e-11,3.867880574273343e-15,4.2996612150065313e-13,-5.541492436517206e-15,6.930246998539074e-41,2.6007271632146507e-40,2.919196503444443e-41,0.0,0.0,1.3955670036285968e-06,-1.948246549974941e-06,-2.79630864173256e-10,1.2946888755861996e-09,-2.735769617176903e-10,1.313526021869704e-09,-1.3598302960149313e-11,8.857017047202949e-10,8.644829724911608e-42,0.0,-1.7412918864627252e-31,0.0,4.837013361022252e-46,6.662827423492976e-06,4.608362618588908e-09,4.7136589320223716e-34,1.9283145478197884e-39,5.636955245008076e-50,6.662810115368444e-06,3.77041966855798e-09,1.8760397131074045e-41,1.0543155422367147e-52,6.661118652746068e-06,4.085649774246405e-09,-9.604353626444642e-10,-1.2057456718283808e-39,-7.190678750147604e-50,-2.115831758157203e-41,-4.368781387271923e-52
300,0.000333327070336888,0.0003333251105670605,0.00033332546635291574,9.80181099206536e-15,-2.866826149521724e-15,-1.0742943235022529e-11,-9.383213113261027e-18,3.0093834740869217e-12,-3.930975095787588e-14,3.0874943636201575e-12,8.547837519093608e-15,-2.833477837896768e-40,-1.8174185287047942e-40,-4.363450878665625e-41,0.0,0.0,2.7858136869891663e-06,-2.6785361540898816e-06,-1.6539501921286555e-09,1.2149929457759913e-09,-8.838448064285129e-10,9.099232582964837e-10,-9.830847340300166e-12,1.182599790445164e-09,2.1452133830282092e-41,0.0,1.5928113324240624e-31,0.0,-6.107137789838954e-46,6.659909925613485e-06,7.070659485682975e-09,-9.359629917596667e-34,5.141089189309455e-40,5.845958663070536e-50,6.660129175609813e-06,6.7889943995708615e-09,2.209401359501725e-41,4.506363479507197e-52,6.660657312605351e-06,7.3042800320347575e-09,-8.081483734297632e-10,4.498224322004195e-40,5.603070898458265e-50,1.840915319845128e-41,4.043406201539282e-52
400,0.00033332396189118536,0.0003333249908827979,0.00033332313086920025,4.4492153533382544e-14,1.6248114080702344e-14,1.354308088967648e-11,-5.686716813826234e-18,-6.1193197728871785e-12,5.379286963041369e-14,-8.483450612920543e-12,-2.2450605089108956e-15,-3.155554232054407e-41,-1.8303645914286286e-41,-7.019249907418403e-42,0.0,0.0,3.2870243441815393e-06,-4.364475248391132e-06,-1.5849477430932655e-09,1.3172460616372345e-09,-1.958990914686738e-09,1.1798800271291462e-09,1.8942034108274555e-11,1.4509400671118396e-09,-6.72958515940635e-42,0.0,-8.628541166446608e-33,0.0,-4.449648330039231e-46,6.657783115165154e-06,7.428157617911983e-09,1.0491592432980647e-33,-1.9384020234703034e-39,4.4453511552525245e-50,6.657518833075356e-06,9.24050529292361e-09,9.6451539977585e-42,1.3929737649669575e-52,6.657044047745924e-06,8.932442609986402e-09,-1.1218409368968336e-09,1.3467280372741179e-39,-2.9376513602195547e-50,8.317433277652061e-42,-7.663456804354568e-53
500,0.000333322551234418,0.0003333227974987274,0.00033332385110260425,7.33518889144326e-14,5.912704922915221e-14,1.0466848726972208e-11,4.242902853524388e-18,-7.813729324747178e-12,-8.262767439056126e-14,-3.1599058960208243e-12,2.698775286902775e-15,2.1286760818047797e-40,-1.6559230750041591e-40,2.358957649288538e-41,0.0,0.0,5.622863926803488e-06,-4.555547178674038e-06,-1.931918612652929e-09,1.4141750722783025e-09,-2.4177292100110016e-09,2.093516767792052e-09,2.5805648717618764e-11,1.6122477655254085e-09,-2.548406666749855e-41,0.0,5.403512084823223e-32,0.0,-9.778182581939603e-46,6.656006273339595e-06,1.2391813484640586e-08,-1.0210854976523624e-33,-1.7310629086528297e-39,-5.113531282750771e-50,6.65699186642856e-06,1.0645815191867879e-08,2.169271901214506e-41,-5.509906741441255e-53,6.654326545688092e-06,1.0713901816316812e-08,-1.6090904717708877e-09,-1.985205978644107e-39,-6.305176456593621e-50,2.0054211382782156e-42,-6.087568030758205e-53
600,0.0003333193144027438,0.0003333212004370612,0.00033331960322565817,-2.2113432607527078e-14,-2.1864222228008113e-15,-3.246652285444375e-12,-2.6606846597307974e-18,3.4089981370622775e-12,3.661316856050936e-14,-7.971021563267046e-12,-5.770095114493184e-15,-1.3103173078601585e-40,-3.210513356958413e-40,5.060900976052673e-41,0.0,0.0,5.6710112011765054e-06,-6.4348715648930274e-06,-2.2910880566807056e-09,2.530579770998967e-09,-2.793392050949556e-09,2.7745445924366464e-09,2.6105448772957382e-11,2.2026185401654205e-09,-1.2193254867371828e-41,0.0,-4.512838911879345e-32,0.0,6.442025216208159e-46,6.6538974562720696e-06,1.4290223592348253e-08,-1.2293667158404989e-33,2.1751424656805614e-39,2.5934551257072656e-50,6.653486234786081e-06,1.378003968208569e-08,-2.0642478587184406e-41,-5.339934746240974e-52,6.654486138847397e-06,1.3980316735321405e-08,-1.928198180011176e-09,8.83307078305119e-40,-3.1519379764422147e-50,-5.0111011474721615e-42,5.782012351854251e-52
700,0.00033331704346738623,0.0003333193101768267,0.00033331836950771385,4.9632406015820354e-14,-4.631175838117954e-14,-3.1264399935342197e-12,2.187706190379487e-18,-2.8619879661637417e-12,-7.55818856581063e-14,-5.208579235177453e-12,-3.355797680324603e-15,-4.2470606617872066e-41,-3.226757123333784e-40,-1.2805930195975503e-41,0.0,0.0,7.670323827302205e-06,-6.997586513264417e-06,-3.2643803930364317e-09,2.6724201441553484e-09,-2.6439586942763805e-09,2.5585799482685617e-09,2.9286527718143566e-11,2.5180132846290014e-09,2.2939981519911974e-41,0.0,9.748476206697212e-32,0.0,-8.658751715470043e-46,6.651722941692485e-06,1.608661885707331e-08,7.812614417790611e-34,1.6807766193513677e-39,-5.084480694244185e-50,6.649583171062782e-06,1.4308435138114952e-08,1.3247729639270677e-41,3.948242056713163e-52,6.65235937781797e-06,1.5628571113706156e-08,-2.4966413173686085e-09,6.919801705120518e-40,-4.836010861721879e-50,1.5869905687484883e-43,3.403909539803626e-52
800,0.0003333171671155764,0.0003333171843967931,0.0003333160616193873,8.581481407855426e-14,-5.299128638450886e-14,4.122131020529634e-12,1.1499259665137643e-17,7.937386245877299e-12,7.459359625863573e-14,-1.7717035586342205e-12,2.1505872553429058e-16,-2.5754922067174968e-40,1.7372980165233516e-40,5.513864549114402e-41,0.0,0.0,8.138456110921822e-06,-8.52056977375761e-06,-2.8158862500320482e-09,2.929323838912281e-09,-2.855162992604515e-09,3.913231306751063e-09,3.668190370917387e-11,3.0086460955045484e-09,-5.949834308886611e-43,0.0,-5.246514135488424e-32,0.0,-9.159917105725403e-46,6.649124476246341e-06,1.676130346423407e-08,-9.013130028922062e-34,1.2685018354605436e-39,6.059237404409659e-50,6.650126945928278e-06,1.9139174091209946e-08,1.5910233657915706e-41,-5.231451110716107e-52,6.6486235967101615e-06,1.6736637104202833e-08,-2.8044714977861226e-09,1.58261925022419e-39,-5.699025026441608e-50,-1.758900360393282e-42,9.319039180171505e-53
900,0.00033331228143430516,0.0003333122637759245,0.00033331351664256387,7.675946599443096e-14,-3.143057898634641e-15,8.502411847607405e-12,1.0884032086185069e-17,2.5088704512442628e-11,-8.809410654131703e-14,1.9781957425297064e-11,1.176686448621281e-14,-1.8108038365337022e-40,2.1873010319398012e-40,-2.2675414210669407e-41,0.0,0.0,8.287271227188136e-06,-8.514992004896061e-06,-3.652656818457441e-09,3.498797968196475e-09,-3.596929016836015e-09,3.930536164987811e-09,4.788128106724014e-11,3.347576409904308e-09,-1.43277238915606e-41,0.0,9.817171302941715e-32,0.0,3.829643243756443e-46,6.6461587017518044e-06,1.8807233844115156e-08,5.28919406175628e-34,5.08302113266264e-41,-1.2859549939910596e-50,6.646658841951881e-06,1.9931888211774036e-08,2.070554253585647e-41,3.649676345147044e-52,6.647624515555648e-06,2.0549001287943118e-08,-2.8752074847611494e-09,2.105080952252887e-39,-5.751841670444518e-50,-1.5297212020760245e-41,-2.9313264173216673e-52
