miliseconds,R,L,E,V
0,98276429.2794339,997777.8986365156,31.415068528593984,7052541.999301086
100,98083173.15171489,961889.6603654318,18927.111367416077,5161396.423610115
200,100288504.3995524,949920.9544306992,21298.08280239793,4052729.2266994645
300,104033906.45734692,919059.991034612,20342.328075599184,3249855.2355485866
400,100709329.48240075,890428.7118939927,19661.86427472964,2731831.4382103523
500,101725935.60204275,862780.2854142047,18426.582149869,2347494.1122522983
600,107335885.44864638,829117.914610606,17734.271584511054,2124778.675756063
700,109224783.7156393,793185.5714941653,16791.38901771449,1874024.7419844079
800,111284420.92914529,788302.5986826321,16261.692295722036,1681974.793200469
900,110124557.07971464,755908.7017242947,15845.425591998894,1521358.9743086062
1000,111509850.46090148,738487.3662304865,14969.255856180005,1422444.210932061
1100,117807656.4243351,705691.1129949954,14806.364415479837,1438123.9721675962
1200,119355581.46854387,689757.9710628624,14106.412577921825,1275286.3265921935
1300,118273629.67632172,661198.7581429732,13946.016076189779,1296707.1993447363
1400,120639846.24938293,647100.9581765514,13564.588326704667,1196849.5963781022
1500,126121093.74595425,613158.5096220062,13154.38901188037,1140832.1250544654
1600,128367527.31761268,613515.5773116744,12578.800025823688,1050837.3256223495
1700,134629625.5471029,578979.9390481219,12406.642236851243,1036121.8961012536
1800,135270521.58028728,558469.1205441548,11775.880309826309,985475.5717317126
1900,138491451.9153494,545448.1645477344,11588.722404439082,1025150.2024882323
2000,140733550.53897837,535377.5372058095,11384.113996483025,981151.069898393
2100,144242991.45971492,520529.2682871949,11027.314501198605,948298.1957589993
2200,145543788.5579537,489721.33974947495,10685.220396951763,883716.7935535202
2300,153628798.36306408,491549.75079444516,10097.874347292789,949533.0343013473
2400,153597189.87275997,467121.92544826947,9765.64925986347,843562.5582134012
2500,159126995.84371388,451535.9774833981,9509.39387648338,877549.964218407
2600,160877456.45099255,445005.3679423276,9485.692286296766,776988.1039523813
2700,164741058.7593726,422727.4545829233,9012.218450778804,799243.7429454125
2800,171346548.98884648,418508.41003181157,8977.007912699602,775762.579646524
2900,173121466.10762993,389767.42008126504,8465.126407442938,797851.1160145861
3000,179053598.74547115,376383.3560980195,8566.256637141054,772007.8829874622
3100,181464569.44403446,384931.0982061336,8367.415685474118,697089.8123739089
3200,184815610.24945667,370837.7581479787,7800.583864702003,697968.3829805667
3300,193404065.7392898,347407.7755647559,7881.773731730689,699771.6201735811
3400,195332625.72959232,338444.2684276714,7432.37483860009,594329.943793181
3500,201939347.1686078,340086.94138240325,7502.125587044041,690084.1804977547
3600,205409477.47460723,311153.94107715477,7089.6997747269315,671862.0646760991
3700,206714143.8397505,315193.702638787,6831.682528894029,559612.4922078334
3800,214050330.94460028,295760.63188546745,7026.0084722706715,526636.8122123758
3900,220778025.25295734,282734.41686545155,6788.483886906534,589759.1246700597
4000,221573439.02386686,272466.7909038618,6690.493169563947,521844.0030914111
4100,230020738.33586872,284107.7516700915,6126.886578290967,526900.0142520756
4200,232144203.5985854,264758.88979723013,6087.557731545964,541836.5380877055
4300,241407640.58453605,261480.6921547684,5860.066109034079,469403.4022034701
4400,244246221.20706314,249262.32665588232,5762.6944570991745,519117.9410521524
4500,249693409.24748328,243632.79393917957,5645.599996329365,482228.28664329584
4600,255978115.98252898,239549.42391524423,5487.287342072018,524702.5857126875
4700,258421640.5023617,217724.65977783472,5209.9351414687635,496228.7589947366
4800,264241420.39789924,229304.0071762724,5350.657073509954,479755.9702374886
4900,269917379.8687465,204014.9534713431,5227.265517846259,396180.4847368949
5000,275962722.38276017,203822.2731872438,4852.582077304049,438780.6557975672
