milliseconds,R,L,E,V
0,97559182.34297732,994520.4942025658,-223.1639922493273,7032996.12672754
100,101055998.75514713,971658.6849537245,18777.781727352707,5102922.865853649
200,102452091.05580021,950907.4013040196,20904.19320830332,3991316.80566873
300,103144617.47096848,914750.0795960214,20449.526523024168,3248925.8312701327
400,101562104.3045202,893794.073877338,19540.54848345072,2731532.832562101
500,105805282.78396314,844837.7748770146,18306.15918257153,2406188.6248986367
600,107082367.947554,831273.8843175216,17892.419148126683,2034587.5345927319
700,108891412.76466766,794612.283271026,16873.901772641737,1806203.174938302
800,110804986.9472551,769163.8553098829,16300.017081769332,1650927.860884133
900,108670330.5555686,745189.023337927,15536.761014437416,1530522.8126179338
1000,114903089.04368442,728433.993123658,15312.751761681862,1438301.6256346484
1100,117360909.62207007,704876.6830805725,14521.531164337648,1373533.4089564066
1200,117318111.90210663,691126.4068673103,14064.040281650263,1342234.657932001
1300,118239307.39317776,662967.5456025386,13851.020964759036,1281441.8136300158
1400,120885373.06874867,638620.8001661343,13452.657820352802,1141536.8058115675
1500,124771067.06073113,633873.578328065,12869.203475707387,1145916.1766727385
1600,128085228.80679476,613345.5555121655,12612.520319624316,1083904.1608849668
1700,132518525.6157109,587384.90648625,12177.948966477274,1061995.5722954182
1800,136671637.55293044,570625.0440948296,11767.676744466438,1007862.0917063055
1900,137849377.11964986,548318.681374889,11608.333040638818,1031597.1036628771
2000,143870284.6770439,539270.1864680687,11121.023878906237,915246.2863165345
2100,143091455.13766116,517577.24242526863,10982.787332079077,996945.5813192484
2200,150125174.05804896,509940.93379093165,10643.925473910087,974717.3779777138
2300,153147076.52963388,483355.7357307082,10195.690276703059,945800.7809914802
2400,157028846.3778359,459612.7109068722,10197.003303220152,871842.5396971357
2500,159001653.97163668,453596.7899074749,9701.9108666148,838780.3482244937
2600,164484085.78205544,435262.27409080137,9467.226925589957,810668.1765588818
2700,164165665.77883682,430111.46748590504,9398.231159209035,811589.1287508407
2800,169014217.10832927,413086.82447723247,8740.44085550273,805573.9745341415
2900,172875404.61012974,407002.5686869973,8451.361706306516,752200.420327224
3000,176768961.3390495,390187.97140365763,8239.197741204836,749004.090370627
3100,184969864.9305322,383029.5096854171,8122.446043061776,757403.9352420821
3200,185254319.8382877,370450.6859119777,7888.285930804137,640072.9925076938
3300,191663532.6093255,343666.18176741345,7812.48392424006,635182.5282042752
3400,194539715.3909806,351357.1294907951,7806.781730413653,594648.0257239662
3500,201159315.07379037,340799.9582396945,7521.8601685207395,606845.2910186396
3600,204127905.598501,318317.5555364924,7128.903734626331,643931.7442829544
3700,207403786.21877226,312442.4377886929,7173.471793426475,645329.5006946552
3800,214633934.63077405,293015.4590307073,6972.532395227783,606776.4422691655
3900,218190952.68943426,290524.7319924753,6469.785405867977,521315.9027346637
4000,223457472.23468,280604.8223377229,6264.044648914645,541901.0122206325
4100,229073222.55159348,272920.26171487547,6423.85690208207,545356.6451556841
4200,236480162.37722307,258719.49345123867,5971.025028331859,469720.28704421275
4300,241670266.67382693,260296.0888519661,5853.138060499728,511997.96257859294
4400,241729639.904974,259390.24844882282,6020.753499016256,460245.2119815183
4500,248235229.03266686,247648.10317518996,5821.29439691299,443887.8625399256
4600,255806112.145492,228607.69024028227,5450.28455056223,451182.2197910278
4700,262900827.40695232,220696.12246360822,5519.1827693089945,507771.9599376738
4800,268758990.5874021,220361.03565917606,5364.469318631095,439216.9195104118
4900,273597067.21911055,219969.7095538242,4966.95451580656,398536.22661596665
5000,279277100.6765595,216328.74333293524,5031.078250854478,419014.4003439566
