miliseconds,R,L,E,V
0,101710958.63377705,999329.2457515564,-130.47249729053263,7046813.549771308
100,98310236.05586365,980619.1234591289,18997.80044890079,5166616.635679149
200,99216964.96266142,932797.138319414,20887.816777511653,4041346.1120028193
300,101130620.73227789,921939.9800136798,20635.57702652179,3272348.1006290335
400,100916651.768248,885915.998751952,19530.478979261643,2815530.6954412838
500,105757689.1006357,852528.8950552943,18622.75686229605,2321511.694026001
600,104998212.18666705,822179.2878337003,17835.120418885705,2060117.3537270941
700,107348188.19836749,801675.8304773342,17113.939026482887,1857352.1401988775
800,107293498.95929703,770187.7909590603,16221.4641307076,1753811.9720215783
900,109911753.57557149,746843.844196987,15474.417262058829,1514342.0016708933
1000,110995611.98544495,729398.2043100742,15290.35682418478,1494822.3982343227
1100,115569032.45732808,705231.493182148,14847.239467197986,1360574.2466120669
1200,117005090.30820517,685209.0472745458,14244.682881780445,1272475.9112851226
1300,122476268.90677197,665625.7862422208,13783.960237979216,1192828.038643923
1400,121513327.93984419,633712.6941078629,13160.084828306743,1223582.7472424614
1500,124936625.57336627,625977.454093576,12844.254907037217,1101187.2866299215
1600,128803539.2561807,594747.4741733354,12496.255192732408,1146035.7922113356
1700,129977389.7222678,580366.595661779,12094.668679374236,1108755.018062365
1800,132463353.8305545,568936.8509063149,11910.982903606393,978100.9316721411
1900,138116740.80436957,550323.2448096586,11309.523357200731,994212.8027039311
2000,140877711.24152246,521485.1469163708,11216.227421533085,927332.7950810797
2100,146454809.0350719,516170.59780201555,11016.913732151063,887211.6906099785
2200,150361221.90578213,501548.1334529618,10341.093610179922,889053.9572764012
2300,149554386.28570276,476930.37661940075,10185.902741725535,903137.1565667635
2400,155676664.20780885,468678.3015468001,9781.513234899903,878706.2274950963
2500,159815484.76967072,446814.10707047046,9564.355998981286,844139.254463692
2600,164340520.15195033,445892.10264758806,9232.400698406844,758245.1718604475
2700,167713813.6036046,423490.55999012344,8970.608734743346,781889.5387750296
2800,168982896.375949,409740.94154626003,8850.869511510367,714757.0664737793
2900,173526410.77772027,390394.3086354393,8727.088940238104,791515.2310795741
3000,178920751.052376,379247.0412907441,8566.722877986693,782255.6772868417
3100,181868511.6393654,386079.65484928316,8071.898358502831,688901.584948602
3200,189013826.49331924,372880.8049394939,8123.215025535319,736568.7789331325
3300,192643307.31386098,341230.96023043233,7597.806434233439,631565.6442577239
3400,194112548.27048293,337098.5028504562,7609.927464585113,599790.2334367797
3500,197394008.28913042,338084.9447076219,7458.099515023188,638466.4961808812
3600,202756366.14843655,322453.451631415,7057.807164333738,647820.3596425474
3700,211165976.71760058,303553.4889763004,7121.159661773909,662614.0977615262
3800,215147580.25514933,290097.2516741811,7031.2293122268175,590088.7295668788
3900,220831219.84604624,284371.39336236374,6802.918652531491,622475.5894794394
4000,224211450.99686947,285174.96086060104,6320.413237886873,611104.3652978856
4100,228712613.6457999,279993.9150609128,6200.467847513556,546554.495262297
4200,234367427.96428156,268390.66247374716,6265.31245128964,499500.88044280716
4300,241090183.90968066,263573.36344079016,5839.318932143963,455581.40196673875
4400,242425588.95649242,260637.94683849046,5761.795253108547,478176.37201225705
4500,250352247.4868926,244924.72398678737,5727.761258553473,464242.98773381975
4600,255494202.43802586,230630.44069707138,5429.45545638447,456296.90897899424
4700,258745129.063084,217699.25893241767,5270.209463223862,416532.9537621559
4800,266676714.82610962,230072.4331594836,5541.433244403588,396068.38404840877
4900,272238629.14075655,219724.51678405644,5098.99182403129,447979.4797839539
5000,277117052.9840839,208977.0025819895,5206.896158169702,434367.1385349344
