miliseconds,R,L,E,V
0,102457341.14401045,994132.2856568313,-84.80997057350966,7045113.494294701
100,102045494.05878855,961028.710002066,18808.894041144227,5129277.883601548
200,99213331.64174606,944215.1734824074,20868.53048770854,4019205.5786664793
300,103539399.61715646,904506.217042437,20261.312845639797,3355286.863735052
400,102281767.720973,893580.3372744105,19343.02819224344,2777150.9836206264
500,106634142.28533684,853399.5973722298,18348.07466739532,2395163.112949142
600,106637194.99091132,832370.1123219134,17803.319336826477,2047067.6532810929
700,106836412.7168498,813755.3822323926,17008.177316464793,1843652.721725675
800,111222730.66410561,767941.358561231,16081.442247758714,1739237.4783718647
900,112126418.57511988,750255.3630973853,15505.141793171893,1530108.56658894
1000,110744961.15086195,726299.0398034372,15019.794914988834,1422039.006872555
1100,115280343.09763859,716523.236022477,14899.932246348711,1332128.912349159
1200,115525534.71318454,690559.4794518973,14024.952251741375,1257868.709067585
1300,119096934.48826046,666516.2714849333,13940.263914200357,1275998.4366809607
1400,124900416.18288916,643574.2435268477,13542.43274482211,1236144.8690213354
1500,125178109.47188298,611551.4641426901,13170.26871539751,1200062.8114741992
1600,131298290.7457644,591958.0760508194,12421.459950782353,1160004.9444463293
1700,130504814.76944429,584990.8201746715,12404.91460824197,1102727.7818388643
1800,132580666.41056153,569877.9713618493,11607.19085972646,1084956.7656770975
1900,135967571.63059226,543864.0096196161,11278.44134339081,970140.9732812584
2000,143304395.86068147,526870.59285618,10989.826746383236,1014892.0289590196
2100,146977670.1540817,507917.6745328019,10728.765491425967,946780.6780455393
2200,148064007.72791693,509636.49305507593,10525.876762813747,934591.8776927539
2300,150730873.29932976,486617.6959076313,10456.093436323816,845751.5688024529
2400,154562789.37647465,469839.098700895,9865.152311779259,805012.853665918
2500,156585244.77281153,447675.52822061465,9675.329458969509,806658.6167344678
2600,159974809.325759,430029.2712332629,9327.501580750908,861442.2763764041
2700,164288555.67444828,434542.3571834824,8950.075555408277,789560.1586914537
2800,168127767.07631332,417954.7826863243,8712.439819394804,732304.2633923328
2900,175388186.69594043,394443.0369777562,8456.643450189766,783369.4180166766
3000,177304701.38833866,391282.0134044035,8279.816116001717,692034.7487199068
3100,183928804.5044545,381041.70834343776,8027.3014733573045,683012.1920281384
3200,186615299.76751283,369259.2360114744,8224.729571794041,709587.1532250668
3300,190822239.2424121,342215.2575535419,7847.132154600129,612964.3682106443
3400,196375632.50938782,338499.74646034464,7607.3010556898935,612946.2884664265
3500,197305354.90351635,336121.15759468096,7443.407937284429,651751.6823161701
3600,203155312.32586405,317558.4263195754,7325.978090844215,644236.1378054835
3700,210382674.99028412,308387.6727534118,7063.96502174288,654556.0583395045
3800,216736190.83828115,297766.74725769757,6699.426892900754,530874.2105301559
3900,220201225.1219644,302480.37276477617,6719.707642430667,598335.8119037313
4000,223599829.38350543,286201.3059817251,6249.863045486623,609357.3030106262
4100,229525231.6445102,277224.88843013934,6137.925464007242,588839.3372937916
4200,234488034.23822007,260775.42756227165,6069.731642305505,471244.261848985
4300,241291404.39407757,263317.4083066892,6174.324743538809,545738.298490379
4400,246877464.08732316,251714.10887657065,5925.237591057933,509461.89049968595
4500,248569766.1789796,235011.85743074832,5510.059163327234,483960.7479369554
4600,256863319.22876897,246406.44108783544,5771.485654053293,509259.5603432736
4700,263529904.53740582,219095.93289723026,5467.668902848795,433147.3259459166
4800,264231746.0553805,229674.26415176017,5392.21808618153,439429.68435254734
4900,269944782.9741629,226064.6751193197,5305.133685681961,485947.6227496998
5000,279559640.1123039,197475.574602298,4893.5244141987305,473155.8304969288
