milliseconds,R,L,E,V
0,100555463.51081511,999350.1139422503,168.95929252476054,6946857.043564443
100,100898210.49953444,977574.3673166697,18788.699169801344,5163367.491898408
200,98446656.05718122,938940.3868543017,20933.859966888114,4000691.1503265444
300,103965527.53501916,919321.0054597898,20318.736554035844,3349090.8246739917
400,105022157.60361928,877943.3981560646,19653.827094163775,2753298.571001664
500,104893672.12261629,845433.2577626132,18365.35780121938,2374887.634827156
600,104679577.03767051,838075.8770841181,17525.258796822094,2078947.5944859565
700,105711323.34550138,812319.3329188431,16876.241408079353,1907051.9710573002
800,108414542.87454425,770345.5135087735,16213.9738628956,1654587.4659084647
900,109632841.79712695,752643.5785890211,15637.500159275796,1560285.1117992855
1000,110575043.78176175,734433.1247194466,15088.309205889294,1483340.4224886603
1100,114816759.50616439,704072.1245504174,14571.07201542822,1372655.096789067
1200,117812367.33063278,673844.4030237525,14158.37882375075,1304187.62368724
1300,120799439.52929015,661644.1799890513,13866.455796445423,1250301.5618038217
1400,120918657.04033561,638078.7064361043,13383.749508797724,1197133.0818176914
1500,126497151.37140262,611830.8720967752,12711.641747447642,1196431.8687961379
1600,130832502.94128858,601003.3313866222,12383.980852966451,1135195.3770838294
1700,132219667.03862323,583945.8939326131,12269.46427517226,1093435.2208060373
1800,137831122.2194229,566991.5133341522,11993.193474641539,1088458.500854715
1900,140922067.53804505,537668.709041897,11671.08441900876,968468.8606104016
2000,142531904.15474007,526774.8524989786,11299.561917521129,968069.9002686
2100,145250805.28548053,503805.3599811944,11064.418043864169,916623.2727504335
2200,148514434.26378095,495176.65619083116,10492.372107335932,904641.8080753741
2300,153096092.7984097,478952.8744576184,10383.424996743954,890998.9057458753
2400,154002048.77140665,469466.5361723712,9912.951265278189,894243.7076557352
2500,159136590.67430347,445275.52953059785,9475.7553541411,845522.9617892201
2600,164695491.3438262,443188.1937050249,9411.962386543813,842129.3388339992
2700,165478711.13228646,424721.5373539644,9152.152093506958,846786.2472952048
2800,173054265.6202492,404517.1844999306,9088.684046874223,736904.6304465107
2900,174032946.58859694,394327.05658965674,8748.246423026192,693229.5545651794
3000,178597163.8002901,378726.4115693723,8271.489197353354,678899.6313907466
3100,180859286.92287698,376079.70426794013,8184.39775894093,756381.3064848217
3200,184331351.2569528,366606.2166140092,8167.261764560517,685843.6947485887
3300,189788852.74196073,347182.9629858947,7784.933670916399,705114.6367812272
3400,195198867.76625794,350121.1751512641,7464.823750449381,609735.9513056345
3500,201980446.5670602,338058.3179324051,7201.826816831087,626353.0764681334
3600,204029544.8454041,311957.3051142853,7409.187176689102,570719.9883397745
3700,207461387.02911845,305221.1830494889,7008.209665469831,602082.0017746439
3800,214873931.3202494,299450.25081237353,6711.331266437098,561841.3734206681
3900,217269855.61515617,296376.5871609686,6595.9636478199845,614831.3725077623
4000,225696397.938751,282348.9121256735,6486.803307075526,510811.40380564413
4100,229659578.3895496,282404.2467105795,6099.142154780784,563038.5336514699
4200,234521427.84542793,272126.4656529601,6054.6620474632855,483967.75754972914
4300,236684556.5678083,252029.89225259423,5802.722018082383,525179.9296058432
4400,245695458.41554984,261781.27809687765,5786.510742723319,471032.65223994583
4500,252292762.55835,244739.29672020493,5646.939405939724,484913.9149609805
4600,256014685.62939894,245786.20292069434,5462.899954771132,469322.9580544332
4700,259398702.16672233,233360.73676491526,5498.183550702677,520595.7930568541
4800,267754889.1840423,219079.735243357,5490.944152165506,504553.8579946249
4900,271503250.4494331,225688.95150892413,5091.128925084718,460888.26602606085
5000,279758770.2562598,212697.62149122506,4922.392927283961,389467.3091432529
