milliseconds,CRP,PC,PC_CRP,C4,C4a,C4b,C2,C1,PC_CRP_C1,C2a,C2b,C4b_C2a,C3,C3a,C3b,dC3b,MASP,dC4b_C2a,GlcNac,GlcNac_LF,LF,GlcNac_LF_MASP,PC_CRP_LF,PC_CRP_LF_MASP,GlcNac_LF_CRP,GlcNac_LF_CRP_C1,C4BP,C4BP_PC_CRP,C4BP_GlcNac_LF_CRP,iC4b_C2a,C4BP_C4b,C4b_C2a_C4BP,dC4b_C2a_C4BP,PC_CRP_LF_C1,C4BP_PC_CRP_LF,GlcNac_LF_CRP_MASP,PC_CRP_LF_C1_MASP,GlcNac_LF_C1_MASP,GlcNac_HF,HF,GlcNac_HF_MASP,X
0,2.0,0.0327796,0.0,770.0,0.0,0.0,310.0,2470.0,0.0,0.0,0.0,0.0,4650.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005
100,1.999819571300639,0.03259917130063764,7.1294142159333315e-06,769.9999999270134,7.298676211924809e-08,9.23551235632666e-09,309.9999999302887,2469.999998748917,1.2510012286288057e-06,6.97115722270836e-08,6.971157223172213e-08,9.035014152956756e-19,4650.0,5.920989593042024e-20,5.81702133547799e-20,4.701885198583773e-22,6.799999999988484,4.634687266626008e-21,0.0,0.0,19.999999999032166,0.0,8.773349852570137e-10,1.0240875317452128e-11,0.0,0.0,259.9909291280586,0.00017204712528746377,0.0,3.4359202517478316e-19,6.375124975813347e-08,3.3693950217796624e-18,1.6406841004829567e-20,7.897819353515845e-11,0.0,0.0,1.2780838914374364e-12,0.0,0.0,0.0,0.0,0.0005
200,1.9996401521066884,0.03241975210668727,7.138444123720805e-06,769.9999996961832,3.038171060504356e-07,2.044947885042331e-08,309.9999997098569,2469.9999974449515,2.5547319604213957e-06,2.901433341446106e-07,2.9014333422607055e-07,8.705273153791814e-18,4650.0,1.1747515055697689e-18,1.1331082884421703e-18,1.864642023764878e-20,6.799999999952618,5.035240976036386e-20,0.0,0.0,19.999999998023434,0.0,1.6242498660159765e-09,3.7382871483623353e-11,0.0,0.0,259.98185235281903,0.00035015254997565725,0.0,6.816827318296901e-18,2.833676271172249e-07,6.550044149945712e-17,3.6705877743088434e-19,3.0492789122607927e-10,0.0,0.0,1.0000334644624661e-11,0.0,0.0,0.0,0.0,0.0005
300,1.9994617364133707,0.032241336413369445,7.1474310087276955e-06,769.9999993070159,6.929845102079005e-07,3.265021469267034e-08,309.9999993382835,2469.999996139353,3.859965886713408e-06,6.617167176241378e-07,6.617167180470125e-07,3.231187810772843e-17,4650.0,6.4087082294621664e-18,6.083938462339098e-18,1.4417942481338224e-19,6.79999999989316,1.9686792472150924e-19,0.0,0.0,19.999999997013436,0.0,2.232183881337274e-09,7.515231182871045e-11,0.0,0.0,259.9727767358388,0.0005272530124784823,0.0,3.718732716031714e-17,6.603342950872901e-07,3.5098948516183245e-16,2.0801174313909984e-18,6.475338847518575e-10,0.0,0.0,3.168870879271798e-11,0.0,0.0,0.0,0.0,0.0005
400,1.9992843184532028,0.03206391845320157,7.156374125695118e-06,769.9999987592738,1.2407264923025322e-06,4.5838383978171696e-08,309.99999881538054,2469.9999948321515,5.166694860109197e-06,1.1846197114773912e-06,1.1846197128548328e-06,8.232778590058374e-17,4650.0,2.1599870510926874e-17,2.0181960061451938e-17,6.238111076190712e-19,6.799999999810887,5.206810722600911e-19,8.534920651914802e-34,4.289649344813864e-31,19.999999996002177,1.0300998602853955e-28,2.7271432827026645e-09,1.1887071383449415e-10,-1.7257713735689417e-37,-6.050865406678243e-38,259.96370227106536,0.0007033542892930648,6.513326407942787e-36,1.2533226394940414e-16,1.194888106943018e-06,1.1617382027353408e-15,7.153298205835353e-18,1.0815624754337217e-09,0.0,-1.232189517405459e-38,7.02438607851179e-11,0.0,0.0,0.0,0.0,0.0005
500,1.9991078924193868,0.031887492419385634,7.1652736450832445e-06,769.9999980527292,1.9472710460262938e-06,6.001478317165528e-08,309.9999981409605,2469.9999935233723,6.474910653395398e-06,1.8590397093192813e-06,1.8590397127851345e-06,1.710547367441794e-16,4650.0,5.584344511875987e-17,5.137072334270036e-17,1.950070331175501e-18,6.799999999706559,1.1152343078311009e-18,1.4922784656605156e-32,5.8035141667653436e-30,19.999999994989658,1.0303774509819163e-27,3.130538433627073e-09,1.6515328445992837e-10,2.078974163778994e-36,6.89280144774125e-39,259.9546289524169,0.0008784621952761993,5.700449678044253e-35,3.2401959051058767e-16,1.887256259391582e-06,2.949983784999538e-15,1.872400886235013e-17,1.5863588263837742e-09,0.0,-2.1375363524004847e-40,1.282895636460636e-10,0.0,0.0,0.0,0.0,0.0005
600,1.9989324525879568,0.03171205258795576,7.17412974313934e-06,769.9999971871654,2.8128348631727553e-06,7.518030113478451e-08,309.9999973148403,2469.99999221304,7.784605140781001e-06,2.6851599071759297e-06,2.6851599145546255e-06,3.1241417701589186e-16,4650.0,1.2162760601971654e-16,1.1024524558320072e-16,4.920213586611348e-18,6.799999999580905,2.0913433019725568e-18,6.5871262075387e-32,1.7586669321583966e-29,19.999999993975884,1.5118012016450725e-27,3.4597432085661076e-09,2.116285538508456e-10,9.67589365168585e-36,1.00313698804791e-36,259.94555677390656,0.001052582462348066,2.149717419909778e-34,7.056978573277171e-16,2.737654554666217e-06,6.315292097516769e-15,4.111732194391335e-17,2.145273269117936e-09,0.0,1.4111153451456142e-37,2.074675270063092e-10,0.0,0.0,0.0,0.0,0.0005
700,1.9987579932752022,0.0315375932752011,7.182942595555172e-06,769.9999961623732,3.83762700564438e-06,9.133590121764262e-08,309.9999963368393,2469.999990901174,9.095770237873333e-06,3.663160913174621e-06,3.663160927168772e-06,5.221794044245715e-16,4650.0,2.3533072523026494e-16,2.1034090708956838e-16,1.071391892064195e-17,6.799999999434632,3.579286520749642e-18,1.2627548873654634e-31,1.4491668025032045e-29,19.999999992960863,-1.995407039810888e-27,3.7289376639354595e-09,2.5667911903956545e-10,1.2210748202752287e-35,2.4931730921318587e-36,259.9364857295956,0.0012257207821335693,4.215691996065048e-34,1.365378955739459e-15,3.746291090453551e-06,1.2018961442232435e-14,8.002039633972932e-17,2.7448250558082228e-09,0.0,3.798792386353399e-37,3.0869020769238457e-10,0.0,0.0,0.0,0.0,0.0005
800,1.9985845088321792,0.03136410883217794,7.191712377458916e-06,769.9999949781496,5.021850511499212e-06,1.0848260653656285e-07,309.9999952067791,2469.9999895877936,1.040839789350468e-05,4.793221082500618e-06,4.793221106900358e-06,8.178499880057445e-16,4650.0,4.178551354764178e-16,3.6849747036499355e-16,2.0991872043684705e-17,6.799999999268419,5.729877714711204e-18,1.0041865649586464e-31,-1.9071648164611137e-29,19.999999991944605,-6.091839848665372e-27,3.949594061329179e-09,2.9927472146889537e-10,-8.812902121249262e-36,2.384361338889707e-36,259.9274158135865,0.0013978828114582025,3.88994406479828e-34,2.424310410376925e-15,4.913367880601209e-06,2.1001984476437654e-14,1.4270637135331553e-16,3.3742170616605776e-09,0.0,4.191804303807925e-37,4.323070250661754e-10,0.0,0.0,0.0,0.0,0.0005
900,1.9984119936476772,0.03119159364767599,7.200439263340104e-06,769.9999936342971,6.365703006096837e-06,1.2662149147506694e-07,309.99999392448365,2469.999988272915,1.1722480092929337e-05,6.075516492121056e-06,6.075516532039331e-06,1.2187721694675136e-15,4650.0,6.953587429816102e-16,6.052880574368391e-16,3.800486232956071e-17,6.799999999082923,8.716529038803947e-18,-1.3531913535214069e-31,-8.399270936377532e-29,19.999999990927105,-7.909823581913313e-27,4.130688039446013e-09,3.3888771511625115e-10,-4.852605117898964e-35,-2.2739405917458648e-36,259.91834702002507,0.001569074169378372,-2.7117921077683816e-34,4.034216659290331e-15,6.23908147475266e-06,3.440636515375124e-14,2.382920064957007e-16,4.025123400183521e-09,0.0,-1.6914094446937049e-37,5.781901120953209e-10,0.0,0.0,0.0,0.0,0.0005
