miliseconds,EGFR,pEGFR,pEGFR_Akt,Akt,pAkt,S6,pAkt_S6,pS6,EGF_EGFR
0,68190.60805057357,-0.008463030187742934,-4.817311989600039e-10,0.043309030272712316,6.214062737385818e-11,3.5431674054221776,2.0274368952144584e-15,1.822760939535955e-18,0.46826278765585394
100,68190.04606484307,0.011485762419388522,-2.735875364470462e-09,0.043309031856232166,1.6629227990413918e-10,3.543167405422179,1.4002066962831664e-15,2.1835497294527268e-18,-0.6179609552202718
200,68189.47958573945,-0.013739242434882995,-7.908027107656873e-10,0.04330903173099999,2.4945538780063307e-10,3.54316740542218,-8.477432329579994e-16,3.308767273242074e-20,-0.5253226982600981
300,68190.22504389523,0.01842413796028263,-3.1673172251755336e-09,0.04330901281811163,2.1437659382945097e-10,3.5431674054221802,-1.9059804517682654e-15,1.4131711021080417e-18,0.5057163425785305
400,68190.42055723305,0.006179998142457197,-3.1556156571102578e-09,0.043309021603512646,2.547302987810623e-10,3.5431674054221816,-8.138856474935887e-16,9.185966557724695e-19,-0.2762092338329601
500,68189.87204893761,0.01285530427145646,-5.9009225014618245e-09,0.04330900616023899,2.53622393198319e-10,3.543167405422177,2.0602876043156965e-15,-4.457184648780045e-19,0.41490420312088494
600,68190.03562040708,-0.013889629153582841,-9.07633794283405e-09,0.04330901651665356,1.9220708132274387e-10,3.5431674054221802,-2.4003157798995637e-15,-1.6747893481636684e-18,0.3262512594480698
700,68188.84874455209,-0.012987499966328087,-4.659547177770672e-09,0.04330902160670492,-3.8342368532885556e-10,3.543167405422182,6.145833111895627e-16,7.112649665603694e-20,1.27462859316165
800,68189.20232627199,0.02117616555331479,-1.1887253064100094e-08,0.04330902279910763,-3.612049016316248e-10,3.543167405422177,1.7799872370440057e-15,5.944988185138992e-19,0.8819031237628066
900,68189.03728756304,0.01010313764568361,-3.1498861526955353e-09,0.04330900860257736,4.43810883925998e-10,3.543167405422179,2.3010610639369766e-15,-1.2388491555970372e-18,1.1607926658584962
1000,68188.13988797262,0.004180717608969826,-4.277172953630475e-09,0.0433090130346923,-5.713421292839462e-11,3.5431674054221785,4.110495327510684e-16,-8.649332085649182e-19,2.445550271700023
1100,68188.02833855205,0.010740117924634161,-4.988353887292692e-09,0.04330901421331101,-9.37744135472014e-11,3.543167405422178,3.0520153960058245e-16,2.0350003165360507e-18,2.7759648092708216
1200,68187.89380249355,0.022738540216833032,1.874213101706868e-08,0.043309010703013316,2.863427062821985e-10,3.5431674054221776,-1.0642799507923994e-15,-1.51719560170325e-18,2.0306492656215314
1300,68186.82079497847,0.013331975027849831,1.3219737650303167e-08,0.04330902210149318,2.4613507914021628e-11,3.5431674054221793,-1.7461733342780155e-15,1.1508608763576354e-18,3.1655091587959014
1400,68185.90206173074,0.01746098399318529,1.8761227431147057e-08,0.04330900528107976,3.390312128311272e-10,3.5431674054221802,1.2411473435881752e-15,-2.140914715226791e-18,3.632881589259629
1500,68185.91512533922,0.023688750486168003,1.1074614327742646e-08,0.04330900713871193,-2.0362267524856342e-10,3.5431674054221785,-6.845303119027523e-16,1.0890400551449378e-18,4.477450717772367
1600,68185.62167312055,0.0356326860510115,1.621354201365854e-08,0.043308995935329116,2.3842297056638627e-10,3.5431674054221776,2.2118066848256213e-15,2.23536090549083e-18,4.693760507264739
1700,68185.30605329624,0.05099383351534539,2.139333166497037e-08,0.04330898896214851,-1.845190286797052e-10,3.5431674054221807,1.8413797146520725e-15,1.1407737096040873e-18,5.893301364052396
1800,68184.17843172552,0.055436997291117944,5.68759246816223e-09,0.043308980862836265,8.396063547071966e-11,3.5431674054221802,1.6700188634508415e-15,-2.018140321457843e-18,5.8040808852373695
1900,68183.3258148306,0.06456931687147217,2.8829235837314113e-08,0.04330899779901966,5.321060432183154e-10,3.543167405422181,1.1245526496481637e-15,-2.6240161221394497e-19,6.836518571178624
2000,68182.8199432778,0.0958428953950779,1.754673714762448e-08,0.04330898696822706,3.871673815020577e-10,3.54316740542218,7.208426954325504e-16,6.641483291532984e-19,7.195491060978933
2100,68181.68531835242,0.10170920421420215,4.2551926180237155e-08,0.04330898276450435,9.892375510740277e-11,3.5431674054221776,1.8638080526601444e-15,8.533701956120308e-19,8.28988601176943
2200,68181.38379854664,0.10965384144730905,4.1880556979836894e-08,0.04330897146410864,2.6836892637928577e-10,3.54316740542218,1.1588541540622056e-15,1.737067025418142e-18,8.780555508459122
