milliseconds,V,S,I
0,0.0,253935970.4669019,0.0
100,0.0,253692203.71538717,0.0
200,0.0,259475825.14919382,0.0
300,0.0,257668485.77135426,0.0
400,0.0,262767383.59727225,0.0
500,0.0,266101019.03323203,0.0
600,0.0,264203824.9305355,0.0
700,0.0,269324247.5912114,0.0
800,0.0,273216193.96883583,0.0
900,0.0,276650173.63820827,0.0
1000,0.0,277442580.99816906,0.0
1100,0.0,279456917.65465415,0.0
1200,0.0,278618440.7078813,0.0
1300,0.0,288196764.30392754,0.0
1400,0.0,286754245.8898531,0.0
1500,0.0,292134754.0034243,0.0
1600,0.0,289749533.8408455,0.0
1700,0.0,296938018.8862383,0.0
1800,0.0,294104409.5273955,0.0
1900,0.0,298585904.214128,0.0
2000,0.0,304711318.4754253,0.0
2100,0.0,301570479.17292,0.0
2200,0.0,312313907.42984444,0.0
2300,0.0,307089081.097892,0.0
2400,0.0,314932838.2406848,0.0
2500,0.0,319121744.4850802,0.0
2600,0.0,318803162.85826206,0.0
2700,0.0,321993945.8274657,0.0
2800,0.0,328747077.3975012,0.0
2900,0.0,330601607.44859594,0.0
3000,0.0,329980190.1357395,0.0
3100,0.0,333251069.1620187,0.0
3200,0.0,339111105.40788925,0.0
3300,0.0,343186711.43076104,0.0
3400,0.0,345470938.72965413,0.0
3500,0.0,345501223.30653876,0.0
3600,0.0,351749935.94050545,0.0
3700,0.0,349348698.69596493,0.0
3800,0.0,356308380.3424281,0.0
3900,0.0,357717634.48032385,0.0
4000,0.0,359927441.59623855,0.0
4100,0.0,367500425.8605749,0.0
4200,0.0,362789335.686192,0.0
4300,0.0,370543117.9051093,0.0
4400,0.0,373983512.94571674,0.0
4500,0.0,379837221.563074,0.0
4600,0.0,381812264.39960504,0.0
4700,0.0,380848631.07272744,0.0
4800,0.0,382839015.6190245,0.0
4900,0.0,389420490.8529661,0.0
5000,0.0,394170266.20109427,0.0
