milliseconds,V,S,I
0,0.0,249591074.28795013,0.0
100,0.0,249433976.58062115,0.0
200,0.0,257634409.35369122,0.0
300,0.0,261142840.3356015,0.0
400,0.0,262791325.4353203,0.0
500,0.0,260358319.24725908,0.0
600,0.0,266535951.46572423,0.0
700,0.0,270660515.5556401,0.0
800,0.0,267016108.1097709,0.0
900,0.0,270516791.7014691,0.0
1000,0.0,275211770.7734297,0.0
1100,0.0,274801034.56396586,0.0
1200,0.0,279064115.33292836,0.0
1300,0.0,286759558.5773065,0.0
1400,0.0,283657554.814885,0.0
1500,0.0,291456573.9762349,0.0
1600,0.0,294227239.35244524,0.0
1700,0.0,298638151.5829578,0.0
1800,0.0,298858480.51161903,0.0
1900,0.0,300975275.35677963,0.0
2000,0.0,305117153.36987513,0.0
2100,0.0,306564021.04164314,0.0
2200,0.0,305521855.595973,0.0
2300,0.0,311291345.1159813,0.0
2400,0.0,313568388.93570393,0.0
2500,0.0,319225241.33522826,0.0
2600,0.0,321623670.6036734,0.0
2700,0.0,319676071.3742667,0.0
2800,0.0,326040166.55117714,0.0
2900,0.0,330726879.11532736,0.0
3000,0.0,334246959.67530787,0.0
3100,0.0,335082229.33687043,0.0
3200,0.0,338820338.7798791,0.0
3300,0.0,341719392.18169606,0.0
3400,0.0,345987275.110134,0.0
3500,0.0,343919869.3366502,0.0
3600,0.0,352507747.380804,0.0
3700,0.0,354544420.5411424,0.0
3800,0.0,352003715.37805575,0.0
3900,0.0,360720263.80805916,0.0
4000,0.0,357754572.63994914,0.0
4100,0.0,359784246.0195433,0.0
4200,0.0,367659912.8128242,0.0
4300,0.0,366007872.28907484,0.0
4400,0.0,374079099.4518662,0.0
4500,0.0,377778181.5856283,0.0
4600,0.0,382451004.4216037,0.0
4700,0.0,384580826.56275696,0.0
4800,0.0,383293386.5683926,0.0
4900,0.0,386157645.97995263,0.0
5000,0.0,393654355.4987714,0.0
