milliseconds,V,S,I
0,0.0,248707346.2919988,0.0
100,0.0,250792730.22491992,0.0
200,0.0,258960271.98348957,0.0
300,0.0,256222922.80521795,0.0
400,0.0,261485029.67812166,0.0
500,0.0,261362649.32089895,0.0
600,0.0,267104318.90435708,0.0
700,0.0,269081031.43288225,0.0
800,0.0,267938726.12872046,0.0
900,0.0,275431881.9727514,0.0
1000,0.0,279719250.580893,0.0
1100,0.0,278807957.6909031,0.0
1200,0.0,281958076.99757063,0.0
1300,0.0,287087875.9745808,0.0
1400,0.0,284322701.1978002,0.0
1500,0.0,291408883.1538564,0.0
1600,0.0,288879356.4227636,0.0
1700,0.0,290738597.21729356,0.0
1800,0.0,295045108.1836784,0.0
1900,0.0,300877684.0246145,0.0
2000,0.0,299770665.6103295,0.0
2100,0.0,305080964.86838204,0.0
2200,0.0,309617619.4320206,0.0
2300,0.0,309980819.33092964,0.0
2400,0.0,312337080.03650457,0.0
2500,0.0,318367850.40633696,0.0
2600,0.0,321166828.7657342,0.0
2700,0.0,323607859.95031863,0.0
2800,0.0,329108446.4671841,0.0
2900,0.0,326250185.113416,0.0
3000,0.0,331389219.7972029,0.0
3100,0.0,333990003.47415346,0.0
3200,0.0,333123802.15844125,0.0
3300,0.0,337358130.72648734,0.0
3400,0.0,343268878.43777287,0.0
3500,0.0,345279740.7762618,0.0
3600,0.0,348027113.09710455,0.0
3700,0.0,354148692.6974076,0.0
3800,0.0,356365587.51979613,0.0
3900,0.0,354107624.8931547,0.0
4000,0.0,364679997.8216609,0.0
4100,0.0,361878990.314495,0.0
4200,0.0,363919329.5367907,0.0
4300,0.0,373075147.8172177,0.0
4400,0.0,375069969.74827844,0.0
4500,0.0,375528020.8529473,0.0
4600,0.0,382144234.8353043,0.0
4700,0.0,384514804.7115567,0.0
4800,0.0,383491711.29620403,0.0
4900,0.0,387611920.69900686,0.0
5000,0.0,393376721.80588543,0.0
