milliseconds,V,S,I
0,0.0,252713746.7471886,0.0
100,0.0,254241942.0285913,0.0
200,0.0,256283881.91715106,0.0
300,0.0,260770468.46728942,0.0
400,0.0,259646502.5581579,0.0
500,0.0,263716504.046446,0.0
600,0.0,266409053.1812963,0.0
700,0.0,264373302.18878877,0.0
800,0.0,273474666.2301337,0.0
900,0.0,276156619.45531505,0.0
1000,0.0,279993976.0196167,0.0
1100,0.0,277907169.42039675,0.0
1200,0.0,279707291.8444599,0.0
1300,0.0,285407057.0357956,0.0
1400,0.0,282590103.9178211,0.0
1500,0.0,291941100.65165555,0.0
1600,0.0,292922142.01035225,0.0
1700,0.0,294304524.45144147,0.0
1800,0.0,293977122.3121729,0.0
1900,0.0,302073479.8319423,0.0
2000,0.0,302302455.3702055,0.0
2100,0.0,306416171.00557196,0.0
2200,0.0,310759035.07877696,0.0
2300,0.0,314677872.2593412,0.0
2400,0.0,316616102.07969564,0.0
2500,0.0,317013688.36100036,0.0
2600,0.0,322679445.18066114,0.0
2700,0.0,325444434.4309007,0.0
2800,0.0,327793784.47121024,0.0
2900,0.0,329960272.46784705,0.0
3000,0.0,333691418.0056467,0.0
3100,0.0,334251334.02327555,0.0
3200,0.0,340420395.6621108,0.0
3300,0.0,338744214.9356207,0.0
3400,0.0,346124693.4598175,0.0
3500,0.0,343055835.1506101,0.0
3600,0.0,348952551.3582224,0.0
3700,0.0,348038437.919216,0.0
3800,0.0,358230712.7243458,0.0
3900,0.0,356579030.4480919,0.0
4000,0.0,360035378.63895094,0.0
4100,0.0,360932191.08702177,0.0
4200,0.0,367837086.22590065,0.0
4300,0.0,371254892.65000737,0.0
4400,0.0,376614398.73617125,0.0
4500,0.0,377563860.5383007,0.0
4600,0.0,379510331.23624307,0.0
4700,0.0,384389758.3557668,0.0
4800,0.0,383187708.4648256,0.0
4900,0.0,384213804.00757587,0.0
5000,0.0,387815125.74038017,0.0
