milliseconds,V,S,I
0,0.0,252636945.73914394,0.0
100,0.0,252130696.32435054,0.0
200,0.0,255845993.848869,0.0
300,0.0,256779263.34533533,0.0
400,0.0,262929478.8408142,0.0
500,0.0,262153822.9205464,0.0
600,0.0,262288836.82195398,0.0
700,0.0,272296131.10389704,0.0
800,0.0,268923570.63518155,0.0
900,0.0,270970125.9768296,0.0
1000,0.0,275326636.18367714,0.0
1100,0.0,278033020.29320586,0.0
1200,0.0,279177022.272686,0.0
1300,0.0,285226213.13597506,0.0
1400,0.0,285092984.44925547,0.0
1500,0.0,290671745.89303964,0.0
1600,0.0,290852294.6960825,0.0
1700,0.0,295873557.8175461,0.0
1800,0.0,294887235.35287374,0.0
1900,0.0,301948099.29847336,0.0
2000,0.0,299917823.4692244,0.0
2100,0.0,303458975.56653833,0.0
2200,0.0,307534519.37461513,0.0
2300,0.0,308905850.8102631,0.0
2400,0.0,312656966.77124447,0.0
2500,0.0,316469844.37087244,0.0
2600,0.0,316929365.06979847,0.0
2700,0.0,323291939.5511875,0.0
2800,0.0,324810456.9850436,0.0
2900,0.0,328826551.0137879,0.0
3000,0.0,332610107.2308544,0.0
3100,0.0,337752509.6528618,0.0
3200,0.0,340092724.9798871,0.0
3300,0.0,339654111.30675495,0.0
3400,0.0,342794749.3045151,0.0
3500,0.0,345412263.82298,0.0
3600,0.0,352401189.12621295,0.0
3700,0.0,349986295.1769282,0.0
3800,0.0,354382616.8029123,0.0
3900,0.0,358577967.9970914,0.0
4000,0.0,361434337.41820383,0.0
4100,0.0,362331775.44026643,0.0
4200,0.0,364303063.96044064,0.0
4300,0.0,370982033.4359527,0.0
4400,0.0,370871481.38473123,0.0
4500,0.0,377215974.0104533,0.0
4600,0.0,379497587.9675102,0.0
4700,0.0,378359243.402525,0.0
4800,0.0,387146316.18302196,0.0
4900,0.0,387123969.99717796,0.0
5000,0.0,388929604.0187175,0.0
