miliseconds,Bone,HSC,Ob_m,Ob_p,Ob_p_Tgfb_A,Ob_pro,Ocl_m,Ocl_p,Ocl_p_RANKL,Ocy_A,Ocy_I,Ocy_I_PTH,MSC,LOAD,MCSF,Ob_m_PTH,Ob_p_PTH,OPG,OPG_RANKL,PTH,RANKL,Sost,Tgfb_A,Tgfb_I,Wnt_A,Wnt_I,X,newbone,Bax,Bax_Bcl2,Bcl2,CREB,CREB_P,CREB_Runx2,Runx2
0,2000.0,100.0,-2.3706741996008535e-11,-2.355975244250931e-07,1.9486552083983345e-10,-5.570146029354888e-05,2.279585513638898e-16,-2.9421088557712e-06,8.842164516359921e-12,-0.06835090948955003,1799.4233265171529,0.5164400361048723,100.0,0.0,5.000016927450549,9.561195607901711e-14,-1.1154532800232426e-11,5.43031648548785e-13,-4.409682471670663e-19,170.0828625578558,-4.859320629511038e-06,0.07850874928946537,5.0000106746665365,500.0,0.28910610280772764,200.11818326267573,-0.000750516301059764,2.286594271374251e-17,100.0,-1.8171277753107078e-33,-5.6588281278806814e-33,100.0,1.2323560849602838e-28,-2.145805907520057e-31,9.999936596462382
100,2000.0,100.0,-6.717802998610547e-12,2.1827885514886437e-07,-2.2709568554363843e-10,-0.00013338665797266855,6.840851774780769e-16,4.077529675063201e-06,-7.541127810485016e-12,0.008529185125471656,1798.5489738834563,1.568180604830785,100.0,0.0,5.000051620062337,-2.1784540873260154e-13,3.4958213328528736e-11,-1.8128142684009463e-13,2.369729680730824e-19,169.40591604540168,4.8503218347657615e-05,0.15401495599749024,4.999984636014538,500.0,0.5498688963428268,199.5664523504167,0.0014788085389182805,5.949101683097436e-17,100.0,-2.1263943524890283e-34,-8.510701683772588e-34,100.0,3.8286303933829407e-29,-1.455831025659999e-30,10.000171981021262
200,2000.0,100.0,-1.4433932574749655e-11,7.457312230541612e-08,-1.0672223718830004e-10,-0.00015974803831679714,-1.5809437039932235e-16,7.188911920042571e-06,2.7225923057618425e-13,0.0758549619944627,1797.6598339318202,1.6608069085927377,100.0,0.0,5.000101530103436,-5.3962928694390603e-14,4.239396289141385e-11,-2.8823588873550697e-13,-4.0095085474272948e-19,167.2550974491894,3.983273934915023e-05,0.3657135074531505,4.99996058778023,500.0,0.9777780566944383,198.65952527860443,0.0023448651644204775,5.064638636447853e-17,100.0,-7.339602604865962e-34,-1.1692023987910489e-33,100.0,1.5900056584801376e-28,-5.4659413546870025e-30,10.00106459999292
300,2000.0,100.0,-1.0476347584247648e-11,-1.2438849285276757e-07,1.7561214929075426e-10,-0.0002835657664325359,5.334134314153726e-16,1.532510461912534e-05,-4.519010629183776e-12,-0.020936310079310655,1796.869660236477,3.2214626504928905,100.0,0.0,5.000156162816697,1.8543046967210963e-13,5.671584937463254e-12,1.8675091533069534e-13,-4.4492658309713285e-20,167.28082527105272,0.00010047786453681308,0.42919580218390346,4.999929968304868,500.0,2.0255518809158177,198.49963102893486,0.004084263600391245,3.537311139674285e-17,100.0,-6.849771370969532e-34,5.256423594272221e-33,100.0,2.4822894125648515e-29,1.388192240071296e-30,10.000925200722344
400,2000.0,100.0,7.986652003481937e-12,2.1317008472325034e-07,1.7412460959943394e-10,-0.00016635255986946915,7.497855832891632e-16,2.4934474730789143e-05,-6.543005310716587e-12,0.07894660848754376,1795.4090712598534,3.787542582251584,100.0,0.0,5.0001665022187085,-7.610331177495583e-14,1.3311365762499811e-11,1.8398507507930018e-14,3.899511809834172e-19,165.74045060921495,0.0001003851044290266,0.5954151738926388,4.999903710168208,500.0,2.2265662889189124,197.44591979602438,0.004847725667706527,-2.850046156903469e-17,100.0,-8.018168762280134e-34,-2.7426555747424505e-33,100.0,1.4999605604298747e-28,2.9800560802308692e-30,10.001814181343876
500,2000.0,100.0,2.616803807340649e-11,-1.1221212614642336e-07,-1.224206747456115e-10,0.00017176006049587314,1.843908280852563e-16,3.068084581963038e-05,-1.5114045290673454e-12,-0.01057515058466682,1794.17977741717,5.26339706975911,100.0,0.0,5.000250495675154,-1.199467435112808e-13,-1.936698302591136e-11,-8.168152892505758e-15,-3.221098447145121e-19,164.93172916941396,0.00014037120354389303,0.6658099462173658,4.999860842502038,500.0,3.1760701529247957,196.62560282820417,0.006073621405875146,2.818501470974603e-17,100.0,-8.114226722545473e-34,2.48272411775858e-34,100.0,1.7761343543982716e-29,-3.0086708539316034e-30,10.002078672062188
600,2000.0,100.0,-2.2115549019123666e-11,2.643246518103696e-07,2.162096942008867e-10,0.00014963860218279766,3.9715045972566447e-16,3.552693703019014e-05,4.964316872371195e-12,0.03949082668324398,1793.7389617787885,6.246152478033396,100.0,0.0,5.000332177855254,2.3464851035680847e-13,-4.241428439238409e-11,4.5352434653965127e-13,-5.017474100048273e-19,163.87721118163998,0.00015006323928642585,0.8253374571561002,4.999840934123025,500.0,3.5293746152899965,196.73995932744953,0.006696894682372413,1.8132816593761266e-17,100.0,1.2507514482969978e-33,-4.1975146921580856e-33,100.0,-4.7661223258279977e-29,-5.10751406472285e-30,10.002599878564105
700,2000.0,100.0,1.842919153759882e-11,-2.138539940776895e-07,5.323447175378876e-11,-0.000143041149616021,-2.0536700491706695e-16,3.5625334504948235e-05,8.074280811074566e-12,0.17719664679926017,1793.1814094834651,7.277154952913184,100.0,0.0,5.000346723754993,1.1336357374011096e-13,1.5305634300986523e-11,-1.9922988429273217e-13,-4.06539187424862e-19,162.14424367168448,0.00018739404653202277,0.9371630196109317,4.999818992490169,500.0,3.9690887514213182,195.87945268753467,0.00894134045459853,-1.8159791484403506e-17,100.0,6.959557897624857e-35,-6.530542002314952e-33,100.0,1.572766394497442e-28,-5.280345508785957e-30,10.002556083095303
800,2000.0,100.0,-2.261931972888071e-11,2.4000070314982603e-07,-2.4869331417526255e-10,0.00019140698230163205,4.884413622602938e-16,4.1628820149869685e-05,5.777283464738194e-12,0.2933425198110954,1790.9653254180125,7.767980333645147,100.0,0.0,5.000404209380888,1.9448547203214647e-13,9.215663821343673e-12,3.8771865661100897e-13,-1.7774518637567996e-19,161.63486953409384,0.0002132071434476712,1.0706749647141274,4.999781557774342,500.0,4.538330506382916,195.04254227404093,0.008411947333741255,-2.2703472807780736e-17,100.0,-2.872752863679502e-34,2.593926778373817e-33,100.0,1.6077587940093465e-28,-1.082741673868663e-30,10.003170017360196
900,2000.0,100.0,1.6180638090240803e-12,1.2156876715617524e-07,-2.2319340360236053e-10,-8.129997879859874e-05,4.64673067183026e-16,5.2973977460528075e-05,-3.090208330275723e-12,0.42001857071899285,1790.872932025365,8.682464556798775,100.0,0.0,5.000456429405089,-7.624505807355216e-14,-1.9092400535630338e-11,-5.138440381959087e-13,-1.6319712086306057e-19,160.03949659727198,0.0002555391228617191,1.1875962148080417,4.999769278280833,500.0,5.225288127277675,194.79230173519792,0.00973660918747274,1.5989614352322656e-17,100.0,6.998670840058842e-34,-8.331730693392444e-33,100.0,2.86274426980709e-29,6.171023892867441e-30,10.003345435245835
