milliseconds,v
0,2.274620498332606
100,5.88948613751668
200,6.815157186592723
300,11.112956864087474
400,12.262923879765014
500,16.104386264029213
600,18.82846713658493
700,25.448511798988537
800,27.72861869147012
900,29.02581921563364
1000,33.817060914896345
1100,39.538838113149346
1200,41.84551639582978
1300,45.6985590926206
1400,46.84256418808534
1500,52.662478036215894
1600,52.07996252275742
1700,54.93971166094859
1800,59.838215209767654
1900,63.70371409959474
2000,66.5360175914319
2100,68.73523061405531
2200,72.63795338936268
2300,77.05219772903877
2400,82.0712701866495
2500,83.27669713070178
2600,84.48446129256287
2700,88.10423874949358
2800,90.96793120605601
2900,98.29900212528298
3000,97.7469977689096
3100,102.87411922846024
3200,104.05331788873787
3300,108.04272553736357
3400,113.21419657743134
3500,117.28750035569918
3600,120.13573623621055
3700,120.68823015118129
3800,126.41927580807838
3900,127.14967662006043
4000,133.96721461956298
4100,134.5448073162317
4200,137.204415446942
4300,140.86006890987758
4400,144.0669518888718
4500,150.89258204711746
4600,150.3784529648942
4700,155.65888247462632
4800,158.8279814665958
4900,163.3657530924306
5000,166.38043414059211
