miliseconds,v
0,-0.6459284761533095
100,5.425990472334764
200,6.538224752750794
300,10.404439342425917
400,14.738801438397497
500,16.257507853365098
600,21.293783313730067
700,24.6574794881604
800,26.960852118835575
900,32.783985379841084
1000,33.841553179464476
1100,35.02588180527861
1200,39.86719702252026
1300,44.758575572148935
1400,47.42191491905592
1500,49.926288842593905
1600,51.90222631198104
1700,58.152833708814796
1800,59.70540416608406
1900,61.246704483483086
2000,67.16921087673579
2100,68.60012268025096
2200,75.65176793560367
2300,76.97639862194777
2400,81.85301163680246
2500,80.69974378033028
2600,85.14480917620016
2700,88.56422508286943
2800,91.4037352025412
2900,97.04065856448752
3000,100.12555190409661
3100,100.37002553353936
3200,106.48377137984183
3300,107.98161799685934
3400,114.73497264027647
3500,114.17232584190305
3600,118.35892369156478
3700,120.21554993936358
3800,127.64930818945882
3900,131.19524734233167
4000,130.7692262429571
4100,134.0046244052733
4200,139.31254827771156
4300,143.37117234835182
4400,145.3926679394482
4500,147.50576452910678
4600,153.52071059713543
4700,153.76050857248543
4800,159.25719963836312
4900,163.5610420583625
5000,163.03123875432502
