miliseconds,v
0,0.17155699850684203
100,3.215420228081567
200,6.422708243639873
300,10.843090685948377
400,15.339321678660179
500,15.461903968487645
600,19.544023367409597
700,23.93365064499484
800,26.14106515740535
900,28.54138851361132
1000,32.60336346598908
1100,38.756552884180266
1200,42.74288739255371
1300,45.38906999138917
1400,45.26651314867477
1500,51.141612206426
1600,51.225114922788464
1700,58.167668450814084
1800,61.02646667059773
1900,63.4617471316716
2000,65.27306827255039
2100,68.24087221550063
2200,72.5494013394586
2300,77.04296210164199
2400,79.98988700114214
2500,81.03503230374014
2600,85.50671054489047
2700,91.61186577519125
2800,92.30702788585462
2900,97.39919589342954
3000,98.91637433261256
3100,104.23251054372008
3200,107.60974430681732
3300,108.28477655440877
3400,113.0179355651666
3500,116.03492012000433
3600,119.74528166641231
3700,120.16044630444983
3800,126.50586466255868
3900,129.07644737321925
4000,131.3380451844086
4100,133.5340877140941
4200,140.31468790085847
4300,141.65534736322405
4400,143.79451576284814
4500,149.6133961727081
4600,154.38757817795812
4700,156.9213918564438
4800,156.2650210393555
4900,162.7985482973224
5000,163.59813625613913
