miliseconds,v
0,-0.9326834696200907
100,3.020234737620286
200,6.465216270634457
300,9.92518945263593
400,15.332171063219214
500,18.36186859755211
600,21.340116412000956
700,25.986446706367595
800,29.056575617466166
900,32.58346042889598
1000,32.93087134073776
1100,37.12839437106846
1200,41.16202595989162
1300,45.5940904944974
1400,44.82664425063172
1500,51.17724621956202
1600,55.80773335128684
1700,54.943548824174535
1800,58.708131356576835
1900,63.17876106661115
2000,68.59993554513737
2100,71.65456767906527
2200,74.02683381470894
2300,75.16526240480069
2400,80.4960963855611
2500,81.53497798493858
2600,86.19202930833951
2700,91.72902125167825
2800,94.76528967171147
2900,97.76562067009976
3000,100.04592240181907
3100,102.60687945423061
3200,103.752880060608
3300,109.0312489407106
3400,111.88653129925802
3500,117.91150789569787
3600,119.7732386973115
3700,122.45625491173683
3800,126.2517735202217
3900,128.88091644158922
4000,130.20143656041233
4100,135.40956949640636
4200,137.90638894543466
4300,143.58693237868232
4400,144.52059145956088
4500,149.7636051030366
4600,152.8278681499755
4700,155.01013087806706
4800,158.5819136146947
4900,159.6494550903518
5000,166.16892887235505
