miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,2.4959580730494153e-11,3.648684197757334e-14,9.999963476523557e-09,1.5528040572736716e-15,1.000011239462589e-10,1.782923527698605e-15,6.409673431461311e-16,-6.616934644819645e-16,1.6000000342622125e-07,-2.228548846986615e-16,8.999999928328316e-08,-1.6783944349129628e-16,1.4294137122947319e-15,1.400000000437268e-06,6.9999997157955e-10,-2.1142546431680205e-18,3.1975922078433594e-24,-7.544618741145253e-23,-4.4731347751125184e-20,-8.80263799411561e-19,2.000000047299406e-08,7.946428802119604e-16,-3.286589469644586e-19,2.560375599300543e-20,1.035211645475607e-17,2.5000006451502337e-09,-9.887589693345723e-17,4.2578224060196095e-16,3.3999999998022645e-06,-2.114111827527532e-16,1.3469794584625628e-18,8.648149832338695e-18,-5.638178015337893e-17,8.142152209097219e-19
100,2.494878193790295e-11,8.801722440103561e-14,9.999885441809373e-09,5.178559067300482e-15,9.999832856501345e-11,-1.2176576345999634e-14,4.983486959546626e-16,1.9472251458815268e-15,1.60000007177764e-07,4.938325748973291e-16,9.000000095974721e-08,4.675890946268382e-16,2.4641137761224716e-15,1.4000000003052086e-06,7.0000002382738e-10,6.096536632836951e-18,4.198609737333197e-23,-1.9077410950085716e-23,-8.793374678086769e-20,-7.160361917095034e-19,2.000000063560555e-08,-3.391250819564786e-17,4.677979546610468e-19,-1.2200857451405193e-19,2.792755938286731e-17,2.500000992202343e-09,-9.758845675048476e-17,1.0360500478304664e-17,3.400000000370378e-06,2.9649841906158396e-16,1.8430673322330664e-18,1.4108580041095946e-17,1.5384358516346711e-18,-4.331569493317216e-18
200,2.484353637865303e-11,1.6859123760077263e-13,9.99987560041149e-09,7.317638808230826e-15,9.999404862985897e-11,-1.254959221698009e-14,4.661956556830609e-16,1.9663279963859443e-15,1.599999692505178e-07,4.94788684874781e-16,8.999999654395867e-08,7.644629392318898e-16,2.9220932660968767e-15,1.4000000002774742e-06,6.999999753891354e-10,-2.1137965960137808e-17,3.2606994765439213e-24,-3.5414870418515456e-23,7.402243671789952e-19,-4.957949571178808e-19,1.9999999750566747e-08,-4.1050194506790185e-16,-3.093470886484411e-19,-3.8109633115241177e-19,-9.041508026670239e-17,2.500000398476185e-09,-9.133354122050597e-17,-1.227578821443008e-16,3.400000000040854e-06,3.240904353991481e-16,2.7952407148200135e-18,2.152410424677099e-18,-7.402984889065175e-17,-3.155281737857435e-18
300,2.4759589116502808e-11,2.7740692840183234e-13,9.999764061754774e-09,9.680210627199524e-15,9.998236212314876e-11,-3.9969485059312525e-15,-4.4204208097099503e-16,3.792058547992703e-15,1.599999719895973e-07,7.536176796392705e-16,8.99999966366648e-08,1.3378813336624145e-15,-2.9926287863486874e-16,1.4000000002715657e-06,6.999999730864389e-10,-2.4897757083215394e-17,-5.745816705844184e-23,9.939822899615227e-23,3.5040606423065024e-19,1.0001465116049617e-18,1.9999999824384865e-08,-6.518106468402128e-16,5.931073660865254e-19,-4.971973633350569e-19,4.262103212008586e-17,2.4999987353130915e-09,1.824117961745641e-16,2.3971730832738233e-16,3.3999999998785974e-06,-1.1206762594767031e-16,-1.2196415247903919e-19,-1.4621884075423015e-17,-4.6490168501012355e-17,-2.0173738235187493e-18
400,2.4696303819476008e-11,3.4783352383327604e-13,9.999713533337298e-09,1.29420547944967e-14,9.99864787326282e-11,1.5350135170213865e-15,-3.602654977310084e-16,4.533697254130925e-15,1.5999995740401326e-07,1.5492909328409617e-15,8.999999884697366e-08,1.5743262894749612e-15,-1.8656827966639556e-16,1.4000000003878747e-06,6.999999486668052e-10,8.65349663060081e-18,-4.0969765952939797e-23,1.1081796441275668e-22,9.527094518498762e-19,9.099511912830672e-19,2.0000000350726062e-08,-5.38788868459136e-16,1.030979724849623e-19,-9.284622593205398e-21,1.298794568585764e-16,2.499998672312358e-09,5.2941212823714805e-17,1.105063742684916e-15,3.4000000003173494e-06,2.926285381685658e-16,-7.967537629672151e-18,3.5058739057921626e-18,-1.5656908225955972e-17,6.225563745391772e-18
500,2.4537533491858634e-11,3.5932586141745845e-13,9.999599674551668e-09,1.5571391806237396e-14,9.999008062961138e-11,5.805152303448411e-14,1.0805821856629819e-15,5.623486418649927e-15,1.5999996653981347e-07,1.911036865862342e-15,8.999999286850544e-08,1.9526467526372216e-15,3.324149514297045e-15,1.3999999995798288e-06,6.999999832490178e-10,1.9039059626982197e-17,1.1503152216307674e-22,3.7328555269684253e-23,6.377381184554433e-20,1.915076483806146e-18,1.9999998705550877e-08,3.1413092656628497e-16,3.0757907143711634e-19,6.827741572917017e-19,2.0901863960968116e-16,2.4999980468489872e-09,3.7131078944611844e-16,1.6202112684317681e-15,3.399999999259182e-06,9.768043261882235e-16,1.6626310181619132e-18,2.346056945270395e-17,7.134634009406317e-17,9.569141326147287e-18
600,2.454997926586602e-11,4.88452436629316e-13,9.999492523256357e-09,1.7485344180552574e-14,9.99934883352386e-11,8.255621247445026e-14,2.1853604949894565e-15,7.327417202113456e-15,1.59999936397162e-07,2.3560790182318132e-15,8.999999050264812e-08,2.847421794549257e-15,8.627670592230304e-15,1.3999999980545503e-06,6.999999148336682e-10,1.104773908261652e-16,8.135411664555365e-23,2.51871430226508e-22,2.0318435718888136e-18,1.0658521240511374e-18,1.9999996537139166e-08,3.592100605926855e-15,1.3935930676729657e-18,1.3320260275366331e-18,1.7962816760966129e-16,2.4999963516204312e-09,5.242875946220115e-16,3.4172712056820884e-15,3.399999998245321e-06,1.2051892470496891e-15,2.7437340606353482e-17,3.481563618229623e-17,1.5788726576105473e-16,1.6870507388913465e-17
700,2.4414629960135045e-11,5.675031445662203e-13,9.999468602153061e-09,1.8002149719360215e-14,1.0000429187993277e-10,7.343011648325781e-14,2.5752498568067153e-15,9.088030332210813e-15,1.5999988990995317e-07,2.6138525380620752e-15,8.999998346004549e-08,3.039681352983578e-15,1.2679240353684339e-14,1.3999999975326419e-06,6.999998226274736e-10,1.545376625970809e-16,1.7307017401917502e-22,4.353676246121284e-22,2.338913431460102e-18,2.855386992246383e-18,1.9999995386808586e-08,2.6434054048021357e-15,2.2650918471145766e-18,1.370279133892291e-18,2.7315796804536356e-16,2.499995414531128e-09,6.008694667092296e-16,4.2373312672112484e-15,3.399999998625993e-06,1.3848768035733026e-15,2.843780527291543e-17,6.006557283282492e-17,2.9525079204019504e-16,2.9675865237407684e-17
800,2.436812324099817e-11,6.204039230876485e-13,9.999345756510706e-09,2.21111354814607e-14,1.0001237367438809e-10,1.3355233478646024e-13,3.490109113546395e-15,9.226141008704243e-15,1.599998699458884e-07,2.748603281815654e-15,8.99999851946907e-08,3.5173637277593654e-15,1.1489603983244893e-14,1.3999999947094408e-06,6.999998681730566e-10,2.148899894277598e-16,2.7426647647731077e-22,4.419768992772403e-22,4.160058803477274e-18,3.3576172759167784e-18,1.9999996057380238e-08,5.877934912789199e-15,3.1516144900168128e-18,2.4442736623735405e-18,4.079576484291036e-16,2.4999935618863013e-09,7.283602144752278e-16,4.859712452670145e-15,3.399999997598462e-06,2.053247993335116e-15,4.6034361243777524e-17,6.20710763899594e-17,3.1238076485708293e-16,3.452901106129551e-17
900,2.424076941755141e-11,6.144433441906816e-13,9.999248724853853e-09,2.4534623904948418e-14,1.0001503212370064e-10,1.6176060531755016e-13,4.7169046163074736e-15,1.1057147037515213e-14,1.5999983453520913e-07,3.4051537468164976e-15,8.999997914849251e-08,3.958335792046018e-15,1.8570965411817846e-14,1.3999999944634608e-06,6.999997824026672e-10,1.998321598981809e-16,3.220099776075812e-22,4.974944945658636e-22,3.866420396512431e-18,5.339791403023637e-18,1.9999994115231115e-08,5.153285744225145e-15,3.513785037309765e-18,2.699138745700463e-18,4.668177979189505e-16,2.4999929489070333e-09,8.766725565854941e-16,5.941265457852627e-15,3.3999999966035136e-06,2.2582323118461455e-15,3.5231974749793736e-17,8.491874829135054e-17,3.0043041183222634e-16,3.6007749482461304e-17
