miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,2.4992598919468604e-11,3.531625502050064e-14,9.999963545469458e-09,-5.981634555981287e-16,9.9999693560116e-11,1.218714155825014e-15,-5.304463478358145e-16,-7.907365422072647e-16,1.6000002041785593e-07,2.0669615298335972e-17,9.000000273611014e-08,1.6833616982291137e-16,6.069339298260395e-16,1.3999999994712718e-06,7.000000092456092e-10,4.246048102520312e-17,-3.797933694397348e-23,-2.435335068505082e-23,2.1852883343821893e-19,2.925668366776972e-19,2.000000083444034e-08,3.8923915773442406e-16,5.170912379196377e-19,-1.4565942877137435e-19,-8.009361873600488e-17,2.4999995596420952e-09,6.813059568871256e-17,8.511841026221527e-16,3.400000000362288e-06,-3.21878117271169e-16,6.686549761998388e-19,5.264398362587594e-18,-5.257865648469117e-17,2.98437236884592e-18
100,2.4896118740721667e-11,1.1794468831300366e-13,9.999931521932457e-09,4.5327176008097946e-15,9.999900860947879e-11,8.10179022260942e-16,1.858499486851517e-16,1.0127390442170233e-15,1.600000171431967e-07,4.926377353001186e-16,8.999999756043583e-08,1.0780806598610584e-16,-1.986035988028472e-15,1.39999999987711e-06,6.999999880468442e-10,-3.879506703515668e-18,4.110854859799122e-24,3.8456622331917427e-23,-2.278897015163897e-19,6.127162745327289e-19,1.9999998750576676e-08,-1.24513213294888e-15,-5.924628712132555e-19,-2.4167447181203744e-19,1.293811042768772e-17,2.5000000629313613e-09,-4.71931627713962e-18,6.594980214680752e-16,3.3999999996480994e-06,-2.735191104980566e-16,1.0054268997155154e-17,2.837109217455486e-18,-2.1061432137086147e-17,1.8255615739117533e-18
200,2.4855149940458118e-11,1.5518142027262015e-13,9.999875690278572e-09,6.175351954524984e-15,9.99863299436749e-11,1.5974456876708708e-14,-4.13693793952764e-16,2.6632722238043334e-15,1.5999996914210362e-07,8.308934585541619e-16,8.99999966928836e-08,8.411714240022763e-16,1.632797374314112e-15,1.3999999993028247e-06,7.000000283337757e-10,-2.46119643764359e-17,2.3114823550495117e-23,1.986093294550591e-23,-8.421148470727397e-19,9.178928426429145e-19,2.0000000421982964e-08,9.748765660809615e-16,-4.80260380321638e-19,3.2977507759964337e-19,8.681884351591595e-17,2.4999993862882425e-09,-1.5764238714956696e-16,-3.086667452250032e-16,3.399999999674705e-06,4.369066794930594e-17,1.0883723592461216e-18,-5.31903091007024e-18,5.39711432501625e-18,-2.3252054405234424e-18
300,2.478520037236147e-11,1.933420201913479e-13,9.99979763857655e-09,8.854154690349418e-15,9.997954976224677e-11,1.921546441605398e-14,8.41772562966239e-17,4.555432620016909e-15,1.5999999700777366e-07,1.1046756714990694e-15,8.999999982413292e-08,1.2881497644077935e-15,-4.841006902427012e-16,1.400000000241168e-06,7.000000366708526e-10,3.334384515352776e-18,-2.6093044428580794e-23,3.904267431432141e-23,-7.446304851262159e-19,2.691076017289857e-19,2.0000000681130808e-08,-4.0391510282096404e-16,-2.5160272536248305e-19,-3.2621035139077736e-19,3.251888683299354e-17,2.5000006605426054e-09,5.73782152976725e-17,6.484703013212409e-16,3.3999999995704497e-06,-5.436805724151471e-17,1.1204552580462348e-17,8.070064608029143e-18,-8.291413365717994e-18,3.246952469268964e-18
400,2.4651104514843783e-11,2.9217674055098057e-13,9.999680163044403e-09,1.174236028802018e-14,9.997934170730264e-11,-1.4233912290262571e-15,7.748616047038799e-16,4.371396262800219e-15,1.5999999046368984e-07,1.5119933100642686e-15,8.999999788460857e-08,1.3713526827515677e-15,4.200297351195198e-16,1.4000000001895507e-06,7.000000139966661e-10,-2.879448719930686e-17,2.459236583374354e-23,6.567857757736288e-23,8.319701710330677e-19,5.504323886674167e-19,1.9999999894287658e-08,1.2669601946172874e-15,-2.0866657398424582e-19,-3.3533130452436047e-19,8.879838684928346e-17,2.4999986387960975e-09,-9.736234999234259e-17,8.18847673321805e-16,3.400000000051974e-06,5.002652730733049e-16,7.95141721788082e-18,-8.81560438429569e-18,-5.62026581664037e-17,7.353691518963447e-18
500,2.4574300620766117e-11,3.468798122919747e-13,9.999638362403108e-09,1.3322966495013362e-14,9.999000073950347e-11,2.0282064129264055e-14,3.504034265288594e-16,6.976245001599161e-15,1.5999995690346438e-07,1.9815547854775002e-15,8.999999095221268e-08,2.045146743690634e-15,2.7295434866233905e-15,1.3999999987709547e-06,6.999999845041334e-10,7.27414651301239e-17,6.894821798608303e-23,5.416084673071332e-23,1.551087231130705e-18,1.203067900451137e-18,1.999999963803745e-08,1.5623664282279942e-15,1.2570398836296059e-18,5.240282446509661e-19,1.3127497180555717e-17,2.4999980593768738e-09,3.0001537071051557e-16,2.5791355171018713e-15,3.3999999993753166e-06,2.995583681063455e-16,1.1738163145332892e-17,2.9730044588457376e-17,6.049571265671621e-17,1.0328892664513619e-17
600,2.4556654255258416e-11,5.011354854897431e-13,9.999524590513386e-09,1.6836263551825853e-14,9.999661877187597e-11,5.2491113472382457e-14,2.528937682332053e-15,8.352265076561812e-15,1.5999990255243925e-07,1.970709725823171e-15,8.999999178232742e-08,2.5765732543966293e-15,8.897917545096948e-15,1.3999999976742802e-06,6.999999230185685e-10,1.1614604116635222e-16,9.83818688571158e-23,1.7974707756241703e-22,1.6466895845123601e-18,2.0055457523261184e-18,1.9999997955943785e-08,1.5098040273293365e-15,1.843723798529557e-18,9.022603454443061e-19,1.3072848824697356e-16,2.4999962316508912e-09,2.8067552404506413e-16,3.0648739895315035e-15,3.399999999045204e-06,9.526485384286903e-16,8.748600501331182e-18,2.5372433489932558e-17,1.5054356414028945e-16,1.711991700557796e-17
700,2.445410980028213e-11,5.575788016515611e-13,9.999394733388706e-09,1.7643763818780508e-14,9.999708139738649e-11,1.034825591795586e-13,3.1539441257425463e-15,8.791367646832149e-15,1.5999989928136617e-07,2.506533100978582e-15,8.999998336807277e-08,2.7733879685495343e-15,8.412347169696564e-15,1.39999999590148e-06,6.999998607493872e-10,9.048495645923943e-17,1.3831237091178954e-22,3.139662694306119e-22,3.1475257618392928e-18,2.0508002184814344e-18,1.9999995243844112e-08,3.2509815825431203e-15,2.4420033318328467e-18,1.4436258376188596e-18,4.1892570932855174e-16,2.4999943663856906e-09,7.663210687332223e-16,3.158572003997038e-15,3.3999999978937442e-06,1.7541897958368038e-15,1.616085362181869e-17,5.50461388842824e-17,1.6889733629708023e-16,2.5701980334467044e-17
800,2.4330966608979957e-11,5.679190696237492e-13,9.999389553744974e-09,1.990067682804142e-14,1.0001103467094198e-10,1.2311790444306458e-13,3.0122249707958523e-15,9.370943856647361e-15,1.5999985263734832e-07,2.6565610089280147e-15,8.999998247859682e-08,3.4947783072114188e-15,1.2793861702830246e-14,1.3999999954463832e-06,6.999998580425505e-10,1.56423498830302e-16,2.325745164345907e-22,4.0203249036870463e-22,4.12371618830409e-18,3.006706723633509e-18,1.9999994055606355e-08,5.745647353442058e-15,2.6236733417254424e-18,2.222597783742951e-18,5.298667853691866e-16,2.4999938580662755e-09,7.637057499122308e-16,5.337356557758855e-15,3.3999999973433913e-06,1.7484452545292476e-15,2.7221733691284575e-17,6.242391524235651e-17,2.767071017340578e-16,3.621024736660709e-17
900,2.4315205702479323e-11,6.899701219708945e-13,9.999326808622381e-09,2.207809799569698e-14,1.000172930479109e-10,1.3993603844884805e-13,4.641471828016942e-15,1.0605023394907188e-14,1.599998385482236e-07,2.980086667024924e-15,8.999997991296282e-08,3.729290237964105e-15,1.5235315439954566e-14,1.3999999953833153e-06,6.99999745250247e-10,2.5270492315212315e-16,3.3631326930116257e-22,4.62265156858023e-22,3.700667171373752e-18,3.971807980803733e-18,1.999999427588793e-08,5.424116719746178e-15,2.9627170710742427e-18,3.024801945028611e-18,5.635889373943871e-16,2.4999920685568524e-09,1.1358974637393055e-15,5.7298579233642685e-15,3.399999997034072e-06,2.6370621352117957e-15,3.709111794397252e-17,8.183393489026281e-17,4.066970065295512e-16,4.285647160285865e-17
