miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,2.504138477252263e-11,-4.2389931007888864e-14,1.0000033604331792e-08,1.2561116217934371e-15,1.000037352670121e-10,1.5389568928089898e-14,-2.569885287814579e-16,-3.9320884807816606e-16,1.5999999296627107e-07,1.9163978054429057e-17,8.999999837983467e-08,-1.2046654349846694e-16,9.487409151999997e-16,1.4000000002434827e-06,7.000000369867914e-10,3.788086912493613e-17,1.6919606373306223e-23,3.421485289970397e-23,7.631619420296557e-19,2.8840580262681094e-19,2.0000001144503914e-08,4.091698961192278e-16,1.9273111347815537e-19,2.0311613093774243e-19,1.9993776878022296e-17,2.499998965588455e-09,6.584454257891465e-17,5.090298293837491e-16,3.3999999997451698e-06,9.339798638427533e-17,1.0254771757582876e-17,-6.778620567228336e-18,4.457977577113488e-17,-2.7912628044817917e-18
100,2.4863745445057732e-11,9.797007534331502e-14,9.99990813633566e-09,4.070489891330892e-15,9.999817445463234e-11,2.1958296092969927e-14,6.94678960423531e-16,1.79990838714508e-15,1.6000000667185536e-07,3.542092675505162e-16,8.999999907999892e-08,2.899074377144471e-16,2.3150564341568714e-16,1.3999999990239497e-06,6.999999583031355e-10,-4.053487702711256e-18,5.200043505386754e-23,9.733708353618935e-23,6.938794018711453e-19,-6.169950684840539e-19,1.999999901785392e-08,-8.025903320340882e-16,-3.241611015693519e-19,2.957725432591228e-19,-5.3915288098284955e-17,2.5000002149629165e-09,-1.7386306431312108e-16,2.2631287250542874e-16,3.3999999999062564e-06,-2.609032178119838e-16,1.332549191856974e-18,1.567515076192751e-19,5.372190262289276e-19,7.698976818233149e-19
200,2.4882105466075736e-11,1.310659994609947e-13,9.999862410322626e-09,5.173507251340284e-15,9.998794750136912e-11,7.435461205884837e-15,6.541268891441425e-16,3.077517944801566e-15,1.5999998098332392e-07,6.237225467350922e-16,8.999999977479593e-08,1.0073998242063858e-15,2.047298665244158e-15,1.3999999997898307e-06,6.999999847434813e-10,-8.867538857663221e-18,-1.9462283331189015e-23,8.307174846610588e-23,-6.940767064074777e-19,-6.858483900840553e-19,1.9999999248304112e-08,1.2319356430894864e-15,2.2880773009611266e-19,-3.150721243480371e-19,8.256059628129217e-18,2.5000001064289136e-09,-5.001241007512306e-17,-4.429760403422613e-16,3.4000000000896932e-06,-3.3504467902993135e-16,-9.623413684449212e-18,-1.5960710288132472e-18,-6.258678567385824e-17,5.209114146688234e-18
300,2.4782558782853946e-11,2.0844100243312662e-13,9.999710016868263e-09,1.0092718412672761e-14,9.998878851916252e-11,-8.706824971748877e-15,-6.085285688877494e-16,4.117876709338985e-15,1.5999996803480656e-07,9.51119265331991e-16,8.999999880042758e-08,1.107977436658405e-15,1.1682817326353806e-15,1.3999999995070592e-06,6.999999804927364e-10,4.1407042001460566e-17,2.1156729721200477e-23,-7.127406477611656e-23,1.7938069004393405e-19,1.6764429733919868e-19,1.9999999950585736e-08,-1.260463862766597e-15,3.0274621340970105e-19,-2.018282025383355e-19,8.95354284192694e-17,2.4999988549996447e-09,-6.0772145586078e-17,9.601123063438773e-16,3.399999999809285e-06,3.520602473163447e-16,1.0703930280673623e-20,-1.3553867141722713e-17,-2.7420805730629588e-17,5.982066235985505e-19
400,2.4652437352850393e-11,3.094408244643334e-13,9.999672770659677e-09,1.1168974200950079e-14,9.997762274467088e-11,1.8275971696473752e-14,-2.0928008467313805e-17,5.566413349211542e-15,1.5999997466826335e-07,1.3104594124742838e-15,8.999999494093682e-08,1.4068660020025043e-15,2.336629415108276e-15,1.400000000724058e-06,7.000000343673937e-10,2.849942474618633e-17,6.97498552789858e-23,5.127504119263413e-23,7.29541683611276e-19,-5.68834761206943e-19,1.999999890863602e-08,2.8226297181464014e-16,6.012503694673429e-19,-4.335749791433809e-20,7.502746157449119e-17,2.499998918036239e-09,-2.788020419399734e-17,7.307321057710847e-16,3.399999999463715e-06,8.931375029207907e-17,5.03569923351763e-18,-1.1450336704087573e-17,2.3116116317781502e-18,5.6806430667598195e-18
500,2.464082371920629e-11,3.433185262398559e-13,9.999589257950224e-09,1.4739428359147507e-14,9.999158731874587e-11,2.380587277139229e-14,4.489465252988105e-16,6.925978994820625e-15,1.599999372710679e-07,1.722403598856978e-15,8.999999404514466e-08,2.086133603021575e-15,6.31573149994199e-15,1.399999999149589e-06,6.999999834789818e-10,3.8356415798505975e-17,8.73424590337827e-23,1.8521749304241725e-22,1.3127309033058566e-18,1.8202663983595314e-18,1.999999960635652e-08,2.5120937502683984e-15,8.25726814061356e-19,9.167298084669476e-19,1.717900803500024e-16,2.4999989485597463e-09,4.368918901504009e-16,1.842807866920625e-15,3.399999999511936e-06,4.0543985942337725e-16,3.565450931560104e-18,2.780200735369596e-17,2.2227580396156885e-17,7.465639230173899e-18
600,2.4568378415058635e-11,4.27933275306584e-13,9.99955565139278e-09,1.6083139028594026e-14,9.999976886904064e-11,6.002205130130779e-14,1.2845169756089118e-15,7.099666185420663e-15,1.59999929462518e-07,2.184054750964169e-15,8.999998929341942e-08,2.2372572480290946e-15,5.989347070287558e-15,1.3999999982973273e-06,6.999999517255452e-10,1.224535300311422e-16,1.6691140535065677e-22,2.5401605065602235e-22,9.66232263998775e-19,2.7945498138366914e-18,1.9999996741935828e-08,2.7002551829211775e-15,1.1875674517524094e-18,1.4642694469409715e-18,2.2116231618763725e-16,2.4999960062544235e-09,5.424630903814211e-16,2.841839465368855e-15,3.399999998988301e-06,1.387432982545347e-15,2.984620682588992e-17,4.263677494670213e-17,2.188534142559659e-16,2.2411627385325003e-17
700,2.44729399325486e-11,5.421861016253839e-13,9.999476958754557e-09,2.0030225821542915e-14,1.0000508878965204e-10,1.0082890760802102e-13,2.539258844347596e-15,9.462365330065763e-15,1.59999911123455e-07,2.3883129991290354e-15,8.999998400764323e-08,2.666128443011994e-15,1.1287351318376094e-14,1.3999999967972834e-06,6.999998457501746e-10,1.3366692666348055e-16,2.008995418621125e-22,3.8791283069937275e-22,3.3029044966395616e-18,1.8894677445265562e-18,1.999999729098722e-08,4.6752014468190474e-15,1.63171102153277e-18,2.1330730453044254e-18,4.169450669381901e-16,2.499994681555651e-09,5.771351279934483e-16,4.161591703374143e-15,3.399999997901742e-06,1.3069528788335717e-15,2.630970994761466e-17,6.9130330061227e-17,2.939596938533174e-16,2.90847565822659e-17
800,2.438838315115428e-11,5.79668983961719e-13,9.999415360647106e-09,2.2357243829622645e-14,1.0000916741086241e-10,1.219681636406855e-13,3.129660304057941e-15,1.0824472569869733e-14,1.5999983945084917e-07,2.7670799668235928e-15,8.999998275464084e-08,3.6807264477450324e-15,1.2079276569891066e-14,1.3999999961996824e-06,6.999998482544713e-10,1.854116846510788e-16,2.761469681236305e-22,3.8400618747489446e-22,2.5496725779108034e-18,2.962005250122659e-18,1.9999994293962796e-08,4.577805292891197e-15,2.4345631393136737e-18,2.0229921133896474e-18,3.9922152724236654e-16,2.499993648600724e-09,1.011826908863968e-15,5.254390098424987e-15,3.3999999974345994e-06,1.8363912732853047e-15,3.3919942656116475e-17,6.021082088930919e-17,2.919787200659874e-16,2.6339666802730685e-17
900,2.4244288202891835e-11,6.929494136348433e-13,9.999273181271096e-09,2.2846293702364052e-14,1.0001793702670441e-10,1.6075970719461665e-13,3.9844977079442975e-15,1.1066219170153427e-14,1.599998308295811e-07,3.1029960282520827e-15,8.999997844161034e-08,4.226632350202291e-15,1.7231747980004453e-14,1.3999999953309843e-06,6.999997569726012e-10,1.7531968460438065e-16,2.289419802914031e-22,5.175291090692921e-22,3.599619655607356e-18,3.6588413199021115e-18,1.9999993342656182e-08,6.9959905885556495e-15,3.684425387564185e-18,2.7414938458261678e-18,4.655086247084082e-16,2.4999922876735635e-09,9.076731258850028e-16,5.800118337159697e-15,3.399999996693082e-06,2.058724723716049e-15,3.5273711213678165e-17,9.60564041999577e-17,3.040998090123132e-16,3.869590869358836e-17
