miliseconds,sGCfast,NO_sGCfast,NO_sGCfast_6coord,NO_sGCfast_5coord,sGCslow,NO_sGCslow,NO_sGCslow_6coord,NO_sGCslow_6coord_NO_int,NO_sGCslow_5coord,NO_sGC_5coord_tot,sGC_inact_tot
0,0.11263013620807438,1.0411587503201292e-11,2.676030073844171e-06,5.798412974838268e-05,0.2875051218807502,2.880579491169542e-11,-0.0013194316040671685,-0.00017738774631182713,-0.0005568062310386075,-0.0009451935849302947,0.3984207677004418
100,-0.00044857191795316697,2.1898809414282125e-09,0.01812243622388418,0.09333792313828938,-0.001767109811525772,5.6403894195035734e-09,0.26261054749262747,0.02284007897912623,0.003153315135110032,0.09541023578692297,0.3060941403602703
200,-8.522087848615639e-05,1.1743244241850533e-11,0.003330783688062268,0.10866618609909053,0.0007322637323084934,-3.0896515503477157e-11,0.25917091962704986,0.024276527098204104,0.007498082974015537,0.11261439907306658,0.2855968436152902
300,-0.0002714444745606238,-1.467262144327272e-11,0.0015263742454734326,0.11084454343048679,-0.001348220086795754,3.3275177196798115e-11,0.2529804310073576,0.024089971384025778,0.009585142483857938,0.12143427803180674,0.2800666834495709
400,0.00013859733746753996,-6.300145623392e-12,0.001196695032733073,0.11141487886331847,-0.0011490229042756639,-1.0412438320818236e-11,0.25153877518217826,0.02354524311076792,0.015343177597343997,0.12358553400098653,0.2731567562762148
500,-0.0006297485089892278,-1.205586103092467e-11,0.0011430430075232445,0.11119836749870267,-0.00014973064902296988,3.5792444585214265e-11,0.24867634120494697,0.023433092114359125,0.018241303373835772,0.1305348684548149,0.2730422841055331
600,0.000584842964515567,7.2476682388115394e-12,0.0011384553637280278,0.11053780781853692,-0.00028922457640548067,-2.4851017050496516e-11,0.24517993884735964,0.023102612960710835,0.022782647191984744,0.13272175634792904,0.2673316044174632
700,0.00021064538972255262,-4.0662307883693215e-13,0.0011750428253913064,0.11082254151544152,-0.0016153312573426541,3.055605206286642e-11,0.2395772188767244,0.022558464487356013,0.02639570576189911,0.13637409097124437,0.26474425448296324
800,0.0004730881916596672,-6.635713810375871e-12,0.0012237092591239295,0.11090813121538878,0.001249024922016389,6.213458120895583e-12,0.23736958370605019,0.02253544429760882,0.0264193207600135,0.140905632659243,0.2618400531678714
900,0.0004557242659901141,4.9696468463456176e-12,0.0010625312712937616,0.11144020505809706,0.0013852594851881733,-1.0625331537573107e-11,0.2357574542074053,0.02223033365096165,0.030297747805177175,0.14339256883190327,0.2548559366700086
1000,-0.0003597410009822398,1.0296876552874182e-11,0.001193218207999148,0.11060021510385032,0.0009963332941944083,-2.6013135524079282e-11,0.23272446751753156,0.02164597742720507,0.035439958248272174,0.14579287198879565,0.2518017641072855
1100,-0.00027799887588778407,1.3475517106760223e-11,0.0010636306289371338,0.11122728662030552,-0.0016727151030004304,-3.368430744210695e-11,0.2292690388506143,0.021591196360524752,0.0385697881443537,0.1503861593858535,0.24842915319004163
1200,-0.000686222778455785,-1.2899912293653833e-11,0.0010890391279839446,0.11128948179161322,-0.001296048674797484,-3.460166241960645e-11,0.2260745824259139,0.021307873231370414,0.043086542355818123,0.15398095131740747,0.24695185104354703
1300,-0.00034491687123743963,9.206942161617792e-12,0.0011645179182448882,0.11110219594774257,0.0002310863593336211,9.93650945595832e-12,0.2218628427031674,0.020970200404484583,0.04441608305636161,0.15549399530268115,0.2438128496780449
1400,-0.0006322045710728217,-1.0125772092937969e-11,0.0010146737789192373,0.11071464317660835,0.0004198099509329288,-1.5881506174664923e-11,0.21835220192337332,0.020518456220559752,0.049859681156010326,0.1599249905875813,0.23850796266065505
