miliseconds,sGCfast,NO_sGCfast,NO_sGCfast_6coord,NO_sGCfast_5coord,sGCslow,NO_sGCslow,NO_sGCslow_6coord,NO_sGCslow_6coord_NO_int,NO_sGCslow_5coord,NO_sGC_5coord_tot,sGC_inact_tot
0,0.11276649632578639,1.6935582823696767e-12,-4.10664386483609e-05,-0.0002049525431283025,0.2895458892187261,-3.10622533689926e-11,0.0009437299792299585,0.00011704995077422,0.0020243567683052343,-0.001769494889296151,0.3976796889162097
100,0.0006513933112787104,2.1996773929238657e-09,0.018209139423002584,0.09401632733637107,-0.0018241000733378672,5.6043447085416746e-09,0.2635025378396328,0.022775587511375914,0.0018707467438827024,0.0971065985086659,0.30324553118806546
200,-0.00015419939269422156,-8.944840056836014e-12,0.003326383214192973,0.10883604595601344,-0.0017730156577155309,-3.811881210309313e-11,0.2561300145251125,0.024208451215600377,0.007535423250511584,0.11385574224270564,0.2834467130429933
300,-3.826931591786309e-05,-3.9128696269053046e-12,0.0014144980435842878,0.11075520454615968,0.0004372925093830186,2.4121701924876352e-11,0.25575698230515614,0.024099745368023402,0.008407376305009966,0.11827940634576649,0.2792166655656739
400,-0.000714702085664736,-1.2187080503287297e-11,0.0010698363034685706,0.11138923753799523,0.0012273303717855843,3.1790203008237238e-12,0.24913931567496117,0.02387578762127277,0.012870163493436374,0.1268754932482278,0.27628691502429054
500,-0.00045777483929143793,-2.733978371066192e-12,0.0010680392795396577,0.11096301341208821,-0.0009666361063076397,3.876564145602935e-12,0.24855778099605483,0.02338032408263114,0.015736971190303553,0.13007309440324782,0.27364402865004905
600,4.152187080712074e-05,4.5641344404059945e-12,0.0011150323408339968,0.11088070087597832,-0.0015900347406306355,3.253949809254e-11,0.2449711126352633,0.023139755389821774,0.020257008944184838,0.13352956377742387,0.2660991576567559
700,0.0005043909747486711,4.3769018140415915e-12,0.0010031276282607283,0.11092533641766322,-0.0012674972937835366,5.979316381637405e-13,0.24042434492040982,0.02292856298594323,0.0259276590224473,0.13507015402286923,0.2658200518047075
800,-0.0004956010733383726,-4.782997359217738e-12,0.0012090377604008855,0.1109962389419146,0.001644987425033469,3.32758323208675e-11,0.23804641122006232,0.022507358126726072,0.02755069871060548,0.14075554253886907,0.26031068576210253
900,-0.00028998785001454124,-1.2100792031488658e-11,0.0011705460060518135,0.11111332520164378,0.0010490442315556191,-3.0901448477797785e-11,0.23454084038122228,0.022302333016981687,0.03177905412499688,0.14057819370019867,0.2568985782996881
1000,-0.0005284757969233914,9.673781163852326e-12,0.0010538113264981796,0.11094752216469282,0.0005538500098326318,-2.047720736110104e-11,0.22921010528282876,0.021927590182792216,0.035314826236719284,0.14651697033461086,0.2528538610470438
1100,0.00010156813838388743,-1.1265469858939115e-11,0.0010001189970222503,0.11133515546998661,0.0005494543521952719,1.547412232431428e-11,0.22633266276858396,0.02147609011888916,0.038032622375399894,0.1496580128434093,0.2488000494526401
1200,0.000734040147515736,5.379895253173102e-12,0.0010705427731132321,0.1105458631521355,-0.0004719970775889537,2.8404115659965206e-13,0.22363608428009973,0.02117720806731746,0.043473756357419076,0.15194257368649822,0.24679575310686452
