milliseconds,T,N,L,R,C,I,S
0,4681641943.890351,249998547.58463615,526703.5402716678,351993997.1122209,2140000000.0,1176.7351987431632,0.0
100,4584524459.772161,249997585.7151855,559647.9556342444,351998192.62332356,2140000000.0,881.253305074894,0.0
200,4554005848.51536,249995094.64657784,593737.5964891696,351991839.11424285,2140000000.0,762.1011857893188,0.0
300,4511584609.186266,249993006.99200597,611711.7730929597,351978388.224551,2140000000.0,703.7935703717508,0.0
400,4425669200.074533,249990729.59611273,620285.17859023,351971550.74913377,2140000000.0,679.0668911575024,0.0
500,4384343674.728015,249989036.42786583,623115.0137344383,351968039.8311962,2140000000.0,662.2980861943945,0.0
600,4351178820.8056,249983752.6322133,622221.9244132765,351963448.6689157,2140000000.0,658.8634683219692,0.0
700,4303556017.887704,249983520.18934622,622806.2079060387,351956398.3516559,2140000000.0,650.0720243831179,0.0
800,4274167293.1273956,249979720.55251646,621916.2225073276,351947375.25668967,2140000000.0,641.5361786847201,0.0
900,4217117705.081955,249975750.36592135,620555.5301939211,351935659.7350293,2140000000.0,640.4774067192653,0.0
1000,4173101581.2511106,249973666.67315504,618965.4787567421,351919995.2408675,2140000000.0,633.0100999325235,0.0
1100,4108473031.2440953,249972019.96935767,616913.8817948301,351915791.88307256,2140000000.0,633.8428048499516,0.0
1200,4073411068.567683,249967185.7834052,616326.8055060252,351898064.56459934,2140000000.0,628.9105768733074,0.0
1300,4054679486.033891,249965362.4000684,615595.1390923272,351887295.28784156,2140000000.0,624.228757037653,0.0
1400,4020750014.556411,249961482.9528502,613582.1874085368,351871944.371191,2140000000.0,622.90777742142,0.0
1500,3958341403.351372,249959399.54848683,612629.4691800219,351865209.5762359,2140000000.0,621.1606086162224,0.0
1600,3911790276.7598553,249958027.44431308,611915.8169732691,351865172.6664854,2140000000.0,607.7870126850895,0.0
1700,3881301154.1353564,249956084.82631218,610379.9008636865,351846366.3325378,2140000000.0,611.6371168319324,0.0
1800,3852254547.718051,249952404.4816201,609038.8190771956,351826009.7804528,2140000000.0,600.0709614880371,0.0
1900,3804817668.32994,249951218.2851723,608668.4971465864,351826226.52780676,2140000000.0,597.0728972788613,0.0
2000,3773905927.9537773,249947159.42525738,606354.4564704956,351807819.0015274,2140000000.0,595.9002605123015,0.0
2100,3766734542.8335476,249945993.02083433,606309.242960513,351800527.2573332,2140000000.0,590.6709742868293,0.0
2200,3743955933.704942,249943266.6747652,604851.4564044527,351788779.5556767,2140000000.0,591.0395102991807,0.0
2300,3710242826.547242,249941577.98924363,603418.6686062502,351782712.02108884,2140000000.0,590.9987525529968,0.0
2400,3674784403.471008,249940725.88388926,603248.9252702517,351758174.755361,2140000000.0,589.2920386315712,0.0
2500,3638445528.570808,249937263.8853998,602502.8933315731,351755079.0536457,2140000000.0,579.8771059972318,0.0
2600,3631279980.7704873,249934825.15530097,600654.539786012,351740197.10773337,2140000000.0,577.2792771506535,0.0
2700,3578522842.2405267,249932948.36103332,600529.2135400256,351726506.80701965,2140000000.0,574.964243431514,0.0
2800,3556166534.715407,249930672.80117458,599821.8657361006,351724142.22586876,2140000000.0,575.8792416427277,0.0
2900,3545820622.7198586,249927957.39583075,598954.3254349869,351704744.8014022,2140000000.0,568.0226503683944,0.0
3000,3528951999.1856275,249926520.89536193,596621.6658535134,351700302.333378,2140000000.0,569.9855798506233,0.0
3100,3465005239.2142715,249924520.6705566,596153.9573500941,351686818.4042863,2140000000.0,566.6881792853808,0.0
3200,3457988234.184788,249921992.89898428,596348.7463638972,351659635.24821436,2140000000.0,561.6999566964428,0.0
3300,3440166787.224037,249921633.121672,594710.8829554794,351659226.65168405,2140000000.0,563.298559299085,0.0
3400,3393148627.839101,249918667.49193978,594079.3383716079,351639490.951163,2140000000.0,553.4905033365684,0.0
3500,3399190879.6692815,249914873.49888685,593681.1051666677,351628693.0362478,2140000000.0,552.8338159088062,0.0
3600,3357410324.602385,249914528.60253617,592823.5549205184,351615037.74455655,2140000000.0,549.1511381055777,0.0
3700,3334383504.832126,249913280.92960075,592033.5411150873,351601605.6174399,2140000000.0,551.7650028311539,0.0
3800,3311098435.858119,249909593.1725546,591339.0697186227,351581902.08899295,2140000000.0,548.6532554593911,0.0
3900,3310630035.3922095,249908084.8297874,589129.0365826931,351580494.1846905,2140000000.0,542.6265376677252,0.0
4000,3276920946.9517484,249908508.14134938,589064.8372588039,351557409.03459543,2140000000.0,536.9434966880892,0.0
4100,3256984030.376001,249906436.3903751,588106.0648236617,351554134.8251817,2140000000.0,541.3193647071976,0.0
4200,3241112819.2901554,249903729.1224861,587903.7416256054,351533289.803947,2140000000.0,534.6725581038644,0.0
4300,3236057370.181624,249900699.62782288,587577.8422382177,351512901.6417049,2140000000.0,535.8010582033338,0.0
4400,3217587365.959904,249899521.1998685,586574.5952555832,351509641.78185475,2140000000.0,531.5170123486732,0.0
4500,3175556453.3289685,249899478.25957492,585746.6369549166,351488398.5966073,2140000000.0,529.7766865328354,0.0
4600,3165706218.334941,249896515.90762028,585212.2941740227,351469106.0453308,2140000000.0,530.4841091973277,0.0
4700,3120880123.923217,249895245.79416355,584983.7250875278,351460377.1569738,2140000000.0,528.8481890782155,0.0
4800,3146879138.837269,249894684.83826843,583644.6572093357,351452687.86941314,2140000000.0,522.9629556578009,0.0
4900,3089914676.5052724,249891278.67932656,582293.4025050343,351442781.38424456,2140000000.0,527.9000463361502,0.0
5000,3078549045.512398,249890452.93363163,581756.3690249642,351415535.19571716,2140000000.0,520.3361929293034,0.0
