milliseconds,T,N,L,R,C,I,S
0,4640706947.069788,250001641.69503993,527657.5022424954,352008716.7168851,2140000000.0,1167.9073351052339,0.0
100,4618413961.705301,249997709.5995666,558662.989451983,351988983.3037947,2140000000.0,891.0003059450054,0.0
200,4531817247.586903,249996314.24637887,593691.3492471046,351989280.9727538,2140000000.0,755.8017221649944,0.0
300,4499251270.834629,249993601.88383636,611902.2078492315,351992095.5063851,2140000000.0,703.2859535578815,0.0
400,4462585866.609376,249991597.03093034,619663.6988938629,351969575.39911413,2140000000.0,683.39897236144,0.0
500,4413533246.875404,249987389.73715797,622096.097546871,351966508.38079387,2140000000.0,668.6423989842745,0.0
600,4363996148.991759,249983472.50765574,622863.4296262491,351958565.80062294,2140000000.0,653.0087308024627,0.0
700,4321676768.070017,249980671.08100972,621740.8339260599,351954012.0456957,2140000000.0,652.653098343366,0.0
800,4234857427.506316,249977818.73648784,621478.4134892952,351941084.6317687,2140000000.0,643.1536084738997,0.0
900,4201849144.4025893,249976131.04904097,619265.0125987977,351922676.2840666,2140000000.0,637.939764591162,0.0
1000,4177896093.1319475,249973830.90179962,617838.7242040455,351920213.10242146,2140000000.0,634.7193360434186,0.0
1100,4143357901.932584,249971181.06329498,617729.7715765282,351917809.59447354,2140000000.0,635.7444297523433,0.0
1200,4080285963.8378205,249969605.14595437,616820.9108570187,351901769.05543905,2140000000.0,632.3286883317577,0.0
1300,4040157250.5493283,249964145.8278951,614484.0680083361,351892084.8524277,2140000000.0,623.4171351314835,0.0
1400,4003186954.2033567,249964565.44059503,613934.7302364446,351873688.7603926,2140000000.0,620.9561060812556,0.0
1500,3985291498.9068727,249961719.33142605,612333.8630894166,351868222.9207955,2140000000.0,617.9236369384879,0.0
1600,3951651206.1995444,249957873.2426712,610527.6562454881,351859963.8123538,2140000000.0,614.1503540434733,0.0
1700,3909786379.268587,249954825.11112717,610785.4991572513,351847871.7058707,2140000000.0,612.5228005909058,0.0
1800,3847939741.4592943,249954019.49742696,609049.2718142794,351829539.83296883,2140000000.0,602.085847575754,0.0
1900,3817200704.841281,249951454.7071306,607370.2226728989,351825090.4528571,2140000000.0,599.8206140453505,0.0
2000,3816738328.904355,249949049.11519653,607518.4523751519,351820520.7935908,2140000000.0,593.6485228305726,0.0
2100,3774327263.033318,249945842.15567237,606015.743134941,351796161.1935055,2140000000.0,595.2913008459009,0.0
2200,3747755891.2539907,249945250.94453844,604579.1069075345,351784190.2312758,2140000000.0,587.8319674797758,0.0
2300,3716748956.8821535,249942766.8889965,604332.3686539839,351785328.3556273,2140000000.0,585.0670848731423,0.0
2400,3657953352.305371,249938285.08387318,603289.1828736122,351769792.41779953,2140000000.0,581.7236997915579,0.0
2500,3651020575.4163375,249936073.234536,601299.3740966631,351752922.480539,2140000000.0,583.5631037276698,0.0
2600,3622171370.8446527,249936029.27441898,600201.2427397288,351734371.4604006,2140000000.0,583.4046136021263,0.0
2700,3595938691.2617874,249933144.76931503,600686.4374765062,351733022.98563415,2140000000.0,577.8521474279112,0.0
2800,3556640720.5348463,249929929.63101313,598404.6103506396,351710845.00928617,2140000000.0,574.683657377367,0.0
2900,3514432101.20616,249929100.42129076,597763.6399825627,351710655.321726,2140000000.0,564.4510013637623,0.0
3000,3505104859.5206914,249927829.02961248,596733.227981358,351689479.6712656,2140000000.0,562.971330026038,0.0
3100,3470780887.834469,249925671.99875677,596561.3805049603,351679746.6229039,2140000000.0,560.1201324048145,0.0
3200,3475617221.53991,249920919.3846541,595815.1633828001,351661275.4786195,2140000000.0,563.1344791040175,0.0
3300,3441577082.8162465,249921841.43340567,594097.4070454563,351646199.1469877,2140000000.0,563.3310602019441,0.0
3400,3388079211.969481,249916913.84522358,594264.8527879633,351647528.93412334,2140000000.0,554.7782334696813,0.0
3500,3369665184.5848475,249915394.68942237,592813.6659648519,351629018.0644864,2140000000.0,552.5275735200624,0.0
3600,3385436870.9133625,249914365.23832235,592832.737287182,351615564.9175622,2140000000.0,548.6353555343399,0.0
3700,3344292800.5989113,249912367.7349873,590619.3884382424,351606897.4288414,2140000000.0,553.7240254145624,0.0
3800,3340860468.4299607,249911897.61552158,591094.5850740229,351590892.75643337,2140000000.0,546.5550351733518,0.0
3900,3292382526.59699,249907695.33670646,590096.6618060939,351570452.8782078,2140000000.0,544.9798678929053,0.0
4000,3269889064.6770654,249908227.24950713,589391.8265851822,351560640.5295832,2140000000.0,541.275620905735,0.0
4100,3258301570.08181,249906170.2452881,588229.964204361,351541873.4053457,2140000000.0,535.9555761156616,0.0
4200,3244741871.421976,249903974.82947436,587259.6384153744,351530003.34396344,2140000000.0,542.1161931676296,0.0
4300,3231058138.0642376,249901405.50515205,586621.1173692305,351518671.9647625,2140000000.0,530.2854227256469,0.0
4400,3186425646.1243033,249898433.02542388,586457.8578074353,351504552.85247666,2140000000.0,537.9657844439706,0.0
4500,3183407260.309333,249897266.99466357,585202.1000130536,351496484.01166725,2140000000.0,530.8031614293394,0.0
4600,3146102238.695449,249896593.904964,584770.9255199046,351484600.9937183,2140000000.0,527.3119095215092,0.0
4700,3134353155.8649626,249894708.11995807,583866.8678955354,351459190.71647316,2140000000.0,523.5565460169023,0.0
4800,3103347073.2259507,249892492.1353093,582805.5995342073,351451239.3190421,2140000000.0,527.6447977339178,0.0
4900,3108775246.6026206,249892756.5626983,583689.2233140315,351426338.9822919,2140000000.0,520.9795837859585,0.0
5000,3083749154.7593966,249888376.28282553,582543.4149021511,351416994.1961174,2140000000.0,519.926588464847,0.0
