miliseconds,T,N,L,R,C,I,S
0,4648758652.916998,250000981.33620083,527379.184467588,351992072.2871688,2140000000.0,1169.4197440585415,0.0
100,4594847488.68227,249998299.58090156,559214.0868669966,351998298.957479,2140000000.0,887.1268741123884,0.0
200,4546824967.0361185,249996364.26512873,592264.0646965073,351999861.96940345,2140000000.0,762.2756040678402,0.0
300,4515541404.16608,249994416.69044593,611490.4843844362,351992767.47980124,2140000000.0,708.5184547818503,0.0
400,4452367367.010863,249990584.81708825,620695.9157233099,351977487.2578227,2140000000.0,679.2460841175113,0.0
500,4395698575.733929,249986325.6076831,622517.564256395,351968818.455262,2140000000.0,669.8697076380321,0.0
600,4365447069.011715,249985377.32781667,622622.6601921801,351965235.3238508,2140000000.0,661.7045137681179,0.0
700,4314233012.75387,249982154.5131405,622369.0013898769,351944476.28534126,2140000000.0,655.5635898355658,0.0
800,4240971228.3373094,249978205.43022716,621775.242665894,351933082.11039037,2140000000.0,642.0426953148489,0.0
900,4227652652.2910185,249977744.44862545,619456.9284601362,351932171.7188287,2140000000.0,642.9794138678681,0.0
1000,4145936367.11352,249973604.79141963,618137.8216937962,351927135.03321534,2140000000.0,633.7964919057026,0.0
1100,4144146996.2821374,249972248.9257524,617525.1457176331,351910653.8529195,2140000000.0,634.444801360711,0.0
1200,4083042180.393315,249969391.6910359,616655.9493446229,351901640.2544528,2140000000.0,624.7019011271833,0.0
1300,4050994550.3197017,249965520.4663497,615018.9635777173,351890115.71133256,2140000000.0,624.6510343712933,0.0
1400,4027670515.775215,249962161.3102959,613259.8154879761,351873521.3352081,2140000000.0,621.6612759977836,0.0
1500,3983687366.466846,249961325.23271298,612649.6639002358,351870270.4985876,2140000000.0,615.0702855905628,0.0
1600,3927587849.4267035,249957922.84312725,611922.6089195731,351859215.348945,2140000000.0,611.2735872400715,0.0
1700,3898669006.759196,249954918.56824017,611016.2351661242,351847214.3890276,2140000000.0,612.694248080721,0.0
1800,3882048657.225864,249951981.91641977,609405.3903218523,351836939.74925995,2140000000.0,607.1593233604005,0.0
1900,3805789038.868803,249950344.15211532,607677.9526695532,351824173.57918817,2140000000.0,601.1452505820488,0.0
2000,3780673198.2162232,249948800.98005623,607275.8132066316,351817654.9026658,2140000000.0,593.5623410629205,0.0
2100,3777565161.616071,249946455.9398116,605586.0187032882,351795599.443731,2140000000.0,591.3595351502402,0.0
2200,3744347227.579057,249942912.4072485,603976.7249178438,351791610.7457308,2140000000.0,586.4603978102751,0.0
2300,3690113313.454202,249941982.1436473,604158.9740822907,351784068.2967897,2140000000.0,587.2109188548145,0.0
2400,3672337688.8563423,249940545.08295593,603213.6387593527,351763062.9387556,2140000000.0,581.6815094560134,0.0
2500,3657062464.8801904,249935698.72811523,602353.7095097869,351759361.63338226,2140000000.0,583.4057090228748,0.0
2600,3611962741.8312187,249935299.31735814,600382.7966544488,351742939.5656795,2140000000.0,580.8327214349595,0.0
2700,3580489370.451363,249931089.55457202,599539.8620674267,351726621.91722155,2140000000.0,576.6559619261407,0.0
2800,3563243297.9646935,249930746.9244081,599296.9586675329,351710490.7454302,2140000000.0,573.3754416515998,0.0
2900,3546027795.8872466,249928694.51059783,598002.2748472512,351703842.6198749,2140000000.0,571.6257325613343,0.0
3000,3521931004.7899203,249925351.54553267,596488.3287685681,351698679.5581241,2140000000.0,564.9890788725266,0.0
3100,3472157845.794214,249925323.32419494,597203.421497443,351679537.2898271,2140000000.0,559.4876240883096,0.0
3200,3477673172.9596524,249921992.17634103,595911.0600814803,351659034.88317066,2140000000.0,565.9179768634314,0.0
3300,3435949492.4166255,249918824.9083676,594651.5690372796,351659437.7707701,2140000000.0,556.1368222237163,0.0
3400,3422601628.0018344,249917411.4085573,594103.7131495171,351634925.87817425,2140000000.0,554.9170946992709,0.0
3500,3385713936.7795463,249915799.7894365,593114.6863295678,351635103.2430261,2140000000.0,549.2370764641591,0.0
3600,3347221944.0702496,249914469.6237488,592345.4824786249,351607564.33494085,2140000000.0,552.7558818151488,0.0
3700,3338501405.9853845,249911966.28765354,592064.1857985114,351600841.33596593,2140000000.0,550.3308737733715,0.0
3800,3304066625.0633507,249909875.7042602,590324.988484418,351590109.3813855,2140000000.0,542.3862773829321,0.0
3900,3283236475.1484404,249909033.00523743,590384.3372521978,351568051.6419115,2140000000.0,540.4624410085111,0.0
4000,3289641006.158061,249906073.40745208,588636.1645980452,351560991.3536408,2140000000.0,544.299363798425,0.0
4100,3253490305.686974,249906837.68151474,588193.2125768363,351545023.0449853,2140000000.0,539.640193231545,0.0
4200,3243093814.1652284,249904142.3707548,588400.2721459019,351535650.33533216,2140000000.0,540.1745851245328,0.0
4300,3219284585.974961,249901063.9962989,586418.539076403,351512089.5970599,2140000000.0,531.1844834520523,0.0
4400,3185582606.966127,249899599.7577631,586359.7638793088,351500702.85104907,2140000000.0,536.1691613132136,0.0
4500,3186904137.946965,249897768.25617293,585092.7131234808,351498330.6018775,2140000000.0,534.2565761844787,0.0
4600,3173003541.260401,249896896.46366483,585699.131774177,351468662.9644221,2140000000.0,526.3972084349625,0.0
4700,3151471705.67342,249894074.6489018,583576.0406040752,351469107.26520264,2140000000.0,523.6973153734644,0.0
4800,3115485878.6840568,249892676.20298192,584006.009982363,351453621.91461223,2140000000.0,522.3364957741619,0.0
4900,3118783283.6774654,249890001.03148797,582555.9795719506,351430837.51383394,2140000000.0,524.1145554569323,0.0
5000,3103969159.896492,249889788.84340608,581985.4601205942,351415705.9451658,2140000000.0,525.6990853225976,0.0
