miliseconds,T,N,L,R,C,I,S
0,4670054659.234809,249999626.01683068,526716.7258671079,351994287.70336384,2140000000.0,1172.9859694486283,0.0
100,4603742527.513068,249999000.58252552,559963.4846829511,352003382.2083406,2140000000.0,883.3100568688706,0.0
200,4545272368.279665,249995284.71694994,592363.2193786614,351997980.13117564,2140000000.0,762.4519409048501,0.0
300,4484936582.885403,249994954.62605163,612126.1233284518,351980744.320268,2140000000.0,702.2264736043791,0.0
400,4457557397.708491,249989898.91449025,619550.61768718,351983734.0296278,2140000000.0,678.0371447844437,0.0
500,4373781155.757082,249989296.4552145,622933.7587748818,351971684.72196597,2140000000.0,662.2142033726586,0.0
600,4368238808.367931,249984587.52298263,623385.9064350249,351966014.02103,2140000000.0,659.2365118809296,0.0
700,4315525369.884993,249981801.36665267,622502.3105964542,351943166.5856525,2140000000.0,653.7484758193299,0.0
800,4236859170.0146203,249980663.70556894,621580.2703314066,351943791.7847171,2140000000.0,646.5919883709405,0.0
900,4188857885.465974,249976364.95486456,619290.6785454212,351937725.3024707,2140000000.0,636.8005348488371,0.0
1000,4174646069.6146073,249973579.41554326,617987.1429843279,351926168.5816957,2140000000.0,641.8339581481551,0.0
1100,4139626433.5368543,249969842.47521648,617225.1634816469,351902014.8748245,2140000000.0,633.3053143947025,0.0
1200,4072009402.82819,249967047.88961422,615572.8446365092,351898192.42350316,2140000000.0,626.2146109652247,0.0
1300,4054674729.4923997,249965896.81694052,615132.3727709681,351896085.9204595,2140000000.0,629.2590263579899,0.0
1400,3996595691.187547,249962079.37138194,613336.5642393227,351881962.44893014,2140000000.0,625.4424394613102,0.0
1500,3955512255.424177,249960825.120138,611842.1084684922,351864932.9409372,2140000000.0,614.9315745792672,0.0
1600,3938985745.4119797,249957029.8758486,612119.7320418868,351850918.55062485,2140000000.0,608.6454917931416,0.0
1700,3898555982.460045,249955698.7341307,610099.7927008274,351854441.9159616,2140000000.0,605.4387134798291,0.0
1800,3879345966.465303,249953654.9322491,608818.541769884,351840569.7358219,2140000000.0,609.665960896037,0.0
1900,3821758208.5319853,249950793.10709408,607899.5975412101,351817703.25228417,2140000000.0,605.7785886246598,0.0
2000,3788979328.077704,249948533.1205135,607206.3782783479,351805144.43772084,2140000000.0,596.3841711768202,0.0
2100,3766026530.154741,249945031.8125274,605366.627956847,351792795.3144328,2140000000.0,594.3910696295446,0.0
2200,3714309410.5897226,249943475.73304525,604049.53600822,351785757.9920853,2140000000.0,596.2314194969978,0.0
2300,3716169382.1315665,249942943.25578585,603802.8516591877,351779084.20303655,2140000000.0,587.0441218950996,0.0
2400,3674584862.3149786,249940556.77962852,602145.7849313685,351768477.78866553,2140000000.0,583.157446027625,0.0
2500,3661025651.2314725,249936229.75252357,601241.3336630544,351755131.3353262,2140000000.0,581.2795886128217,0.0
2600,3590785909.417889,249935564.51863495,601601.6815143819,351748813.87694967,2140000000.0,579.6890669060992,0.0
2700,3570001550.706512,249931797.56875956,600074.2728960969,351737680.70840585,2140000000.0,576.0428024185516,0.0
2800,3546552529.775469,249929368.9721629,599589.9582287295,351710853.4657955,2140000000.0,570.6214609642149,0.0
2900,3537214953.048301,249926768.15080848,598081.3152134431,351698285.34077364,2140000000.0,571.7443931778137,0.0
3000,3527942234.8872495,249926878.35732862,598065.9789886216,351690440.80713636,2140000000.0,569.6383226566156,0.0
3100,3463326292.639995,249924287.3993137,596545.9139311678,351670658.69196093,2140000000.0,565.6132946188787,0.0
3200,3468391748.1875157,249923311.62343642,594777.7918113123,351663300.7330202,2140000000.0,563.5753386210957,0.0
3300,3430615792.8276196,249921182.14545345,594023.843662737,351648639.32015747,2140000000.0,562.868841995769,0.0
3400,3413363815.5840015,249916889.55108747,594626.2794134897,351648424.3730845,2140000000.0,552.2204421399173,0.0
3500,3385642630.931557,249914824.48410645,592306.4429683441,351624120.2153601,2140000000.0,553.5245945107046,0.0
3600,3375014043.4406414,249915236.65899906,592236.3125815344,351621343.12143636,2140000000.0,552.4765259862905,0.0
3700,3347406913.149559,249911990.97693646,590915.0036492739,351605285.6666521,2140000000.0,552.2905909882975,0.0
3800,3339995140.4412794,249909244.51586542,590046.3930171095,351587526.3255486,2140000000.0,545.0923825052142,0.0
3900,3278904360.58167,249908834.59781662,590660.043385237,351580717.13923013,2140000000.0,543.5230014490694,0.0
4000,3267909854.9276156,249907749.7301057,589750.2542859659,351567876.4449009,2140000000.0,543.1050464118666,0.0
4100,3268681646.8602457,249904994.51849353,588927.1555147812,351554702.08719337,2140000000.0,537.4691593805725,0.0
4200,3226718062.1229157,249904178.40136328,588180.9291570357,351540129.3868767,2140000000.0,532.0167537320256,0.0
4300,3196844349.435415,249900493.47921258,586692.3288369968,351518459.9269144,2140000000.0,537.2292851154716,0.0
4400,3196728195.503446,249900164.61719298,586495.0338944893,351509185.0738491,2140000000.0,535.2499384548563,0.0
4500,3190428344.2320375,249896831.47734275,585718.7640181751,351484505.4504017,2140000000.0,533.0047714025217,0.0
4600,3172955699.22908,249895944.26706612,585358.1266414054,351474841.36032814,2140000000.0,525.8923229556357,0.0
4700,3145568566.395698,249895706.11757442,584284.9022324721,351467141.5174918,2140000000.0,522.5191217916213,0.0
4800,3109932007.915465,249894090.05473658,584134.3836929702,351451278.0215226,2140000000.0,525.0036337982287,0.0
4900,3086799136.11434,249891365.1036104,583176.9711813697,351427764.264962,2140000000.0,521.8947207833464,0.0
5000,3089993901.214678,249891393.0529574,582858.639543178,351413501.22128606,2140000000.0,523.9759809856138,0.0
