miliseconds,T,N,L,R,C,I,S
0,4671231001.171707,250000771.75178602,526631.0200384686,352003304.02582383,2140000000.0,1169.370823259714,0.0
100,4623126013.910014,250000279.21077284,559910.2123094955,351997004.6347234,2140000000.0,885.6053630402773,0.0
200,4549192645.324412,249996096.55428421,593550.6116094154,351994356.6992825,2140000000.0,760.5228162478518,0.0
300,4490130166.829753,249992296.40211007,611534.2400118082,351992451.98630816,2140000000.0,699.7697074305705,0.0
400,4457029628.035509,249991702.663302,619241.6764554749,351978331.92362785,2140000000.0,677.5332879167589,0.0
500,4402216486.5757065,249989616.28579333,623379.1538593179,351973543.1032736,2140000000.0,663.5419364631831,0.0
600,4363635362.41754,249984626.01187557,622896.3933249693,351951029.266695,2140000000.0,655.0154593083994,0.0
700,4286533457.3955064,249983559.80834472,621553.3298328085,351940671.3040487,2140000000.0,647.3027531402083,0.0
800,4265294874.6228313,249980125.71660286,621276.2629939704,351941310.4266149,2140000000.0,646.2055468858983,0.0
900,4222903888.333107,249978000.5052347,619609.8059595327,351935486.4157887,2140000000.0,638.1381956376161,0.0
1000,4167126665.676705,249974986.38284707,618279.9289765036,351927270.6497526,2140000000.0,635.0798906585837,0.0
1100,4141323652.7082834,249970064.80914947,616659.5088900409,351901225.97885936,2140000000.0,633.7592324635466,0.0
1200,4099715173.066195,249968713.41145238,615792.2254978134,351892124.6260513,2140000000.0,631.5183654077998,0.0
1300,4062630593.521228,249964079.0314053,614586.5463687786,351890606.1040842,2140000000.0,623.0590293560867,0.0
1400,4025939112.5031886,249963294.06733868,613433.7208339561,351879200.59157944,2140000000.0,615.7981265805727,0.0
1500,3988149990.5405054,249961889.73349077,612570.4541094245,351862118.34898025,2140000000.0,618.2746934705641,0.0
1600,3948441089.0912094,249956834.10804227,611580.2028481318,351860630.14297855,2140000000.0,611.8734489541445,0.0
1700,3912956233.968674,249954524.74880034,609747.4072690752,351851733.6142122,2140000000.0,609.4536710946421,0.0
1800,3878974582.2798295,249953567.79043978,608480.6507023759,351833180.08803487,2140000000.0,605.4422493815348,0.0
1900,3848570217.715273,249950755.01462603,607633.6431751116,351827332.8446562,2140000000.0,600.5851985730784,0.0
2000,3810878342.481137,249949359.32062694,607420.7199112981,351804944.63175184,2140000000.0,596.8408002089609,0.0
2100,3766566100.5276093,249944717.42172012,606304.6840819188,351797549.2094265,2140000000.0,596.1192144242301,0.0
2200,3730790560.05186,249943821.49030966,604872.7582099376,351783507.6127144,2140000000.0,591.9274182208136,0.0
2300,3720010438.9195614,249941729.736037,603090.848051835,351775520.58202565,2140000000.0,586.035572107188,0.0
2400,3689431628.015776,249938581.40023226,603347.3749501638,351760819.17081267,2140000000.0,589.2276084805125,0.0
2500,3634731268.3614264,249937398.89162406,601320.5726971643,351745830.43271434,2140000000.0,578.4766358583729,0.0
2600,3601630734.911562,249933740.44040558,601205.073948282,351733539.2795007,2140000000.0,577.7862519880911,0.0
2700,3603873100.5896873,249934055.899934,600480.6319261229,351726805.74043524,2140000000.0,578.8062754385032,0.0
2800,3540986326.232332,249930899.16563794,598817.9558632798,351719889.86063266,2140000000.0,567.730770119303,0.0
2900,3524214719.5607715,249927085.14551592,597319.7195585805,351699784.73961604,2140000000.0,569.7386338632327,0.0
3000,3490630135.1113906,249926626.7485343,596566.875816953,351692791.3402343,2140000000.0,570.3869443113157,0.0
3100,3489715989.305653,249924301.15840316,596759.8340286106,351685632.2529223,2140000000.0,563.8348408703479,0.0
3200,3460628241.625485,249923086.0565799,595849.6820647577,351662530.0664304,2140000000.0,564.8707593017642,0.0
3300,3423597203.1394243,249919994.35203943,594443.7334671607,351647604.72455317,2140000000.0,557.3073298764991,0.0
3400,3391657778.3725576,249917063.47699985,593016.5168132713,351642647.0115209,2140000000.0,555.6926576600783,0.0
3500,3383930583.2211795,249914751.28445578,592728.7293802542,351631228.5569176,2140000000.0,549.8676426231593,0.0
3600,3375602524.515763,249915737.7741917,592802.290666676,351622108.72439945,2140000000.0,553.5482779019068,0.0
3700,3325194990.305095,249912925.21900168,591546.3244936345,351598620.37426317,2140000000.0,553.3011399021117,0.0
3800,3308777799.070443,249910951.50789708,589821.5863753917,351589427.68580174,2140000000.0,549.567358170625,0.0
3900,3279722914.3652797,249907182.74437723,590390.9312800289,351572392.0345435,2140000000.0,544.0495303905714,0.0
4000,3269020671.121693,249905971.1183019,588613.1051604293,351558747.7930307,2140000000.0,538.0700011082715,0.0
4100,3256888870.3887258,249905777.01367533,588190.2420791559,351548514.48171484,2140000000.0,537.0824057440367,0.0
4200,3239704525.644296,249904669.8702864,588114.6481371028,351539215.9727781,2140000000.0,535.8419402679971,0.0
4300,3234968306.0169253,249902100.10560107,587468.5531863157,351519189.9549348,2140000000.0,537.8088769573743,0.0
4400,3178298503.0008855,249901582.1778302,586449.7400082382,351512315.6109868,2140000000.0,536.8070529315357,0.0
4500,3159354110.7594304,249896567.60989985,585212.5298354666,351495451.0739618,2140000000.0,525.7728643704625,0.0
4600,3174799968.7870545,249897803.71931446,585625.1441615876,351485573.8065546,2140000000.0,525.1778072949934,0.0
4700,3152982907.015662,249894420.85253948,584454.1239413653,351454230.420305,2140000000.0,526.2854676141525,0.0
4800,3130453607.4552493,249892398.5666661,583203.9706392672,351453052.2737097,2140000000.0,521.6710324469319,0.0
4900,3099215373.6060767,249892585.71794027,583630.3860180362,351428038.28994364,2140000000.0,519.3278114505482,0.0
5000,3080700384.3630023,249889250.57534316,583082.1862922685,351412636.7068867,2140000000.0,522.3495719320092,0.0
