milliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,1.0566398965031335e-14,7.148412517122013e-15,4.190022654655593e-18,1.2949226369841495e-13,7.118580772956458e-16
100,-8.334707139144804e-15,6.516328899822166e-15,5.4915415362734243e-17,8.458333398427844e-14,1.709576834140341e-15
200,-3.5515905707786277e-14,8.42873467757879e-15,1.0906300802389746e-16,4.8183843991736264e-14,2.902735975765745e-15
300,-5.970716483688272e-14,9.776935267528704e-15,1.6803606716215977e-16,4.519581382845803e-15,3.957779593576334e-15
400,-7.490379285165375e-14,1.107409880560835e-14,1.6157091747069896e-16,-1.3175521272980511e-14,6.630596701219804e-15
500,-8.848041999051304e-14,1.2039055580699156e-14,1.4757628897326046e-16,-2.6678009416172168e-14,7.26668751771987e-15
600,-1.0306935585618352e-13,1.3537380931671998e-14,1.361308746853896e-16,-3.724352778826435e-14,6.204606119646058e-15
700,-1.222230452715715e-13,1.490195188576201e-14,1.2045288260783264e-16,-5.143200027102199e-14,5.9052795587612624e-15
800,-1.3564256740702157e-13,1.6425508838785123e-14,1.065433947124119e-16,-6.402456308471819e-14,7.789321499856605e-15
900,-1.501842971521421e-13,1.77138675267119e-14,9.424353599777436e-17,-8.296804464659593e-14,7.675127811075568e-15
1000,-1.6460924750222733e-13,1.9035828063119008e-14,7.688093302082217e-17,-9.1980782889536e-14,6.461953361805003e-15
1100,-1.8140359677956085e-13,2.051586928066333e-14,6.466526976129778e-17,-1.0870794466806227e-13,7.768100236897868e-15
1200,-1.9571762863563796e-13,2.2040131829787345e-14,4.299805841251611e-17,-1.2373532299555673e-13,8.75164999897541e-15
1300,-2.1075243430435992e-13,2.3337923392255553e-14,2.932457514007695e-17,-1.3624093837013387e-13,8.326977605597527e-15
1400,-2.1382962189462816e-13,2.3875321950442573e-14,3.587335835981562e-17,-1.3953923595161755e-13,1.0653845441169129e-14
1500,-2.1754688078186185e-13,2.4913343711395278e-14,5.138420664535486e-17,-1.4279685226405882e-13,1.424288006924964e-14
1600,-2.1734735537454233e-13,2.6306300057363965e-14,7.214528322724375e-17,-1.4389932530914165e-13,1.5995647364823076e-14
1700,-2.1768577863485475e-13,2.7567054862465815e-14,8.381834974820058e-17,-1.3997531780880665e-13,2.0780088282203595e-14
1800,-2.1656120404401356e-13,2.870272372810228e-14,1.0579494421687315e-16,-1.4035602252524075e-13,2.360396193146547e-14
1900,-2.1671454971348824e-13,2.9543518068269314e-14,1.1948269364980118e-16,-1.419019216373776e-13,2.8671455553221604e-14
2000,-2.1743978473118711e-13,3.0993768625520325e-14,1.4127825977706613e-16,-1.4614982215725106e-13,3.101943825751722e-14
2100,-2.208190671102263e-13,3.212711157195355e-14,1.5570957142534618e-16,-1.4233765478689204e-13,3.3701615470672645e-14
2200,-2.2375443633109635e-13,3.3283699983530144e-14,1.7919955955590105e-16,-1.4151705659435793e-13,3.759726523025249e-14
2300,-2.2446891915105664e-13,3.453939634261207e-14,1.89398094937071e-16,-1.4272041998482363e-13,4.1920423267575484e-14
2400,-2.211623798170379e-13,3.493718358122044e-14,2.122872356120711e-16,-1.4504488121307961e-13,4.4885420867431486e-14
2500,-2.215116675128878e-13,3.5934529060222654e-14,2.265869139797626e-16,-1.434200176811881e-13,4.881911912474506e-14
2600,-2.207897343490214e-13,3.790237774087049e-14,2.4412459013245953e-16,-1.4637111967904555e-13,5.228931422927478e-14
2700,-2.218392350596627e-13,3.9035713208001775e-14,2.6625302377735744e-16,-1.4396393617341657e-13,5.49202085896103e-14
2800,-2.2440796149590998e-13,3.9180743193245895e-14,2.776683985745592e-16,-1.4786551970202084e-13,5.994478503654077e-14
2900,-2.233454223426565e-13,4.0500134348174337e-14,2.995677163759312e-16,-1.4495417822551132e-13,6.130980410329341e-14
3000,-2.2312521961893733e-13,4.2116341169849456e-14,3.155928828661199e-16,-1.4518688875348065e-13,6.564824402298909e-14
3100,-2.262313401338376e-13,4.1671167625742165e-14,3.055664378511641e-16,-1.4788498074091327e-13,6.494402783451879e-14
3200,-2.204988418049337e-13,4.03502959208108e-14,2.874709348379635e-16,-1.4139337655972682e-13,6.443235250003675e-14
3300,-2.1862721522825427e-13,3.9726356057686184e-14,2.7196806749076043e-16,-1.407892834376636e-13,6.460002364056725e-14
3400,-2.1838225833238328e-13,3.975871800419592e-14,2.5926058152853075e-16,-1.4059747368904006e-13,6.541860864399897e-14
3500,-2.1799898935437427e-13,3.91308335539086e-14,2.4697197484719595e-16,-1.3805042956032868e-13,6.328303116173461e-14
3600,-2.1533899471802373e-13,3.849809984822916e-14,2.2799225344405733e-16,-1.4172792495033913e-13,6.302892486018749e-14
3700,-2.1478817714091813e-13,3.721274537605754e-14,2.1561018322138045e-16,-1.3851543773130095e-13,6.388640818515155e-14
3800,-2.100019226493793e-13,3.721347132363377e-14,2.0202540867430556e-16,-1.3495963408284038e-13,6.305897285941136e-14
3900,-2.1207646127407041e-13,3.654284435858874e-14,1.8532558767340287e-16,-1.3816452698759165e-13,6.245100716299115e-14
4000,-2.094078959717552e-13,3.5807292226720615e-14,1.7289002721513634e-16,-1.3164232115888122e-13,6.095802564204662e-14
4100,-2.0822072582233495e-13,3.4831721601548446e-14,1.632366610079165e-16,-1.3278645061515982e-13,6.088169880544415e-14
4200,-2.0545427971568649e-13,3.431111242797642e-14,1.4769299270931452e-16,-1.3046233074215078e-13,6.037478191143813e-14
4300,-2.0600108144020552e-13,3.3700751156374466e-14,1.3611565543662115e-16,-1.2984034543852284e-13,6.009272878421316e-14
4400,-2.0285778052723184e-13,3.340527306260022e-14,1.1468146202821326e-16,-1.2803925906514046e-13,5.94666794290752e-14
4500,-1.9850689665971338e-13,3.3026213148675554e-14,1.0208185219044162e-16,-1.2693828258387188e-13,6.027145032093266e-14
4600,-1.9804863452346695e-13,3.146999713426042e-14,9.025732161646414e-17,-1.2916052218278263e-13,6.015111506819529e-14
4700,-1.994730043197007e-13,3.174241095149152e-14,7.901083416064732e-17,-1.2748178080743466e-13,5.967947031150365e-14
4800,-1.945762967260746e-13,3.014473530982002e-14,6.066013635639227e-17,-1.23552177204354e-13,5.918406615248453e-14
4900,-1.9085263103585397e-13,2.9901706401638804e-14,4.612385252020275e-17,-1.220183469170535e-13,5.702812437799071e-14
5000,-1.920913223225941e-13,2.9656595725838717e-14,3.1171229870948584e-17,-1.208817250776614e-13,5.799623815794865e-14
