miliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,1.6040008829705553e-14,7.073720695398272e-15,1.8404677081519408e-19,1.340772551458192e-13,-3.790714387599597e-16
100,-1.0091153696727187e-14,7.244409394261471e-15,5.3800920379933655e-17,8.465983150901303e-14,6.408979944777154e-16
200,-3.314494473067284e-14,8.222227846365997e-15,1.0658706097031418e-16,4.865154278395445e-14,3.3226671645212846e-15
300,-5.809823972735945e-14,1.0051115229380094e-14,1.6245054400810706e-16,5.348649223258276e-15,6.389022904096133e-15
400,-7.67824060324749e-14,1.1282707820548587e-14,1.6182390189116563e-16,-1.2518503896835052e-14,4.8894816200140595e-15
500,-9.294966271928468e-14,1.228331902682146e-14,1.5262186961747086e-16,-2.488376867964079e-14,6.004092790626885e-15
600,-1.046088145606238e-13,1.346640844300155e-14,1.3054185496711839e-16,-4.164015120707511e-14,6.8886780390774304e-15
700,-1.18562578398872e-13,1.531355211163387e-14,1.193876188830766e-16,-5.5139681850344995e-14,6.581010477924545e-15
800,-1.340281119861899e-13,1.62334099071929e-14,1.0416338810146501e-16,-6.907171493256839e-14,7.073668139603917e-15
900,-1.5122129392692583e-13,1.7843247261344196e-14,8.723632575789408e-17,-8.230573946477642e-14,8.13135283026571e-15
1000,-1.6603701409949504e-13,1.9497009413425833e-14,7.598620093140335e-17,-9.676706344783476e-14,6.538819895415211e-15
1100,-1.763123611940476e-13,2.0661798288608604e-14,6.351872336423082e-17,-1.0567844130104731e-13,8.924905062247968e-15
1200,-1.9516631435722152e-13,2.1288643095031298e-14,4.477514653554478e-17,-1.1896611527647626e-13,7.739912157323733e-15
1300,-2.1141710280949574e-13,2.3450138588497806e-14,2.9066322256388215e-17,-1.3348770340167824e-13,7.35826392996637e-15
1400,-2.1859795470387294e-13,2.4102581860285604e-14,3.3958012735249996e-17,-1.4033751388219554e-13,9.470359081469368e-15
1500,-2.1896343189889804e-13,2.581632736514493e-14,4.980264172115352e-17,-1.4397429292580375e-13,1.48610450784154e-14
1600,-2.1926769086214904e-13,2.622711190526873e-14,7.017252156674348e-17,-1.3973089614373423e-13,1.61962116589092e-14
1700,-2.1517381789590677e-13,2.7574575343186773e-14,8.563445451884893e-17,-1.4199011729323296e-13,2.037480197556982e-14
1800,-2.1826229595714232e-13,2.844646155710552e-14,1.0686658500783594e-16,-1.4076216957077747e-13,2.5203069669296384e-14
1900,-2.2136168400509044e-13,2.979153823226183e-14,1.2292640627259499e-16,-1.4617572696181437e-13,2.7597682944023378e-14
2000,-2.1759783812628403e-13,3.115564832862809e-14,1.415772592715324e-16,-1.4324023620710846e-13,3.231409418973759e-14
2100,-2.2264555478472212e-13,3.242212138319165e-14,1.545414702159096e-16,-1.4458619530248282e-13,3.4695071522791435e-14
2200,-2.2150985661749142e-13,3.296088077010759e-14,1.7572851841517994e-16,-1.426792859452703e-13,3.7899993472892965e-14
2300,-2.227574704692799e-13,3.422862662856677e-14,1.9053954834875622e-16,-1.4286664066868192e-13,4.212535406806119e-14
2400,-2.247003988393715e-13,3.5717078281514866e-14,2.1049141122751018e-16,-1.41600784035883e-13,4.606529413638154e-14
2500,-2.205301111797014e-13,3.6564833158607104e-14,2.307075658065708e-16,-1.4651543311204034e-13,4.9526129487273563e-14
2600,-2.2573756246634652e-13,3.7407286572958294e-14,2.5018124660576205e-16,-1.4665743628208296e-13,5.2827981412920315e-14
