miliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,1.1292333748062401e-14,6.857032895922051e-15,1.2270823309053649e-18,1.3324495139822556e-13,-1.1790989443719706e-15
100,-7.532490669306151e-15,7.229283971294984e-15,5.324892898610338e-17,8.529603264488645e-14,6.513460297119106e-16
200,-3.4468631216315496e-14,8.54677032191387e-15,1.0807483632100716e-16,4.7314762249134205e-14,2.213364299131744e-15
300,-6.223366560757806e-14,9.68413623409615e-15,1.636452455312606e-16,4.785842326181855e-15,4.123207356645464e-15
400,-7.684502943312339e-14,1.1258402923083911e-14,1.6629079121478992e-16,-1.152332030557784e-14,5.1214853432433736e-15
500,-9.291027776710203e-14,1.1820021432662274e-14,1.4525248845555107e-16,-2.4518801604737994e-14,5.389189845345575e-15
600,-1.0532040729760557e-13,1.3263994505809109e-14,1.3472645872597846e-16,-3.783300809714703e-14,6.402217817734031e-15
700,-1.1982865867066378e-13,1.506037022239027e-14,1.1577684358271557e-16,-5.277452368036577e-14,7.384998666867564e-15
800,-1.3450086113832892e-13,1.6122657081097542e-14,1.0204074399164817e-16,-6.911851217570436e-14,7.55125533708974e-15
900,-1.471922646049218e-13,1.7906336093022105e-14,9.389625623858519e-17,-7.742223526816084e-14,6.3957755797444445e-15
1000,-1.653777067318234e-13,1.9088077107934145e-14,7.408565947814576e-17,-9.562413199044443e-14,7.726767301140417e-15
1100,-1.812858502283054e-13,2.050565745144708e-14,6.13178677613761e-17,-1.0914652020515285e-13,8.360065104910338e-15
1200,-1.9425954144024593e-13,2.1961142759335376e-14,4.368582317149678e-17,-1.213635740164813e-13,6.9172537884297584e-15
1300,-2.0632879994605575e-13,2.3493818926034918e-14,2.7892843371358594e-17,-1.3483850671899382e-13,9.469798116680836e-15
1400,-2.1455921486083041e-13,2.456490670730389e-14,3.5758284263815776e-17,-1.4041084542289904e-13,1.027661968236823e-14
1500,-2.1463418576299958e-13,2.5877235391707045e-14,5.243072856829605e-17,-1.429626206669636e-13,1.4868567978962105e-14
1600,-2.1874444229070878e-13,2.665540173723983e-14,6.670823291366412e-17,-1.4388198260026655e-13,1.7021106265644132e-14
1700,-2.1616744378651385e-13,2.767822327895431e-14,8.429622457128889e-17,-1.4248133468846341e-13,2.0918003821693647e-14
1800,-2.1726057171723317e-13,2.8692390330943426e-14,1.0542841387599883e-16,-1.4142863327229575e-13,2.4720132511768898e-14
1900,-2.2137295858548045e-13,2.939506939197591e-14,1.1891860150076552e-16,-1.41674240362822e-13,2.6829763132998196e-14
2000,-2.189993600198357e-13,3.090201185374067e-14,1.4314600695069342e-16,-1.4640137955768162e-13,3.058304498171281e-14
2100,-2.215611433187584e-13,3.154140357680675e-14,1.5657005013845925e-16,-1.4139291895642378e-13,3.483030318640142e-14
2200,-2.1912713915219105e-13,3.323521419815617e-14,1.7830298654295788e-16,-1.4548399465095389e-13,3.875007114230546e-14
2300,-2.2396141589774902e-13,3.4382871907232004e-14,1.9494472950623601e-16,-1.412043755295782e-13,4.2024524852806576e-14
2400,-2.2251443745328148e-13,3.5259291962574584e-14,2.1177462268043723e-16,-1.43345720312493e-13,4.442250575662538e-14
2500,-2.2440281960512855e-13,3.625194987562661e-14,2.310687156907252e-16,-1.432303245255026e-13,4.895503656525584e-14
2600,-2.2632700065119063e-13,3.7634293683042185e-14,2.4951345079815345e-16,-1.4204745809332777e-13,5.237162428681508e-14
2700,-2.23073607100973e-13,3.882052092025588e-14,2.608001073469854e-16,-1.4319705360420677e-13,5.64577124972284e-14
2800,-2.229155116358601e-13,3.984828061834947e-14,2.8454024463928866e-16,-1.4315009091398656e-13,5.973360214705271e-14
2900,-2.248482130934196e-13,4.1120044453577095e-14,2.9984755117583236e-16,-1.4318302995281057e-13,6.309822661495956e-14
3000,-2.2575804618626972e-13,4.236705294027071e-14,3.1895453237436903e-16,-1.475197071831542e-13,6.712222788058675e-14
3100,-2.2228933354087774e-13,4.0769991652956795e-14,3.068024901995182e-16,-1.4514660835993597e-13,6.583684738071761e-14
3200,-2.2450274189538457e-13,4.0255041317183356e-14,2.8786277890151193e-16,-1.4112442269033166e-13,6.534384918488726e-14
3300,-2.2034695486072782e-13,4.035314397939555e-14,2.7550716163473455e-16,-1.3945782323714713e-13,6.569179361510055e-14
3400,-2.1939836931935024e-13,3.91629424617663e-14,2.6355892263365644e-16,-1.422600254887575e-13,6.446361683274567e-14
3500,-2.1582871268049346e-13,3.871457336668081e-14,2.4888151369612074e-16,-1.373777094182487e-13,6.344808328616166e-14
3600,-2.1680211547386642e-13,3.851426073238358e-14,2.3032644331663516e-16,-1.3794914345287438e-13,6.308349959308768e-14
3700,-2.1635106594825343e-13,3.744983363757429e-14,2.1819770379197654e-16,-1.3883396935066335e-13,6.28714882916165e-14
3800,-2.1409503869850272e-13,3.691943936057418e-14,2.0073597261100037e-16,-1.3750642369374756e-13,6.271414822935225e-14
3900,-2.1148972670317332e-13,3.6774395051722405e-14,1.9197379169836672e-16,-1.3350052900715474e-13,6.314750384527561e-14
4000,-2.0705152585700873e-13,3.5515370725411255e-14,1.72081052298495e-16,-1.3251536153520244e-13,6.100979428702017e-14
4100,-2.0567265395617337e-13,3.5258444445368806e-14,1.5884021129776962e-16,-1.3443179899170166e-13,6.245793164675881e-14
4200,-2.0398061045403088e-13,3.468262295657714e-14,1.4242721828708216e-16,-1.33428530383162e-13,5.989612799760515e-14
