miliseconds,PA_D_Cytosol,PABCa_D_Cytosol,h_D_ERM,PABMg_D_Cytosol,CG_D_Cytosol,D28kB_D_Cytosol,PA_Cytosol,CG_Cytosol,PABCa_Cytosol,D28k_high_Cytosol,D28k_high_D_Cytosol,D28kB_high_D_Cytosol,CGB_D_Cytosol,Ca_D_Cytosol,CGB_Cytosol,D28k_Cytosol,D28kB_high_Cytosol,PABMg_Cytosol,IP3_Cytosol,D28k_D_Cytosol,IP3_D_Cytosol,Ca_Cytosol,h_ERM,D28kB_Cytosol
0,1928.1925937401718,9827.619921290347,0.8000664247650764,36404.059975630706,84566.28112103997,2509.880187814608,1928.1857122471663,84566.34457480704,9827.45661881072,43952.36470821531,43952.534710640924,4206.992765484275,11754.507389281584,27.09019084079944,11753.147903472895,45650.02177261599,4207.412459863402,36404.06452862405,96.32,45649.85848144719,96.32,27.089034250007195,0.7999853446988299,2510.227310103978
100,1928.14842692157,9827.141006671052,0.8011145914151092,36404.30426408357,84563.95714417675,2510.8339066085696,1928.1925723759773,84563.18490683069,9827.48755636239,43952.170899193814,43952.58621112122,4207.769350216834,11756.833998091663,27.248308446130064,11757.384291153132,45649.2359489383,4207.626662005893,36404.67881553006,96.32,45649.38637307284,96.32,27.251845068827468,0.8011617973387076,2510.5768327117617
200,1928.1418288682196,9828.20556111866,0.8018371678587065,36404.16960122103,84559.80714537547,2511.5306730920465,1928.1476489219976,84559.91146440223,9827.617984189232,43952.11660448539,43951.78777954607,4207.688186568771,11759.598155131025,27.255937528111236,11759.533559126328,45648.51957705116,4207.751396817744,36403.3056861457,96.32000000000002,45648.85326458161,96.32000000000002,27.257392839979605,0.8019083053184723,2511.519659743012
300,1928.1529479352062,9829.255103692962,0.8026580936301037,36403.69516023896,84558.2909551493,2511.885653788718,1928.093834113897,84557.36958672928,9828.15431275389,43951.500340761886,43951.21727225112,4208.744673449571,11761.8701514215,27.26276407237298,11762.099964370229,45648.0557009553,4208.570342421199,36403.26567132377,96.32000000000004,45648.06999824178,96.32000000000004,27.263703257560557,0.8028781073292245,2512.1972651537717
400,1928.0942714752916,9829.001657417171,0.8034263051101316,36402.26452140548,84555.07143466698,2512.547091164332,1928.0612310178246,84555.65049548035,9829.043205868424,43950.54135965429,43950.56763929825,4208.931212524949,11764.24440851823,27.26883583034331,11765.08237245047,45647.58995174804,4208.925668775397,36401.98936284352,96.32000000000006,45647.34391211652,96.32000000000006,27.273633918676786,0.8037195730733299,2512.4981367227047
500,1928.0287846540662,9829.64613119409,0.8042413718266084,36401.584381109904,84553.29339847568,2513.0256181731224,1928.030662743026,84553.28488804273,9829.652099767978,43949.9100684718,43950.06492662129,4209.509129939243,11767.293858388244,27.274926560373643,11766.44213188227,45646.73617086434,4209.748757085227,36402.327714049956,96.32000000000006,45647.13975282336,96.32000000000006,27.278529444732733,0.8045247459661677,2513.0899916919934
600,1927.9731633006668,9830.798880385102,0.8049935324814225,36401.058509602015,84550.99329668802,2513.3953497669463,1927.9991574871876,84551.31230798094,9831.105234729832,43949.051547752155,43949.540862124355,4210.221456096108,11769.315499216827,27.28522418512608,11768.451917738537,45646.48241221876,4210.84768349675,36401.20287480088,96.32000000000006,45646.55992931221,96.32000000000008,27.2864733231467,0.8049522294650149,2513.6223078177013
700,1927.9249144875296,9831.938262519729,0.8057037552900088,36399.65319672723,84548.52130414761,2514.02366209112,1927.9451612011605,84548.01556227017,9831.664255186104,43948.47241484577,43949.040617597675,4211.030044995653,11771.808026740826,27.28727088861529,11771.849961601494,45645.81585522598,4211.084431887875,36399.58243754115,96.32000000000008,45645.82820984002,96.3200000000001,27.29079320229089,0.8056843233712103,2513.893837883672
800,1927.92940758813,9832.568635687941,0.8063396776046676,36399.31043366356,84547.53017247819,2514.584006270371,1927.9101545706337,84545.55745921603,9832.69105398564,43948.26467050726,43947.70612222366,4211.797781674858,11773.560094814577,27.295189165467708,11773.217127590056,45645.49167931081,4212.149514284666,36398.90561390516,96.3200000000001,45645.464351047136,96.3200000000001,27.29144007038267,0.8061986979531865,2514.3575003218757
900,1927.868932876384,9834.534222958406,0.8068430143344338,36397.77251920098,84545.45983145901,2514.746659293931,1927.8363596290744,84544.45194385322,9833.924344865134,43947.53327459584,43947.263930021334,4212.7167557674165,11774.166374640678,27.297502731621364,11774.359937241836,45645.24606754263,4212.911235210852,36398.24451443692,96.32000000000012,45645.06565112125,96.3200000000001,27.29749696609061,0.8067122612969632,2515.1806102325104
