miliseconds,PA_D_Cytosol,PABCa_D_Cytosol,h_D_ERM,PABMg_D_Cytosol,CG_D_Cytosol,D28kB_D_Cytosol,PA_Cytosol,CG_Cytosol,PABCa_Cytosol,D28k_high_Cytosol,D28k_high_D_Cytosol,D28kB_high_D_Cytosol,CGB_D_Cytosol,Ca_D_Cytosol,CGB_Cytosol,D28k_Cytosol,D28kB_high_Cytosol,PABMg_Cytosol,IP3_Cytosol,D28k_D_Cytosol,IP3_D_Cytosol,Ca_Cytosol,h_ERM,D28kB_Cytosol
0,1928.1854648061833,9828.136133619797,0.8000683242619492,36404.026831428884,84567.19812287486,2510.183224190284,1928.2093474832193,84566.61924803062,9827.654508100153,43952.42403656043,43952.45418092397,4207.615126525816,11753.982896766489,27.09062049763652,11753.451134641786,45650.0728962753,4207.040052903521,36404.05136810587,96.32,45649.80039569586,96.32,27.089781811005224,0.8000576110933869,2509.9986480413677
100,1928.164639547112,9828.312012120221,0.8008733401104449,36403.9109921997,84563.6583360675,2510.8793508720114,1928.1501667333584,84563.68144610952,9827.597511412401,43952.43400942896,43952.31067759424,4207.588281675321,11756.336583858922,27.249668051603106,11757.607646370143,45649.437524058114,4207.505406198013,36404.07921941414,96.32,45649.49835187025,96.32,27.249422196926528,0.8009197015046798,2510.8340316756316
200,1928.162301547017,9828.262882153573,0.8019686826042302,36403.91173224425,84559.79452238233,2511.1553770739847,1928.1320091133414,84560.2342675044,9827.553252784688,43951.848758497676,43952.226109563686,4208.245449236154,11760.271994785766,27.261270792074768,11760.643109551202,45648.44124433005,4208.0090997886045,36403.203042173554,96.32000000000002,45648.55049769016,96.32000000000002,27.25919470740768,0.8019825754814539,2511.610634242158
300,1928.1058612030536,9829.251516909966,0.8026371641665325,36403.38271566802,84556.73966326786,2512.0604621128837,1928.1217325854714,84557.41286741222,9828.068757336816,43951.17610358114,43951.445433000954,4208.75814116869,11762.431604837606,27.267874383795025,11762.857185822679,45648.22662867645,4208.608551726206,36402.609370280545,96.32000000000004,45648.17611205713,96.32000000000004,27.26623100965989,0.8028197471780664,2512.0283490835427
400,1928.109527832581,9829.876071259061,0.8036261493531912,36402.42905073643,84554.36088171149,2512.6191538626485,1928.0836856248163,84555.45273040148,9829.967248245754,43950.681638190006,43950.841535364976,4208.893688851128,11764.721007355796,27.271124733183118,11764.52003151613,45647.28083904132,4209.441753941843,36401.96722357422,96.32000000000006,45647.64608187085,96.32000000000006,27.27476681899222,0.8037623525776175,2512.459105689769
500,1928.0167527097972,9829.839131721146,0.8043987751348318,36402.25066501538,84552.9032046673,2513.0150501436715,1928.0453901305127,84552.98160504123,9830.631329789074,43950.17883641919,43949.91240589447,4209.521171443673,11767.564721409171,27.27750241378692,11767.161853949703,45646.94776394293,4210.02507320391,36401.147673844716,96.32000000000006,45647.10012690686,96.32000000000006,27.27883444915796,0.8043990348536877,2512.9710181505357
600,1928.0149530371084,9831.258270282538,0.8048844603952766,36400.862379894905,84550.66851629975,2513.4498587268477,1927.9862111419159,84550.90167450442,9831.135779689523,43949.27458464644,43949.46681194857,4210.8536884119385,11769.60347615506,27.284854698918778,11769.067300972869,45646.30983253971,4210.48856612872,36401.19565253807,96.32000000000006,45646.368913587336,96.32000000000008,27.28642424712788,0.8052175767589635,2513.665365283764
700,1927.949340303126,9831.442160844525,0.805848913936305,36400.57445695893,84547.7716636306,2514.053700179079,1927.9570511362188,84547.846612086,9831.483119916611,43948.35382168334,43948.6951622844,4211.094256388898,11771.99932500668,27.29078842222038,11770.584320016267,45645.9640466566,4211.062222290313,36400.11688483943,96.32000000000008,45645.82946412291,96.3200000000001,27.287735629559823,0.8058780219833162,2513.91102395819
800,1927.8907815516236,9833.2985932985,0.8061072611671064,36399.2795540966,84546.44000328364,2514.56198727452,1927.9133837197935,84546.89965041734,9832.516536465564,43947.785504349245,43947.767581571534,4212.003150344313,11772.377863547574,27.294844796599516,11772.462611796751,45645.34471820583,4212.196292477845,36398.60671113286,96.3200000000001,45645.34321358863,96.3200000000001,27.2915670952625,0.8061469520068207,2514.286699266921
900,1927.8540189986318,9833.380742862646,0.8068161335748222,36398.595575110136,84545.01600693943,2514.7402983156,1927.8597312359157,84545.61407478397,9833.96606989578,43947.231011850956,43947.691630976944,4212.346684637674,11775.695498389696,27.298329322450005,11775.507677865378,45645.13903347781,4213.023840940772,36398.69266675989,96.32000000000012,45645.17491404771,96.3200000000001,27.29797902394222,0.8068059875394892,2515.063670524726
1000,1927.8010492807753,9835.23126564842,0.8073945612939731,36397.8332322721,84544.16079512515,2515.2855208711553,1927.764758664929,84543.88933658002,9834.591435787825,43946.83347219313,43946.56679166725,4213.224368259213,11777.12512931349,27.30497970067472,11777.996124662828,45644.63077170699,4213.084335853278,36397.18212249747,96.32000000000012,45644.71319705977,96.32000000000012,27.305243250899515,0.8075538118624189,2515.381817690542
1100,1927.7369995440968,9835.585874269991,0.8079150377253832,36396.730885817866,84542.05649971931,2515.474557806406,1927.713372619175,84540.339858929,9835.813128826005,43945.774695508124,43945.86109543821,4213.839118018673,11778.690330585841,27.309073241104056,11779.687111859406,45644.4690128945,4214.11887974645,36395.7817989406,96.32000000000012,45644.352988472136,96.32000000000012,27.30934941871092,0.8079252713602098,2515.821246965166
1200,1927.718925772533,9836.821823347687,0.8085205173069426,36395.819284991405,84539.13354516674,2516.1774720110934,1927.6803367275604,84539.63376398016,9837.10172752208,43945.62590414254,43945.473429345795,4214.885114509527,11780.3479346331,27.30925813321937,11781.213206998369,45644.103864472185,4214.706495020867,36394.76241475751,96.32000000000012,45644.12224956043,96.32000000000012,27.314727683334663,0.8085364049823117,2516.2843159971026
1300,1927.6417857923475,9838.538601304457,0.8089328660513854,36393.992853864685,84539.20192433901,2516.526243560804,1927.6041349215006,84537.96940212286,9837.52413754702,43944.80678890102,43944.763985353406,4214.949058087728,11781.977894047192,27.31524357478503,11781.471830491224,45643.72118256959,4215.347192662497,36393.66994009309,96.32000000000012,45643.607701237604,96.32000000000012,27.318877518230543,0.8088666597883101,2516.443895313459
1400,1927.5836407346453,9838.8682427715,0.8091812821902108,36393.277612099635,84535.9965114527,2516.6528579649826,1927.610073375873,84535.5062019839,9839.098697192834,43944.35906652072,43944.326107956695,4215.467385446331,11783.694796780908,27.322284192339083,11783.5568326345,45643.421980191495,4215.699671805224,36393.27412787405,96.32000000000012,45643.40782532048,96.32000000000012,27.320458282289426,0.8092701965815303,2516.910370366833
1500,1927.5606634953504,9839.497461781944,0.80945708834057,36392.47856018016,84534.10571566399,2517.225730255892,1927.5049906453485,84535.25042226586,9840.490839898644,43943.44142021814,43943.81575428788,4216.282719276178,11785.0171861862,27.32680388383653,11786.32152263102,45642.75260278689,4216.519564164295,36391.841502418276,96.32000000000014,45643.06176320371,96.32000000000012,27.326308023931965,0.8097519355803542,2517.4453698110256
1600,1927.5097076812092,9840.670751228514,0.8099187587245515,36391.5777966623,84532.80365184852,2517.3402094733483,1927.498022986894,84532.42785696458,9840.685066568372,43942.536382934006,43942.973353054724,4216.850395288681,11786.051206188211,27.328787168018398,11787.163789103366,45642.32544020901,4216.937695041527,36390.85942489699,96.32000000000012,45642.590472904296,96.32000000000012,27.33249123826939,0.8098231141712796,2517.8605813203662
1700,1927.46086138815,9842.211479627413,0.8104232378572588,36391.147497023405,84532.63498476575,2517.912010179287,1927.4293660988574,84532.06933094891,9842.254973524534,43942.442300144816,43942.40084544962,4217.630716321473,11787.986019145277,27.334332032644966,11788.91630410109,45641.98341157104,4217.385933522626,36390.15446960942,96.32000000000012,45641.98335711238,96.32000000000012,27.331505042669793,0.8102267369304182,2518.035105072206
1800,1927.3846907782274,9842.759670743508,0.810549924214837,36390.049089169544,84530.53652562267,2518.0472688972545,1927.3681287417894,84530.6756603606,9843.428953181387,43941.54424200332,43942.11363430087,4217.773983815399,11789.89798430052,27.3357023233269,11790.639525130953,45641.755446995456,4218.079831963191,36389.108178304654,96.32000000000012,45642.02620937878,96.32000000000012,27.337995087070038,0.8104547888567964,2518.4506312995277
1900,1927.3428671715699,9843.87030735566,0.8109391578464609,36388.27261716323,84528.97934123865,2518.340026365219,1927.3183528165107,84527.80361105147,9844.381585732908,43941.066005998815,43941.0306505108,4218.370711496645,11791.721445980631,27.339672033389167,11792.172620218958,45641.70908164154,4218.770763831892,36388.14501737663,96.32000000000012,45641.63305862478,96.32000000000012,27.34382454165708,0.810704100485026,2518.484535427832
2000,1927.3027353804964,9845.01296037939,0.8111514761097922,36387.45378400967,84528.31262357764,2518.972461837693,1927.2755985645824,84528.03869925115,9844.7015062317,43940.358486290555,43940.64537013845,4219.109525245066,11791.9961171356,27.345338736911557,11791.910046541472,45641.08910189908,4219.430472954588,36387.07841509251,96.32000000000012,45641.23494210322,96.32000000000012,27.34473617103956,0.8110232358362038,2518.967823782127
2100,1927.219907749677,9845.709087396324,0.8113782815665502,36387.37581035853,84526.40423687494,2518.960404130358,1927.2215102577454,84525.25285410033,9845.722831841349,43939.804289112835,43940.5341044293,4219.451857457248,11792.606132851677,27.34564978456359,11793.247562254679,45640.706914856375,4219.5631555487025,36387.00020075872,96.32000000000014,45640.955142802704,96.32000000000014,27.347018049053656,0.8114317025056512,2519.5704420308407
2200,1927.1841661323754,9847.313596269809,0.8114535007018103,36385.76864062563,84525.54781615635,2519.44151197818,1927.1810111212837,84524.31344564496,9846.684449449634,43939.63341743687,43939.909629921814,4219.975509925054,11795.405932803505,27.34841687730024,11794.576863135622,45640.47771731428,4220.620579380158,36386.34509690524,96.32000000000014,45640.48494873802,96.32000000000014,27.35137034204453,0.8113788746580298,2519.8982650830003
2300,1927.1624556509973,9847.894257056827,0.8117114578478664,36385.762009556594,84523.15972191955,2519.6022050499064,1927.1328194249932,84522.22821813183,9847.575328205307,43938.797157683395,43939.39794553766,4220.921276400648,11796.288990168076,27.3513951949778,11797.269437168727,45640.12864872162,4220.96857724999,36385.50548641417,96.32000000000014,45640.37029627476,96.32000000000014,27.357999702805568,0.8118517410447756,2519.7936329108347
2400,1927.1189926508948,9848.246301761945,0.8119484603524865,36384.10454544558,84523.0354999237,2519.90152947671,1927.1238382240383,84522.28813438842,9848.97308901474,43938.46628383415,43939.10009686429,4221.363579463015,11797.185280150597,27.358881227264185,11797.972589119783,45639.917449321016,4221.172102142453,36383.66585573354,96.32000000000014,45639.736785772635,96.32000000000014,27.36034478464981,0.8118818366657525,2520.1743007438736
2500,1927.0591244086909,9849.549511781564,0.8123201063974779,36383.216974742485,84521.34021734017,2520.1383507244195,1927.0429569889022,84520.8169485582,9849.91482425194,43938.100561110696,43938.362168386404,4221.711022271449,11798.766010553893,27.362131411177078,11799.645991225489,45639.647850169604,4222.154737572579,36383.62546358192,96.32000000000014,45639.80307456351,96.32000000000014,27.366052716850724,0.8120272357659184,2520.4969594005047
2600,1927.0130387375957,9849.670792889463,0.8124826152623168,36382.962844693146,84520.05251626667,2520.772687076763,1927.0019705456527,84518.80198338545,9850.955949359884,43937.49434721734,43937.904956425205,4222.4335284910885,11799.196807307857,27.361086823244047,11800.9856065734,45639.19242568612,4222.454543360134,36381.95313907717,96.32000000000014,45639.573173791694,96.32000000000014,27.368533144574087,0.8121811675920089,2521.0926940315094
2700,1926.9715617524862,9851.586995450252,0.8125250042516922,36382.01474075457,84518.29787326645,2521.01665103288,1926.9326027520142,84517.72640598124,9851.737657044692,43937.503968751036,43937.42197007798,4222.83561087815,11801.088144289572,27.369221014132815,11802.354886352286,45638.94697124312,4222.920338356935,36381.74931980344,96.32000000000014,45639.06337591338,96.32000000000014,27.371101237737296,0.8123179522254121,2521.307184673448
2800,1926.9381205936193,9851.517276497561,0.8126504478126312,36380.70614308949,84517.43204018984,2520.969768210363,1926.9275054729183,84517.2530745585,9852.26812221381,43936.79526345086,43936.69046384735,4223.016655395296,11802.469261233658,27.370276618125153,11802.99130754719,45638.72504784296,4223.339572015924,36381.33002508351,96.32000000000014,45638.903178017026,96.32000000000014,27.371612108047447,0.8125792949168483,2521.585320846729
2900,1926.919358643351,9852.219144375907,0.8127530590006191,36379.89810070174,84516.14110166226,2521.2854025422566,1926.9049056152928,84515.34808304618,9853.389440319703,43936.186307425276,43936.4664074841,4223.271342002866,11802.811799785108,27.371786219169216,11805.1693238136,45638.41573284015,4223.31112438835,36379.74760003377,96.32000000000014,45638.508231017775,96.32000000000014,27.374626172466407,0.812602926455564,2521.4878212498465
