miliseconds,PA_D_Cytosol,PABCa_D_Cytosol,h_D_ERM,PABMg_D_Cytosol,CG_D_Cytosol,D28kB_D_Cytosol,PA_Cytosol,CG_Cytosol,PABCa_Cytosol,D28k_high_Cytosol,D28k_high_D_Cytosol,D28kB_high_D_Cytosol,CGB_D_Cytosol,Ca_D_Cytosol,CGB_Cytosol,D28k_Cytosol,D28kB_high_Cytosol,PABMg_Cytosol,IP3_Cytosol,D28k_D_Cytosol,IP3_D_Cytosol,Ca_Cytosol,h_ERM,D28kB_Cytosol
0,1928.2012051494228,9827.84365719557,0.8001767883600746,36403.98147772382,84566.5196513548,2510.241894425856,1928.2197590659682,84566.99509311646,9827.661910161576,43952.698964675954,43952.690638677974,4207.363991003676,11754.12353504234,27.087143788782967,11753.330844861777,45650.068171441744,4207.681479958294,36404.1167058826,96.32,45650.10805822479,96.32,27.088368789784266,0.8001347660898427,2509.965900773981
100,1928.1734545721465,9827.808781147896,0.8010052495539686,36404.67558879148,84563.75086725758,2510.8617101097343,1928.1665790854795,84562.32358825873,9827.132778337853,43952.666399057925,43952.361848101995,4207.663752345959,11756.824535752645,27.248869121817386,11756.653415602514,45649.198566377636,4207.309268227795,36404.18555297608,96.32,45649.19500476097,96.32,27.25167336390974,0.8011599232035947,2510.892550800125
200,1928.1304495692032,9827.98202966857,0.8018301466248867,36404.053978255746,84560.13196791876,2511.5659620046713,1928.1604875872356,84560.1219829545,9828.432072221614,43951.77777452714,43952.02895681094,4207.660271274658,11760.564365613453,27.261189552886268,11759.016602473297,45648.833133935164,4208.267141552213,36403.965675940526,96.32000000000002,45648.82318932637,96.32000000000002,27.25840793311064,0.8020283649810125,2511.1933991540004
300,1928.1474942256825,9829.00744905532,0.8029040187509091,36402.86094950181,84558.25666695827,2512.108851308596,1928.1372634859613,84558.20652350636,9829.086531740622,43951.65609540246,43951.664371951214,4208.767159949982,11762.743739724137,27.263344990393094,11763.590872766248,45647.82307310449,4208.581239375501,36403.787508330395,96.32000000000004,45647.921332449776,96.32000000000004,27.262618948452417,0.8029519873884787,2511.7797399614356
400,1928.0733160568166,9829.496678537746,0.8036046116792148,36402.160307544604,84554.06767346739,2512.6435666147345,1928.1019948610137,84554.4290482854,9829.159450651918,43950.8225796918,43950.60096069247,4208.842305552233,11764.357105688101,27.274517985778882,11764.56334148518,45647.665517717,4209.22366821342,36402.08966769162,96.32000000000006,45647.42222028497,96.32000000000006,27.27253688224386,0.8035200170935449,2512.4242375293434
500,1928.0640522435176,9830.414641008469,0.8042590215228985,36402.32437019436,84552.95847555195,2513.136255870624,1928.0641218165795,84553.51018421783,9830.318867493967,43949.9925802435,43950.080646850976,4209.658126842591,11766.937485219525,27.27945158462846,11767.237887271358,45646.79629948994,4209.873078584171,36402.136536437996,96.32000000000006,45646.87032157652,96.32000000000006,27.278184415907432,0.804407359710993,2513.175199109627
600,1928.0087926339515,9831.635110953172,0.8051515321641814,36400.42369195433,84551.28165742099,2513.699549839425,1927.9684934755971,84550.8860218358,9830.924317527337,43949.77699456552,43949.65123909274,4210.685853970744,11769.461751306895,27.28402860147677,11769.307820163936,45646.577395003755,4210.773515711294,36400.60341407829,96.32000000000006,45646.24892354726,96.32000000000008,27.2856301677005,0.8048600355145747,2513.396984513753
700,1927.9521297025622,9832.128507838966,0.8056058750586799,36399.52159751306,84549.59327651984,2513.8749547349876,1927.961824770319,84548.60648101348,9832.193778121082,43948.64240763329,43948.84858824482,4211.100282560044,11770.730676481004,27.2877014738385,11771.972213655661,45646.06403128659,4211.421103722677,36400.0531617279,96.32000000000008,45646.07159856756,96.3200000000001,27.287126713817347,0.8058222259333025,2514.2563925142504
800,1927.921932258246,9833.198705073992,0.8064501739714127,36398.92994751629,84547.84186597187,2514.408076993845,1927.9212295163156,84546.59884280869,9833.226193371223,43947.93071636371,43948.37485943722,4212.074006293467,11772.294557465322,27.292826137271692,11773.358653553643,45645.45246467431,4212.224315255402,36398.72184965443,96.3200000000001,45645.62704169246,96.3200000000001,27.293718743664602,0.8061614946286478,2514.4922656702934
900,1927.8494948084426,9833.551936544722,0.8067947675230642,36398.046668158364,84544.07368650762,2514.7306251740474,1927.8178312119942,84545.104754622,9834.425370884139,43947.53390039255,43947.22847611759,4212.587208866917,11774.309509592142,27.296349977751465,11774.979853463667,45645.08844869009,4212.514471250188,36397.78176342575,96.32000000000012,45645.334975404396,96.3200000000001,27.297724770231863,0.8070278012863294,2514.827503968861
