miliseconds,U,M,E
0,888505.2931680027,1.0,0.008359019105095308
100,220687.8698920583,1.0,0.04010043947290728
200,2094200.487286631,1.0,0.09276231097040794
300,889598.490930822,1.0,0.10338752736421043
400,2036896.3333306941,1.0,0.13948225078046386
500,1110185.549148438,1.0,0.1858155863624577
600,1710884.492478069,1.0,0.23328118922392632
700,2250322.8476261734,1.0,0.25882197905322873
800,1514110.5844793026,1.0,0.28763721406132475
900,2298365.5012206794,1.0,0.3276174292154329
1000,2976104.0496978955,1.0,0.3683750230024155
1100,2590434.4689233755,1.0,0.3973511215934977
1200,2434575.37452468,1.0,0.4332722714420616
1300,2921613.01940753,1.0,0.48260797255210375
1400,3336469.7088755723,1.0,0.5023431220368623
1500,3677479.0504999924,1.0,0.534053382641676
1600,4399089.9933378305,1.0,0.5963089861371357
1700,4048490.3272955427,1.0,0.6221802317818529
1800,5262806.262632734,1.0,0.6330632473304261
1900,4867266.836921281,1.0,0.6879715636707465
2000,5432288.029616736,1.0,0.7099257004895329
2100,6564357.898730515,1.0,0.7457007651951214
2200,8213372.177094171,1.0,0.7667526631743284
2300,8447208.51438143,1.0,0.8123146565643785
2400,9649772.13820022,1.0,0.8082863439948511
2500,9669489.636656787,1.0,0.8605381741490978
2600,10346147.039003931,1.0,0.8910421848700897
2700,10798332.974978656,1.0,0.9184988179049421
2800,11979117.150279514,1.0,0.9478714073656429
2900,13593375.457219511,1.0,0.9631915337366054
3000,15273372.746578744,1.0,0.967044466015618
3100,16610370.946152166,1.0,1.0111305177445469
3200,18098164.95179723,1.0,1.0351112107352476
3300,18496510.07115354,1.0,1.0280677268370266
3400,19941384.611698914,1.0,1.0550001442602654
3500,23228857.56394235,1.0,1.0795581854091307
3600,24389091.49339117,1.0,1.1017419727236164
3700,26682113.81986771,1.0,1.1153727716020578
3800,27956223.60366471,1.0,1.1384041358862582
3900,31035139.891703583,1.0,1.1525466298898353
4000,34116419.18567127,1.0,1.1650492662047727
4100,35811407.148211576,1.0,1.1461414905655898
4200,39072241.877570935,1.0,1.158983564777155
4300,42165183.73896624,1.0,1.16850478251884
4400,45090454.506401464,1.0,1.1748334715990563
4500,47620349.92272553,1.0,1.1665763441173198
4600,50861116.07674349,1.0,1.1741141196988811
4700,54854187.91262316,1.0,1.1735733409720706
4800,58219105.34302206,1.0,1.1663420831727638
4900,62488547.5521801,1.0,1.159058932854598
5000,65206460.722505115,1.0,1.1648149598306363
