milliseconds,U,M,E
0,439726.1147986812,1.0,0.017071231860980658
100,763445.8692111055,1.0,0.053575688030613085
200,549912.9153733134,1.0,0.07954807573874983
300,546720.9964120355,1.0,0.10210674833439023
400,1230251.1793930857,1.0,0.1494000020757485
500,1945208.9236623999,1.0,0.2111520362277327
600,1600369.1522741118,1.0,0.22064308237996996
700,1353792.73792037,1.0,0.26111690880621913
800,1318559.778063403,1.0,0.2889126070215159
900,1678892.660046577,1.0,0.3308941727221313
1000,3180085.44881008,1.0,0.37122536266656714
1100,2348487.9460725784,1.0,0.42205303530768556
1200,2155106.251339509,1.0,0.4588317112145662
1300,2960968.917092357,1.0,0.49202520239593567
1400,4047097.8179997527,1.0,0.51684832692491
1500,4761391.2697794195,1.0,0.541124796068724
1600,4531003.898299925,1.0,0.5693325410833111
1700,3925086.679342554,1.0,0.6148778408094032
1800,5371659.934357157,1.0,0.6323357578505862
1900,6113199.5648388555,1.0,0.66655987318244
2000,6166286.239467041,1.0,0.7256485093614231
2100,6441248.968089487,1.0,0.7244599221632926
2200,6681814.201240451,1.0,0.7794744016162655
2300,8600183.953328576,1.0,0.8088169546911467
2400,8910462.159706172,1.0,0.8311174835088556
2500,9997562.970393011,1.0,0.8660352895192868
2600,9855704.542649534,1.0,0.8852204123071312
2700,11595108.991283057,1.0,0.9162630752034999
2800,13398501.381159762,1.0,0.950413437861359
2900,13333477.084276821,1.0,0.9403287361488156
3000,15042330.185128495,1.0,0.9841056342137213
3100,16167475.331234654,1.0,1.0165770274437724
3200,18163266.27975779,1.0,1.0353433869969768
3300,19789346.227079913,1.0,1.0378273250253172
3400,20020595.32037443,1.0,1.0764022969129143
3500,22688729.67226805,1.0,1.0755123082493083
3600,23469446.404212207,1.0,1.0860825466849817
3700,26884002.867651965,1.0,1.1265090663484665
3800,28715534.644221418,1.0,1.110867402521457
3900,30058463.549121615,1.0,1.1187647095440094
4000,34063099.25496624,1.0,1.1489120405812465
4100,35589917.58152028,1.0,1.1573227693788453
4200,38652943.038106814,1.0,1.1457985579727494
4300,42195077.541680515,1.0,1.1678765534921243
4400,45188533.61708396,1.0,1.1656996416933203
4500,47210901.43382633,1.0,1.1796859267953506
4600,51592509.5267391,1.0,1.1657036307908597
4700,55259986.926138625,1.0,1.164010481996926
4800,57562654.23754445,1.0,1.1808914337533931
4900,62593063.630943865,1.0,1.1612773296615126
5000,65967196.847062856,1.0,1.1598434700171039
