miliseconds,U,M,E
0,270778.35243503214,1.0,0.0048770935019980385
100,612522.0053635504,1.0,0.029353494315880295
200,1871450.5635933925,1.0,0.08731488100751508
300,1970972.9608232235,1.0,0.11393518065106978
400,1534649.3796273656,1.0,0.16296056312865317
500,1523650.0124046814,1.0,0.17580342303730379
600,1848669.0520418512,1.0,0.22131386501003733
700,2287390.7523735096,1.0,0.2807097897060151
800,1340556.275017364,1.0,0.317918537103886
900,2642669.4186757244,1.0,0.33291506011827815
1000,2285693.941592019,1.0,0.3630686330576129
1100,3432551.3067214983,1.0,0.42251831795221184
1200,3554265.631670345,1.0,0.4579621176190118
1300,2772145.502691522,1.0,0.46886338563891633
1400,3751750.585386364,1.0,0.5223564747287889
1500,3257042.31436125,1.0,0.5650261984470389
1600,4535761.299314624,1.0,0.5776476515106944
1700,4779534.277098616,1.0,0.6193085724854914
1800,5556533.51968918,1.0,0.6445364287759212
1900,5765389.67352529,1.0,0.6684302610637045
2000,6418203.948872126,1.0,0.7024794781326348
2100,6583686.394047275,1.0,0.7307163454543749
2200,8256649.703398583,1.0,0.7801086550935328
2300,8511102.0938292,1.0,0.8054018423264199
2400,9436134.041438267,1.0,0.8123698879839361
2500,9532420.891148878,1.0,0.8456720964870993
2600,10472998.352495011,1.0,0.8815633500219812
2700,11259726.095861504,1.0,0.9010563585330513
2800,13046469.697496511,1.0,0.9244685182397286
2900,14331530.143104874,1.0,0.9743329001104418
3000,15574419.656797884,1.0,0.9788745892593903
3100,16697658.940923277,1.0,1.0192789468020056
3200,17337471.67887933,1.0,1.0210961979567956
3300,19200419.740136463,1.0,1.0399040201675942
3400,19851179.9932326,1.0,1.052159131679519
3500,22319540.206943683,1.0,1.0845789489039817
3600,24697072.110281248,1.0,1.1104334655151227
3700,26100392.508635163,1.0,1.1206275878904366
3800,27840867.28526722,1.0,1.1251657565081383
3900,30301476.522566725,1.0,1.1520430761326506
4000,32899496.0257089,1.0,1.1472063694634647
4100,35493718.88682629,1.0,1.1459169269462306
4200,39210478.71379425,1.0,1.1788999839869403
4300,41205849.999214314,1.0,1.155375492748895
4400,44231223.68813531,1.0,1.1724276996349212
4500,48378358.3085703,1.0,1.1778144360106866
4600,50952721.0195724,1.0,1.1750161771117575
4700,54338683.32838798,1.0,1.1605566436682588
4800,57311371.72017796,1.0,1.1783206533782398
4900,60950084.660606794,1.0,1.1560862828049245
5000,65655828.94541789,1.0,1.1561513220809743
