miliseconds,U,M,E
0,1517728.0377961218,1.0,0.018700105919175723
100,1019107.5244634893,1.0,0.05188686970476997
200,1720942.7131754053,1.0,0.08283925918909794
300,686912.2556155716,1.0,0.11583466011336821
400,2259257.2861015853,1.0,0.1593067365602885
500,1255986.69468533,1.0,0.17527926752290116
600,1984645.7181252623,1.0,0.2208421769692299
700,1956383.5369132159,1.0,0.25138032166653906
800,2207944.045449034,1.0,0.2908335012076588
900,1798543.7505347459,1.0,0.324310757873812
1000,2081532.2361268748,1.0,0.36884780919367316
1100,2724668.7423521774,1.0,0.4232663731431783
1200,3448301.249987769,1.0,0.44148431834558194
1300,3847422.5624132003,1.0,0.49384695179722077
1400,3050358.6681931736,1.0,0.5149991509389213
1500,3173396.7360126763,1.0,0.5585007608631558
1600,4479296.445668834,1.0,0.5760074791222372
1700,4871785.400074653,1.0,0.6273966982459799
1800,5213252.575940303,1.0,0.6629636086933826
1900,6290379.138396681,1.0,0.6697708414477869
2000,6158131.959520916,1.0,0.6910235745316401
2100,6089438.916288677,1.0,0.7214329412811293
2200,7523647.417208324,1.0,0.7795427807476777
2300,8093011.209976223,1.0,0.7904943254944343
2400,9508883.883221675,1.0,0.8416193199888787
2500,8766566.352727998,1.0,0.8464635040801197
2600,9632215.826653413,1.0,0.8662356518849619
2700,11663611.437220713,1.0,0.9239610261264076
2800,13357768.614772456,1.0,0.9302805283914455
2900,13330536.494595284,1.0,0.9477153533478804
3000,14597416.098935079,1.0,0.972642954398321
3100,15657456.279562302,1.0,0.9953689238377939
3200,17687064.238528118,1.0,1.0159832665443165
3300,19194416.418665826,1.0,1.0523780679379884
3400,20866931.478850976,1.0,1.073622474225494
3500,21640236.94826927,1.0,1.0619604611740643
3600,24735663.954978507,1.0,1.1120331171429574
3700,25660559.155971646,1.0,1.1148718784899703
3800,28826997.35761053,1.0,1.1243621134722321
3900,30851833.974673152,1.0,1.1231615102189936
4000,33142639.085195098,1.0,1.1634478792209766
4100,36247951.89580643,1.0,1.1626825025809784
4200,39413802.60232907,1.0,1.1468387085484029
4300,41978067.39198161,1.0,1.1857696097495023
4400,44119738.67440206,1.0,1.1877137017115258
4500,48581231.41707349,1.0,1.188682670989673
4600,50780091.719081506,1.0,1.1886530579146628
4700,54448038.31544059,1.0,1.1839261298876482
4800,57321709.07768375,1.0,1.1759943801599935
4900,61858859.540553026,1.0,1.174928162233691
5000,66374749.10207336,1.0,1.1633648184764143
