milliseconds,U,M,E
0,1614024.705064034,1.0,-0.009492406893237345
100,1157706.922083641,1.0,0.026561998298277434
200,458097.694808595,1.0,0.08161726991044219
300,2222369.714498443,1.0,0.12872879281174907
400,2245719.9719051053,1.0,0.1689456404536801
500,1651512.568398466,1.0,0.18772174939061992
600,2552393.4289969676,1.0,0.2132645775155561
700,2728063.8436846267,1.0,0.2773183336596305
800,2590669.4537569797,1.0,0.2934211670862326
900,1610065.6443729303,1.0,0.3448794450946108
1000,2053598.1970709413,1.0,0.39365845114439624
1100,3014890.1889950717,1.0,0.4002562586161009
1200,3726595.7683011047,1.0,0.44099263249591814
1300,4154674.9964189185,1.0,0.46928941895431875
1400,3441909.908703749,1.0,0.5124762571041035
1500,4699409.57901118,1.0,0.546822389488281
1600,4418017.501276362,1.0,0.5935133778879198
1700,4405377.783447495,1.0,0.6030401446303819
1800,5386046.4026173875,1.0,0.6574164815736481
1900,5605337.730397297,1.0,0.6724124164092832
2000,6870242.146086047,1.0,0.696319107395877
2100,6183572.237749272,1.0,0.7215007332346267
2200,7952175.490258789,1.0,0.7780210811271561
2300,8750659.677132107,1.0,0.802670487091383
2400,8551393.90721447,1.0,0.8116625008456402
2500,10419446.794761892,1.0,0.8692189402264462
2600,11347467.396863742,1.0,0.8685695142823902
2700,10852499.628495181,1.0,0.9145422253714821
2800,13412848.306920506,1.0,0.9393503857906661
2900,14230642.704711864,1.0,0.9405878626512487
3000,15111119.041364597,1.0,0.9918023781881694
3100,16218612.571392737,1.0,0.9945808534535622
3200,18140683.818291463,1.0,1.0285141397351827
3300,18909966.547242448,1.0,1.0567367000149166
3400,21137553.23116855,1.0,1.0472778005424677
3500,22591139.8592627,1.0,1.0703358803496565
3600,23839097.42167689,1.0,1.1113370307053758
3700,26677280.92663087,1.0,1.1107541798318974
3800,27894068.659423087,1.0,1.115560448942941
3900,30619466.75512022,1.0,1.1439045886360877
4000,32565853.164290056,1.0,1.1409923930743673
4100,36520503.17949481,1.0,1.1401280071135966
4200,37897332.92585445,1.0,1.146455101554318
4300,40918924.86463155,1.0,1.1642387210738379
4400,44707724.068308786,1.0,1.1750127350909536
4500,47502978.95792475,1.0,1.1609380301426881
4600,50547641.4129774,1.0,1.170329787948715
4700,54940948.3200985,1.0,1.1669506898983046
4800,57174697.79163712,1.0,1.1720942238409888
4900,62434864.8502111,1.0,1.1536876067025492
5000,64884982.47898298,1.0,1.1387379127733963
