milliseconds,T,I,VI,VNI
0,217591.43792233057,1015453.0509095984,10158995.851500036,1013666.8654407483
100,204750.32809659303,1000916.5363922585,5484031.515621336,625959.1007442824
200,318759.3751625725,987423.0168893072,3273348.6500339787,441635.1777003478
300,420274.48339562607,939957.3284055749,1882850.6337247028,328728.4631062608
400,2237938.655740059,860362.7573768303,1308805.9712315975,256273.4961516576
500,2470766.2944432707,797275.360480429,718597.0874202417,199441.15859796805
600,2338767.445632389,753832.3959075205,563108.9847897852,169422.0049418676
700,3582307.118203825,697519.9696804626,509841.2371899822,160948.77153054948
800,2853125.43898151,631180.5023436904,390300.5041442164,136180.152708283
900,3681100.8677478074,577606.1578662393,88507.75932006966,131754.58400008644
1000,5487617.209908515,560467.597686978,298607.0558708608,116205.13394759002
1100,5138406.9522270765,494322.4514138676,304447.960726952,99738.65263343597
1200,5590958.938232516,476583.887116533,34041.96885403755,94484.04141235646
1300,7926713.169796977,433969.3620617978,258798.35827429467,101070.6762098778
1400,7982940.874016237,435931.7875221605,161213.35477803144,89577.75056137245
1500,10275337.924256282,391671.6078233253,21929.219375362474,75160.38832689612
1600,12565811.34918476,361753.4313028471,254413.5711726519,89048.47033470364
1700,13441721.503187858,343374.43539604207,149015.3373448153,69577.15255849982
1800,15764715.511795195,333671.33039590606,42743.124715488084,85527.29074862665
1900,18073896.817443803,352746.3571841248,143910.474745452,83165.78705297157
2000,19110485.88453763,314271.7781792787,14723.83855813487,57714.34213247403
2100,20961473.73922357,333352.80678219715,73061.13263244473,64674.43324636923
2200,22239170.267206952,324991.0690139684,93557.77317719901,74700.04828413742
2300,24212356.080671996,335071.29831280315,37759.88006718987,59998.316952556685
2400,25945292.92874734,311411.682028962,155800.6424339516,74026.07821326294
2500,26037795.40934806,297285.3382006376,185436.32585382424,76196.13624567591
2600,27056620.42845979,306177.63213901484,66596.96117866285,67900.69177528234
2700,30134357.028219182,310311.25250072323,243887.15210086745,75984.69338259549
2800,30827806.303385735,327348.4207260422,77433.26234866309,74927.15889992213
2900,31730862.445727892,332128.64796489937,115317.05620438553,76751.04975084937
3000,32143524.656035993,339771.53298593854,125042.84293057352,76977.18412793447
3100,32180289.240339708,360785.8911063514,14875.124369017663,60621.33824021511
3200,32377438.007784884,341948.6000713058,135297.06801608848,52541.931400308255
3300,34369827.55757665,359232.86793200794,138799.70615548233,55368.80872009413
3400,32404676.418267354,371140.94214433845,257464.15967339498,74770.63156718646
3500,33385604.504215736,369748.57614354073,108159.00584892863,61593.870697666964
3600,34389025.941697195,408528.50271001604,232454.76753098925,58129.59515234767
3700,33565686.06933899,405334.18717648246,29037.073947800804,85225.61360564643
3800,33627311.58880945,422271.55048258475,52095.266504863066,78041.38970947049
3900,35618056.74827213,436577.7428723702,80318.11216012496,69342.40195618605
4000,35319361.0049727,454288.93300456984,270637.900869097,67111.01782296527
4100,34425779.41643375,476989.02439522964,202872.5481814409,74325.43119409092
4200,36182001.71387734,486165.90872667904,228904.12777761178,79242.80009561215
4300,34361807.09259396,489621.72116348456,3869.578699500271,92969.98650043552
4400,35564086.55422521,518753.02212895657,-17882.993540376337,105711.21650812916
4500,35683986.33884911,535475.8892952701,13243.313019507113,86774.78330246866
4600,36127231.820943795,545195.6220958731,28399.161193390828,111657.03358244781
4700,35130766.18904004,547083.428974571,33733.20585644276,88594.81619448414
4800,35122928.32340609,586250.1769274808,-2054.9515038112004,108744.40918687606
4900,35737732.687653035,570252.6763313203,316094.9780335056,123984.28032257567
5000,35298257.87859864,599911.3092881279,169149.77456291905,127417.71247974675
