milliseconds,T,I,VI,VNI
0,1648061.2486850608,1004378.0333832673,10107003.459333817,993906.7013760096
100,892267.9738304846,994958.5990935552,5697460.352995759,621103.1167049225
200,2442308.344852397,989483.2245602418,3180772.923779342,423413.22354375815
300,270037.62541713426,918670.8903064149,1990990.1836172289,314255.3110402185
400,2877847.6271402612,865199.146912303,1004869.1460842654,245712.90347247082
500,2331072.440965993,802432.6996775537,660512.4965122397,217675.2287033492
600,1833929.7927710623,733882.684268435,488587.7565226719,184513.04186656055
700,2714103.7920286446,701770.5177261013,506843.85216966155,156446.52936118149
800,3770989.6108730542,649252.6440909709,214128.2745864393,160449.93968040345
900,3019563.917748237,593855.070020907,183759.24024885203,130784.69275272015
1000,5853569.296607022,533202.7132363177,154969.80893710823,129707.78112597758
1100,5198818.719154605,504280.1371274182,138006.26487293546,102579.76738832924
1200,6322652.291728857,473471.64964024886,140535.2246227928,118537.30793085945
1300,8680948.118516685,435048.84832404787,149981.44172778574,82297.74186475606
1400,9063311.88190894,409150.4266599448,162036.13269683183,84882.56831210345
1500,9390067.205441436,396787.37716780446,267901.19550537324,98003.00652514576
1600,12459553.182645341,382267.52033644513,159419.30460264432,74269.57685800667
1700,13728727.931064747,350334.29168949946,238292.3273125363,70002.45277513741
1800,16717748.042102527,355932.7277883877,159535.5501851642,71470.61280431865
1900,17647436.972616218,344229.3232671469,41194.447808148085,62694.51377076579
2000,19778414.955404576,329162.1528078345,173084.91305369878,66522.41608271771
2100,20507997.34544955,338797.6774523287,97390.80351408449,78052.22440242229
2200,23298779.181139197,301609.8494384623,49091.81136168693,57566.24024622538
2300,22673435.72236406,331314.94489884743,13952.552962139715,60548.12816390551
2400,26284164.634625703,333788.6534585502,177309.03435888595,67158.42464576678
2500,27078405.43570381,324013.33771736093,-37822.85752623335,59677.16731715329
2600,28541276.39487971,331674.9122779031,54782.61711658523,75442.02048693357
2700,29515427.80301701,328522.2650747199,46383.53721215888,60244.33432616901
2800,29001386.742782027,343437.37083024526,246865.91624192952,66801.39340261559
2900,30963515.535180185,336805.71998493775,122221.00068677819,57355.448360348724
3000,32512038.064019717,347139.3627313205,111348.92520485913,69968.74144850673
3100,32386202.37635606,342743.51301065687,130681.04399899695,63549.78171238075
3200,34027435.08121836,348824.09740359156,-45548.18922642371,61104.57228031881
3300,33375068.8125613,349166.42328184133,35363.334608503515,75371.52553643244
3400,33107457.54937054,364252.33013515844,183273.40706351062,68702.99451281378
3500,35192980.33955093,389530.53129611997,217313.92244405963,66237.57392534518
3600,34349681.091962054,378776.7616586949,39321.87512236388,70052.23477916459
3700,34019694.1942664,411540.0181263906,238032.08326709952,82335.67964688345
3800,34032115.26502735,400132.0845196393,260984.7414027953,63645.69915998253
3900,34909052.79971229,436138.679349951,241193.1632983926,84516.36180871588
4000,33656271.48100568,461823.1244962455,180148.40132719293,76477.20832532406
4100,35769476.57832651,471235.046260701,231089.96471928112,78839.45850268843
4200,34909569.594290465,465188.9544654428,66868.64007835582,91315.02404556586
4300,35816268.056873046,504684.1349183372,202818.54934218246,83012.08625263252
4400,34042350.3681909,502278.61309210287,209344.28129174464,88928.19807551499
4500,36249744.049111485,536447.2412739947,289067.8623384554,109840.33484491873
4600,34825342.514898576,537109.7264536058,263701.2165220915,111690.00261196823
4700,34362443.518831395,557826.5042938101,286169.5122384714,88093.30134529376
4800,34031610.67781604,569821.882349328,298924.60213476897,105568.15972354326
4900,35177158.24659403,588717.8991730958,288750.430152796,123549.94569255176
5000,34087844.73329424,599289.3643914304,65544.53915827755,124954.68566239062
