milliseconds,T,I,VI,VNI
0,-120569.51834201813,1011200.8125397518,10117877.870720003,998269.4505737245
100,1245204.7955180274,1011746.6439231995,5497789.9980982775,651866.2832124055
200,824554.2373121437,968764.1712078688,3097406.06066549,450031.16605050047
300,248860.34637817554,930641.9342418665,1775600.6076497524,337057.91940533806
400,2564237.795658166,881686.3694926534,992003.1166116021,263061.30455408036
500,2981253.896241196,795145.6470302945,707160.85950423,219319.44391102175
600,1744937.7383991843,742782.1785424554,519992.3996907962,199373.38308791752
700,3041740.2781066527,680766.7512953017,359516.783591083,167719.81264712499
800,4304293.004179405,627475.0780465145,344418.9495153504,137778.16039235427
900,3882445.0046263332,577941.6806536857,334887.4793383254,133020.7781271957
1000,5647674.786160471,549685.1822197757,285924.0031602462,132045.8917402448
1100,5960421.039641635,518844.12744360237,339079.9051421721,109176.43859551848
1200,7939986.718235724,463874.00265270466,303060.1192611869,91749.43605959712
1300,6978334.99915912,446919.6465668552,126738.75682025235,93029.16003682339
1400,10575326.987577615,410767.86471580627,288072.13908174017,80458.52239178486
1500,10589006.959908532,412229.5878146799,42821.560185891474,94278.53730218475
1600,12639289.198330484,362928.19271587225,130110.01588915802,67909.99714074419
1700,14122178.435220718,369715.4324511945,26163.785445687026,80081.4717729937
1800,14850291.502812061,344204.814804265,101484.54080266818,65104.29455893636
1900,18482523.108093772,332957.9415326091,26237.04898412952,66924.81271573053
2000,18484187.808972098,309073.09251242405,133956.3223590039,73489.29021114201
2100,20387070.412438326,322962.6273787156,169815.9601024688,64019.940062515976
2200,23609092.268705685,316448.2941519307,54746.99305968251,74424.64458624739
2300,23912852.222857755,329345.2295697915,3256.5966444460937,62326.35435916197
2400,25147656.551584687,319790.3333611164,48490.38197452122,63529.33288543377
2500,26166451.104730923,318973.03474699653,9878.066478957728,69189.03124238693
2600,29046875.966253012,319495.99394477095,72515.45475985351,57001.37584905181
2700,29572866.4845437,306324.4088969623,205092.13161634043,60123.05344820512
2800,30325936.403404433,319592.18241077795,114531.88064322509,58156.30458993419
2900,31764900.694383238,315965.73814871727,136164.15358030665,63950.86333330012
3000,32989378.888859317,343895.5067798269,112596.09896933405,77214.39272454497
3100,31691717.02215797,353279.60914849304,90501.32271251934,80919.24876172717
3200,33732598.18843231,348620.9629946852,124622.92807217147,70155.28001375875
3300,34085383.929712005,360155.039948477,1519.6142243171635,53384.90613554341
3400,33615502.96084307,383537.4972996016,44333.617471364625,78509.70519352022
3500,33088557.85933228,367036.85502992093,262309.65850898303,61383.07663816003
3600,35051864.32764589,379700.8321564243,172246.06067163282,70892.91933499121
3700,33370611.043319143,405939.90425445465,138119.37535981185,60054.47323790489
3800,34913799.393529885,410598.9099173339,27988.62159807938,84157.40935463751
3900,34116381.64569378,426300.81894241815,191782.91279409613,75426.35181003183
4000,35068639.77143872,442620.92210941424,239060.9227595416,88702.96195347836
4100,34289872.232119456,442697.3946358431,211878.071579087,84317.00830773271
4200,35301552.8832723,474501.76763222495,137577.55486692695,75898.74980028532
4300,34390429.13768121,491083.5512644127,124636.00877766323,83187.64280773618
4400,34111759.76194215,510173.984845614,54894.36662629015,106253.7682187992
4500,36541594.9912708,523240.8711424685,286181.74464917264,109508.22670308377
4600,34388026.89102633,539270.2880417727,16621.69367668082,93025.57316578152
4700,36451623.45681484,555078.0706087402,52637.36578092788,90312.29210143961
4800,35659697.709785655,556978.2927147769,125601.79350496651,115989.99495115662
4900,35971865.56040437,583264.0799875988,20770.569995671976,93743.68562803805
5000,36397113.196990736,616042.0143380737,40303.04083680584,121026.53492264869
