milliseconds,T,I,VI,VNI
0,991150.5168532156,1008069.6486146075,10100160.707286362,997070.5463470444
100,1929651.148677879,997682.9321896002,5641359.909411368,647719.5899395155
200,-25968.41561457957,992965.5268776958,3373996.22986538,429787.02416718315
300,2713207.1038626656,911994.2847708557,1790844.3545567454,315574.9994580793
400,1157894.4096532995,850230.9945638179,1251927.077100091,242329.19669926722
500,1054552.751380861,790236.9525840348,753894.6961800182,214256.96800811336
600,3269875.930180179,755787.1112978838,666137.6503064325,193067.71447866448
700,2027092.936767545,688653.5941409192,396708.64980661846,153586.5635092584
800,2740510.4488032917,652574.4584472937,449906.7021468038,157569.69207768637
900,5025021.613953928,584026.8785564478,374645.12554017437,128298.5020873163
1000,5793591.164855986,544219.8364808024,57174.2074992274,130063.40870214289
1100,4585564.725166289,524154.2274608611,341401.3806826271,111325.78786553745
1200,7582838.303838806,493225.47708037216,307094.08248411084,100149.2319424732
1300,7391154.019444464,438195.26013307314,263215.12057842955,90488.09974038793
1400,8069447.105399655,421850.2257560244,17403.173451518436,103251.34664792143
1500,9423279.802342882,377326.4556060981,32577.92338360558,86451.14213735047
1600,13155896.88500585,371716.5862366392,17733.347350289725,90708.43809478011
1700,13874765.303470405,374700.79520978825,13430.74092908563,68718.13456373771
1800,14604707.58425787,361114.6239048731,4859.941539973137,75261.03517009827
1900,15918067.226231806,331838.09383544774,239272.20318183728,61770.58287305316
2000,17759864.980813388,333878.0273220081,253983.78361988207,81157.13138900106
2100,20428046.7643898,340844.91735697095,205941.65364071666,71324.9170485533
2200,22423322.21407243,322579.40457242593,-28830.75535945069,55861.29776305896
2300,22958965.326991677,333402.28762191493,175318.69768305682,57111.364486070626
2400,25532046.23825451,296571.31976301165,98855.16111762672,62693.07921801787
2500,26017011.482667845,307863.14440341917,13038.476370156466,55893.75731004594
2600,28425602.340342775,308263.7467045704,1525.0886682457058,52161.97137242985
2700,29160780.577483106,311125.6540727617,75159.31880495536,65862.14343526334
2800,29781374.732951667,319948.9639302315,72028.89846559928,64986.12018986064
2900,30897742.360181753,328287.3276631377,-4923.990412464613,54554.37929567385
3000,32359528.531545047,321315.26386614644,-8970.1751305847,68087.57223871199
3100,31826134.546911415,361683.0774270444,106532.67365951432,49338.71332682857
3200,32100910.74773614,357954.1501552213,19121.140498253328,65935.52629366092
3300,34379054.14592481,378916.61909711553,157054.96639621895,74003.02252834832
3400,34128418.79900232,383611.35660846875,50440.73173675813,67664.15078879641
3500,34238696.89834536,397949.38407180656,93882.7581431613,62382.52338595114
3600,34290640.48073514,413939.978243219,129096.90742713859,82125.04877356773
3700,35173631.981670104,397539.99624558125,-6445.190365907765,77737.61986720008
3800,33545648.966651294,402317.5939933728,93199.09856247697,91207.48178593765
3900,33505770.98701546,445924.26455895,104548.49701624902,77776.0868447815
4000,34067179.776316896,426468.53764213366,213206.71811468806,94446.47549597854
4100,33953932.57186423,460377.5195222057,161926.27492134372,91300.20209823162
4200,35608795.71225654,465705.40649304155,38498.37216460511,78280.4146282869
4300,35946060.64354097,469791.38390919485,112244.88762623412,80490.58021676462
4400,35418478.153990574,508771.65745473263,239310.85088163914,97414.62724884113
4500,35972440.793185964,524994.1974418161,185333.57088054428,102472.99504542882
4600,34383892.77659368,545333.7828980818,238524.4032196336,103230.19169874808
4700,34170475.47272805,565177.2397614138,188738.2170685391,104527.82743562487
4800,35477412.12952815,572751.7418983254,181242.45162894684,96952.02111316707
4900,34579980.69910301,605375.1890701574,184463.94085228638,93630.64770324329
5000,36521309.16472169,601032.6892050157,102900.02140524598,123249.22943239473
