milliseconds,T,I,VI,VNI
0,692764.8859690502,984617.1511192718,9899585.867657488,987984.5262410254
100,2022752.0816032807,1008994.1990849555,5630269.867816714,631624.8593094781
200,778894.3462436637,961226.4551913339,3161215.8210336533,442318.0755514488
300,656775.3428393623,917574.4344052381,1897660.43855936,315189.0814830944
400,2485432.6290102787,856781.911968595,1152194.2815727976,245442.14715945855
500,2041890.318181482,800792.4651327817,807059.694077557,212781.47090727827
600,1889463.6705932394,762484.632205851,495662.8502955393,185506.47601396433
700,3454576.3329433417,701012.7580018427,395212.75211337727,160899.60270654323
800,3560811.7081843326,657446.592822986,417838.27666617086,155276.91190037047
900,5130122.756935281,575554.3366456446,242846.17340919396,141183.36736041264
1000,4271531.041987009,566149.702092744,186575.25489116035,128091.87980883874
1100,6521834.58844396,518363.82090803265,106913.25279738486,126971.42632962987
1200,7641133.387525719,472176.531245877,294501.7363020347,98688.62040251822
1300,9331554.405037286,430709.8429830497,63371.52378452064,101211.09502671793
1400,8532271.884611405,404441.0885080665,21494.329208729207,82939.16055740422
1500,9372217.454758877,376049.0291686599,90938.71028861249,87487.5367196089
1600,12506071.958689518,388972.9766239219,120639.96595883057,75917.4756829228
1700,13720186.810876466,352742.03211966733,143591.0643477263,65380.02612851087
1800,15096736.148200138,332637.07274815795,132994.13751009086,67235.81569471673
1900,17763143.90158595,320132.5666530559,-50551.69833571963,67945.26398142542
2000,17715261.545627017,343490.19970252545,152837.73280892824,54122.021968657165
2100,19732030.140551362,334393.5952871383,-14649.904296862893,74462.1427548507
2200,23447670.786015972,319191.0847429279,97877.15638225529,68447.92263246041
2300,23116435.14225809,310169.43848797504,250007.63779678318,54809.576031342694
2400,26093313.260093372,322671.2473149468,13925.567298022303,62754.96951067701
2500,26696283.638382487,297487.3764503671,241300.9718880501,74084.86667994918
2600,28204871.871274967,337865.4385605854,35971.74372121243,64904.79462772126
2700,29337448.491913352,323601.44595359487,41916.88974575461,54856.59574958472
2800,31174881.40258183,325181.48307786696,86004.47241302585,49549.19718603288
2900,30586740.58670304,328852.6566823042,217552.28362746933,73887.94878923194
3000,31561569.399072543,335296.0966605442,230734.95868232535,50958.71079542158
3100,32624617.510246374,365199.43616462115,227963.68436510058,56550.83243015077
3200,32808410.86188333,337249.38356951927,75582.13506870248,52563.826746686056
3300,32579384.88642356,376272.358699501,180207.56260214458,62934.50924664075
3400,33815018.43142581,365629.6035771166,-6384.510607152115,61684.646899841886
3500,32680904.929350685,399294.2820364845,73327.25611197876,60223.57797523791
3600,34641745.175971664,389248.7551144039,107674.86283259133,68216.66797359378
3700,33418721.243638054,417708.3244469782,9151.436645213122,74829.20965887938
3800,34908676.21018957,413052.10628242465,17791.798439030506,75585.6731324102
3900,35110047.06956257,424529.4462074868,-33797.470992053044,79971.96448395612
4000,35073452.40845621,429707.19303857593,38098.88683978144,97187.88503426866
4100,35354944.3444007,454481.60367084853,-9007.874230555739,73998.58492445658
4200,34023312.704377085,462849.515268645,-11679.779282023577,95113.98324939971
4300,34755547.36727916,473369.97710085765,222975.30495181459,83761.72578264696
4400,35234644.549657114,514157.50820953626,260795.5722813012,106876.78011543992
4500,35707454.43571457,520505.88668190443,119718.9352964871,110612.79131908863
4600,35968641.60876878,544281.1235090708,302012.6202757141,114361.44474215098
4700,35276004.15433122,555003.0231396032,81320.03808558713,116399.67508018798
4800,35009480.29834483,581046.2913470003,114808.38657008269,107046.85484814215
4900,35414648.95367535,605117.9555253258,310517.2945050032,101952.94031743743
5000,35623732.96539795,613365.2196965858,88490.10140848209,113282.95748806366
