milliseconds,uninfected_tumor_cells,infected_tumor_cells,virus_specific_CTLs
0,0.01,0.0001,0.0
100,0.010407773872543895,9.905551821108944e-05,0.0
200,0.010832137544060767,9.812198030465636e-05,0.0
300,0.011273781645709219,9.719934542155128e-05,0.0
400,0.011733422143639552,9.628755613632252e-05,0.0
500,0.012211792779995593,9.538655723825471e-05,0.0
600,0.012709651404708158,9.449629556027758e-05,0.0
700,0.013227792426435885,9.361672089773688e-05,0.0
800,0.013767024611520618,9.27477833955346e-05,0.0
900,0.014328211297762267,9.188943827405783e-05,0.0
1000,0.014912245316696774,9.104164248955009e-05,0.0
1100,0.015520056707402504,9.020435585276778e-05,0.0
1200,0.016152613121451807,8.937754063165467e-05,0.0
1300,0.016810933003337775,8.856116179600604e-05,0.0
1400,0.017496062724960085,8.775518698425085e-05,0.0
1500,0.01820908527873493,8.695958647820608e-05,0.0
1600,0.018951119058604558,8.617433321253163e-05,0.0
1700,0.019723335668880806,8.53994031817963e-05,0.0
1800,0.020526974485325974,8.46347757716899e-05,0.0
1900,0.021363294947627745,8.388043273511815e-05,0.0
2000,0.022233636707147474,8.313635994703938e-05,0.0
2100,0.023139369832227235,8.240254557617865e-05,0.0
2200,0.024081938755310606,8.167898217586616e-05,0.0
2300,0.02506283042349931,8.0965664939679e-05,0.0
2400,0.026083600564551345,8.026259313163956e-05,0.0
2500,0.02714586507085013,7.95697696371677e-05,0.0
2600,0.02825129867147676,7.888720086522768e-05,0.0
2700,0.02940165712126642,7.821489785139521e-05,0.0
2800,0.030598745185586338,7.755287470500067e-05,0.0
2900,0.031844467742997304,7.690115109330833e-05,0.0
3000,0.03314077513866743,7.625974957451433e-05,0.0
3100,0.03448972503430484,7.562869872285421e-05,0.0
3200,0.03589343480601231,7.500803066984172e-05,0.0
3300,0.037354117608713405,7.439778305799834e-05,0.0
3400,0.038874076986471495,7.379799873428275e-05,0.0
3500,0.04045569479811824,7.320872511778013e-05,0.0
3600,0.04210147141023284,7.263001650571432e-05,0.0
3700,0.043813974521109786,7.206193108205458e-05,0.0
3800,0.04559591329824567,7.150453541717827e-05,0.0
3900,0.047450062616432954,7.095789978866329e-05,0.0
4000,0.049379344002671875,7.042210334797956e-05,0.0
4100,0.05138676981395669,6.989723048908437e-05,0.0
4200,0.05347548066183059,6.93833734099621e-05,0.0
4300,0.05564874954768029,6.88806323724246e-05,0.0
4400,0.05790995532483743,6.838911392575603e-05,0.0
4500,0.06026264658662288,6.790893552003916e-05,0.0
4600,0.06271046412229135,6.744021978021947e-05,0.0
4700,0.06525724835399505,6.698310283138125e-05,0.0
4800,0.06790693255498755,6.653772582999722e-05,0.0
4900,0.07066365028709734,6.610424385062963e-05,0.0
5000,0.07353167046981729,6.568282038148548e-05,0.0
